"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"53454","11000UQ171PS201912150113","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","708068.90641000","5337.00000000"
"53453","11000UQ171PS201912150112","UQQ900"," "," ","UQQ900","11000EZZ200901121778","11000NTC200901092675","개발행위허가제한","11000"," ","2019-12-15 00:00:00.0","48027.87036710","1021.15997314"
"53452","11000UQ171PS201912150111","UQQ900"," "," ","UQQ900","11000EZZ201010072008","11000NTC201008125276","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","3430.43269483","364.52200317"
"53451","11000UQ171PS201912150109","UQQ900"," "," ","UQQ900","11000EZZ200812231753","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","25194.88646290","805.25897217"
"53450","11000UQ171PS201912150108","UQQ900"," "," ","UQQ900","11000EZZ200912181899","11000NTC200912174264","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","5632.59547184","337.94100952"
"53449","11000UQ171PS201912150107","UQQ900"," "," ","UQQ900","11000EZZ201006071965","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","22108.18024990","776.33099365"
"53448","11000UQ171PS201912150106","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","3113.36080774","336.18399048"
"53447","11000UQ171PS201912150105","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","2370.68321249","196.44000244"
"53446","11000UQ171PS201912150104","UQQ900"," "," ","UQQ900","11000EZZ201007051985","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","12484.51229490","464.79699707"
"53445","11000UQ171PS201912150103","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","42360.83857240","908.66601563"
"53444","11000UQ171PS201912150073","UQQ900"," "," ","UQQ900","11000EZZ201611232157","11000NTC201606027792","수서택재개발지구 지구단위구역내","11000"," ","2019-12-15 00:00:00.0","3070.48852387","404.63101196"
"53443","11000UQ171PS201912150072","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","2210.76086819","239.01300049"
"53442","11000UQ171PS201912150071","UQQ900"," "," ","UQQ900","11000EZZ200901141784","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","15588.21326460","493.83401489"
"53441","11000UQ171PS201912150070","UQQ900"," "," ","UQQ900","11000EZZ200812231759","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","25588.63096040","921.04797363"
"53440","11000UQ171PS201912150069","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","114.47661499","51.58689880"
"53439","11000UQ171PS201912150068","UQQ900"," "," ","UQQ900","11000EZZ201704182164","11000NTC201702168013","개발행위허가제한","11000"," ","2019-12-15 00:00:00.0","57074.17210440","1096.06005859"
"53438","11000UQ171PS201912150067","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","327.49690959","84.35160065"
"53437","11000UQ171PS201912150066","UQQ900"," "," ","UQQ900","11000EZZ201611142148","11000NTC201608267859","주택재건축정비(개포주공6단지)","11000"," ","2019-12-15 00:00:00.0","56170.99716620","1037.28002930"
"53436","11000UQ171PS201912150065","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","732.98686650","144.55000305"
"53435","11000UQ171PS201912150064","UQQ900"," "," ","UQQ900","11000EZZ201011022015","11000NTC201009095373","신영동 단독주택지 주택재건축정비예정구역","11000"," ","2019-12-15 00:00:00.0","48373.55797750","1038.25000000"
"53434","11000UQ171PS201912150063","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","319753.01235300","3027.43994141"
"53433","11000UQ171PS201912150062","UQQ900"," "," ","UQQ900","11000EZZ200901301803","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","17362.98769280","543.97998047"
"53432","11000UQ171PS201912150061","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","811.07601069","123.73100281"
"53431","11000UQ171PS201912150060","UQQ900"," "," ","UQQ900","11000EZZ201704182162","11000NTC201612227968","개발행위허가제한","11000"," ","2019-12-15 00:00:00.0","65465.20291290","1683.98999023"
"53430","11000UQ171PS201912150059","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1029.59214279","128.33299255"
"53429","11000UQ171PS201912150058","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","991.22643580","180.51699829"
"53428","11000UQ171PS201912150057","UQQ900"," "," ","UQQ900","11000EZZ200906021838","11000NTC200905073280","문배업무지구","11000"," ","2019-12-15 00:00:00.0","87999.23690790","1356.76000977"
"53427","11000UQ171PS201912150056","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","511.32741439","96.80249786"
"53426","11000UQ171PS201912150055","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","987.22638504","125.12699890"
"53425","11000UQ171PS201912150054","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","5186.59806112","332.17999268"
"53424","11000UQ171PS201912150053","UQQ900"," "," ","UQQ900","11000EZZ200812121739","11000NTC200810162271","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","19268.63827460","970.58398438"
"53423","11000UQ171PS201912150052","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1577.78165811","189.07000732"
"53422","11000UQ171PS201912150051","UQQ900"," "," ","UQQ900","11000EZZ201511112134","11000NTC201509217596","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","90406.60213340","1350.23999023"
"53421","11000UQ171PS201912150050","UQQ900"," "," ","UQQ900","11000EZZ200809241704","11000NTC200804101905","용산국제업무지구 특별계획구역 조성계획","11000"," ","2019-12-15 00:00:00.0","99064.26760240","1809.61999512"
