"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"115283","11000UQ153PS201912153512","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","496.28954998","159.95441565"
"115284","11000UQ153PS201912153513","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","643.42050005","268.03621470"
"115285","11000UQ153PS201912153514","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","943.98054795","280.05688030"
"115286","11000UQ153PS201912153515","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","721.36070273","244.16476795"
"115287","11000UQ153PS201912153516","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","184.51742514","123.79563441"
"115288","11000UQ153PS201912153517","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","1769.99347762","213.10094832"
"115289","11000UQ153PS201912153518","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","1552.20972538","207.82738697"
"115290","11000UQ153PS201912153519","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","850.30963517","190.85009120"
"115291","11000UQ153PS201912153520","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","877.90277210","196.48435305"
"115292","11000UQ153PS201912153521","UQT300","UQT310"," ","UQT310","11000URZ200909280013","11000NTC200909283894","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","284.05187227","80.38500343"
"115293","11000UQ153PS201912153522","UQT300","UQT310"," ","UQT310","11000URZ200909280016","11000NTC200909283894","완충녹지","11000","16","EMA0009","2019-12-15 00:00:00.0","371.74079208","93.66874351"
