DGM_NM,gid
유통업무설비,다사398506
유통업무설비,다사403509
유통업무설비,다사401505
유통업무설비,다사401508
유통업무설비,다사402509
유통업무설비,다사398508
유통업무설비,다사397507
유통업무설비,다사400506
유통업무설비,다사402510
유통업무설비,다사399508
유통업무설비,다사397506
유통업무설비,다사398507
유통업무설비,다사401509
유통업무설비,다사402508
유통업무설비,다사401507
유통업무설비,다사401506
유통업무설비,다사402507
유통업무설비,다사396505
유통업무설비,다사400509
유통업무설비,다사399506
유통업무설비,다사398503
유통업무설비,다사396504
유통업무설비,다사400508
유통업무설비,다사403508
유통업무설비,다사403507
유통업무설비,다사397505
유통업무설비,다사399503
유통업무설비,다사400504
유통업무설비,다사399505
유통업무설비,다사401510
유통업무설비,다사399507
유통업무설비,다사399504
유통업무설비,다사402506
유통업무설비,다사398504
유통업무설비,다사398502
유통업무설비,다사398505
유통업무설비,다사400505
유통업무설비,다사397503
유통업무설비,다사397504
유통업무설비,다사400507
시장,다사685493
시장,다사685492
시장,다사684493
시장,다사684492
시장,다사567522
시장,다사567523
시장,다사568523
시장,다사568522
시장,다사567523
시장,다사568523
시장,다사576467
시장,다사576466
화곡제1시장(백화점),다사414485
화곡제1시장(백화점),다사416486
기타시장시설,다사518428
기타시장시설,다사517429
기타시장시설,다사517427
기타시장시설,다사516425
기타시장시설,다사516427
기타시장시설,다사517428
기타시장시설,다사518429
기타시장시설,다사516426
시장,다사609522
신정종합시장,다사446468
신정종합시장,다사446469
후암시장,다사537502
방산시장,다사558522
방산시장,다사559521
방산시장,다사559522
방산시장,다사558521
신성시장,다사636510
시장,다사481566
시장,다사612567
시장,다사611567
시장,다사611566
시장,다사573547
시장,다사572546
시장,다사572547
시장,다사573546
시장,다사571547
시장,다사570547
시장,다사433478
시장,다사434477
시장,다사434478
서울쇼핑센타,다사496469
서울쇼핑센타,다사497470
서울쇼핑센타,다사497469
시장,다사552485
시장,다사552484
시장,다사553484
시장,다사485572
시장,다사484572
시장,다사472380
시장,다사473380
시장,다사626562
시장,다사627562
시장,다사645553
시장,다사646552
시장,다사645552
거여소매시장,다사691440
거여소매시장,다사691441
거여소매시장,다사691439
용원소매시장,다사527418
시장,다사549430
시장,다사549431
시장,다사584464
시장,다사585464
신정시장,다사428470
신정시장,다사429470
시장,다사545515
시장,다사545516
시장,다사542517
시장,다사541517
시장,다사542516
시장,다사541516
시장,다사470422
시장,다사469403
시장,다사469404
시장,다사470395
시장,다사471396
시장,다사470396
시장,다사471395
유통업무설비,다사466472
유통업무설비,다사464471
유통업무설비,다사463471
유통업무설비,다사464472
유통업무설비,다사465472
유통업무설비,다사463472
유통업무설비,다사466471
유통업무설비,다사465471
