DGM_NM,gid
공공청사,다사573509
공공청사,다사572509
공공청사,다사573508
공공청사,다사573508
공공청사,다사510501
공공청사,다사510500
공공청사,다사467481
"길음5구영동사무소,파출소",다사576568
"길음5구영동사무소,파출소",다사575569
"길음5구영동사무소,파출소",다사575568
군자동사무소,다사625507
공공청사,다사637511
공공청사3,다사517504
공공문화체육시설,다사577574
공공문화체육시설,다사576573
공공문화체육시설,다사576574
공공문화체육시설,다사577573
공공청사,다사539527
공공청사,다사538526
공공청사,다사538527
공공청사,다사539526
공공청사,다사570601
공공청사,다사569601
공공청사,다사569600
공공청사,다사670421
소방서,다사454494
소방서,다사455494
소방서,다사455493
강남구청,다사599465
강남구청,다사599464
강남구청,다사600465
강남구청,다사600464
강남구청,다사600466
강남구청,다사599466
공공청사,다사630549
공공청사,다사629548
공공청사,다사629549
공공청사,다사630548
파출소,다사638576
공공청사,다사498595
공공청사,다사488602
공공청사,다사489602
공공청사,다사489601
상계2동청사,다사618620
상계2동청사,다사619620
상계2동청사,다사618621
공공청사,다사474452
공공청사,다사464539
공공청사,다사464540
공공청사,다사624507
공공청사,다사625507
유치원(유아원),다사497596
유치원(유아원),다사498596
유치원(유아원),다사497611
유치원(유아원),다사497610
유치원(유아원),다사496611
유치원(유아원),다사496610
공공청사,다사633605
공공청사,다사633604
공공청사,다사460463
공공청사,다사460464
공공청사,다사417426
공공청사,다사418426
공공청사(서울기록원),다사500565
공공청사(서울기록원),다사501565
공공청사(서울기록원),다사501566
공공청사(서울기록원),다사500566
공공청사,다사528452
공공청사,다사528453
노원소방서,다사622601
노원소방서,다사621599
노원소방서,다사622602
노원소방서,다사621600
노원소방서,다사623602
노원소방서,다사623601
서대문세무서,다사510544
서대문세무서,다사510545
서대문세무서,다사509545
서대문세무서,다사509544
공공청사,다사698515
공공청사,다사698516
공공청사,다사650577
공공청사,다사650576
공공청사,다사651576
공공청사,다사650578
공공청사,다사651577
공공청사,다사651578
수락소방파출소,다사608645
연희여자중학교,다사487533
연희여자중학교,다사487535
연희여자중학교,다사486533
연희여자중학교,다사487534
연희여자중학교,다사486534
연희여자중학교,다사486535
신상중학교,다사614614
신상중학교,다사614613
신상중학교,다사615614
신상중학교,다사615613
공공청사4,다사515503
공공청사4,다사515504
공공청사,다사444480
학교시설 기타,다사494541
학교시설 기타,다사494540
학교시설 기타,다사553569
학교시설 기타,다사552569
장평중학교,다사621518
장평중학교,다사620519
장평중학교,다사620520
장평중학교,다사621520
장평중학교,다사619519
장평중학교,다사620518
장평중학교,다사621519
중학교,다사616631
중학교,다사617631
중학교,다사617632
중학교,다사616632
상경중학교,다사605630
상경중학교,다사605631
상경중학교,다사606630
상경중학교,다사606631
서일중학교,다사576445
서일중학교,다사578444
서일중학교,다사577445
