"광역지자체","시군구","50KW","100KW싱글","100KW듀얼","200KW듀얼","300KW이상","사용량(kWh)","등록일시"
"서울특별시","강북구","0","1","0","0","0","14496.44","2020-11-01 23:07:00.0"
"서울특별시","강북구","0","1","0","0","0","8781.89","2020-11-01 23:07:00.0"
"서울특별시","강북구","0","1","0","0","0","4454.26","2020-11-01 23:07:00.0"
"서울특별시","구로구","0","1","0","0","0","19431.54","2020-11-01 23:07:00.0"
"서울특별시","구로구","0","1","0","0","0","13017.26","2020-11-01 23:07:00.0"
"서울특별시","도봉구","0","1","0","0","0","30112.97","2020-11-01 23:07:00.0"
"서울특별시","서초구","0","1","0","0","0","80526.88","2020-11-01 23:07:00.0"
"서울특별시","성북구","0","1","0","0","0","34895.5","2020-11-01 23:07:00.0"
"서울특별시","은평구","0","1","0","0","0","6924.27","2020-11-01 23:07:00.0"
"서울특별시","종로구","0","1","0","0","0","45989.1","2020-11-01 23:07:00.0"
"서울특별시","강남구","0","1","0","0","0","24511.24","2020-11-01 23:07:00.0"
"서울특별시","강남구","0","1","0","0","0","34115","2020-11-01 23:07:00.0"
"서울특별시","강남구","0","1","0","0","0","22202.69","2020-11-01 23:07:00.0"
"서울특별시","강남구","0","1","0","0","0","57199.26","2020-11-01 23:07:00.0"
"서울특별시","강북구","0","1","0","0","0","20455.43","2020-11-01 23:07:00.0"
"서울특별시","강서구","0","1","0","0","0","31198.16","2020-11-01 23:07:00.0"
"서울특별시","강서구","0","1","0","0","0","5334.02","2020-11-01 23:07:00.0"
"서울특별시","노원구","0","1","0","0","0","38474.09","2020-11-01 23:07:00.0"
"서울특별시","마포구","0","1","0","0","0","10439.5","2020-11-01 23:07:00.0"
"서울특별시","송파구","0","1","0","0","0","15135.19","2020-11-01 23:07:00.0"
"서울특별시","송파구","0","1","0","0","0","17512.21","2020-11-01 23:07:00.0"
"서울특별시","송파구","0","1","0","0","0","20131.11","2020-11-01 23:07:00.0"
"서울특별시","용산구","0","1","0","0","0","11768.03","2020-11-01 23:07:00.0"
"서울특별시","은평구","0","1","0","0","0","16333.51","2020-11-01 23:07:00.0"
"서울특별시","양천구","0","1","0","0","0","28878.16","2020-11-01 23:07:00.0"
"서울특별시","양천구","0","1","0","0","0","13835","2020-11-01 23:07:00.0"
"서울특별시","양천구","0","1","0","0","0","56999.24","2020-11-01 23:07:00.0"
"서울특별시","성동구","0","1","0","0","0","12328.84","2020-11-01 23:07:00.0"
"서울특별시","송파구","1","0","0","0","0","24099.906","2020-11-01 23:07:00.0"
"서울특별시","광진구","2","0","0","0","0","22644.23","2020-11-01 23:07:00.0"
"서울특별시","송파구","1","0","0","0","0","22001.98","2020-11-01 23:07:00.0"
"서울특별시","도봉구","1","0","0","0","0","20794.04","2020-11-01 23:07:00.0"
"서울특별시","서초구","1","0","0","0","0","20368.67","2020-11-01 23:07:00.0"
"서울특별시","금천구","1","0","0","0","0","19020.97","2020-11-01 23:07:00.0"
"서울특별시","구로구","1","0","0","0","0","16288.78","2020-11-01 23:07:00.0"
"서울특별시","노원구","2","0","0","0","0","16151.28","2020-11-01 23:07:00.0"
"서울특별시","중구","1","0","0","0","0","15765.22","2020-11-01 23:07:00.0"
"서울특별시","용산구","3","0","0","0","0","14978.321","2020-11-01 23:07:00.0"
"서울특별시","영등포구","1","0","0","0","0","14767.38","2020-11-01 23:07:00.0"
"서울특별시","송파구","1","0","0","0","0","13908.91","2020-11-01 23:07:00.0"
"서울특별시","동대문구","2","0","0","0","0","13377.14","2020-11-01 23:07:00.0"
"서울특별시","구로구","1","0","0","0","0","12884.7","2020-11-01 23:07:00.0"
