번호,광역지자체,시군구, 50키로와트 , 100키로와트 , 100키로와트듀얼 , 200키로와트듀얼 , 300키로와트이상 ,  사용량(키로와트시)  
125,제주,제주시,2,0,0,0,0,"130,459"
126,서울,노원구,1,0,0,0,0,"130,413"
127,부산,금정구,1,0,0,0,0,"130,115"
128,인천,연수구,1,0,0,0,0,"129,510"
129,전남,목포시,2,0,0,0,0,"127,619"
130,서울,강동구,3,0,0,0,0,"127,436"
131,서울,관악구,1,0,0,0,0,"127,378"
132,제주,서귀포시,2,0,0,0,0,"127,288"
133,서울,강남구,2,0,0,0,0,"125,734"
134,전남,광양시,2,0,0,0,0,"125,423"
135,충북,충주시,1,0,0,0,0,"124,176"
136,경남,양산시,2,0,0,0,0,"124,147"
137,대구,남구,1,0,0,0,0,"123,909"
138,대구,달서구,1,0,0,0,0,"123,484"
139,울산,남구,1,0,0,0,0,"122,856"
140,대구,달서구,2,0,0,0,0,"122,088"
141,부산,금정구,1,0,0,0,0,"122,074"
142,제주,서귀포시,1,0,0,0,0,"121,007"
143,대구,달서구,1,0,0,0,0,"120,420"
144,경북,포항시,1,0,0,0,0,"120,255"
145,서울,송파구,1,0,0,0,0,"120,252"
146,전남,순천시,1,0,0,0,0,"120,145"
147,전남,나주시,1,0,0,0,0,"120,145"
148,충남,아산시,2,0,0,0,0,"120,055"
149,대구,북구,1,0,0,0,0,"119,852"
150,충남,홍성군,2,0,0,0,0,"119,655"
151,제주,제주시,2,0,0,0,0,"118,562"
152,부산,금정구,1,0,0,0,0,"118,183"
153,경기,의정부시,1,2,0,0,0,"117,451"
154,제주,제주시,1,0,0,0,0,"116,790"
155,강원,강릉시,1,0,0,0,0,"116,665"
156,강원,평창군,2,0,0,0,0,"116,380"
157,경남,진주시,1,0,0,0,0,"116,284"
158,경기,남양주시,2,0,0,0,0,"114,944"
159,경북,포항시,1,0,0,0,0,"114,146"
160,경기,고양시,2,0,0,0,0,"114,079"
161,서울,중구,2,0,0,0,0,"113,936"
162,경기,이천시,1,0,0,0,0,"113,542"
163,부산,강서구,1,0,0,0,0,"112,747"
164,서울,용산구,1,0,0,0,0,"112,603"
165,강원,춘천시,2,0,0,0,0,"111,631"
166,인천,연수구,1,3,0,0,0,"111,631"
167,전북,군산시,1,0,0,0,0,"111,570"
168,경북,영덕군,2,0,0,0,0,"111,447"
169,경남,창원시,2,0,0,0,0,"111,140"
170,전북,전주시,2,0,0,0,0,"110,871"
171,강원,강릉시,1,0,0,0,0,"110,848"
172,강원,원주시,1,0,0,0,0,"110,313"
