설치장소,급속충전기(대),완속충전기(대),위도,경도
반포미도아파트,1,0,37.5013408,127.0090224
방배1차 e편한세상,0,2,37.4883957,126.9985766
방배3차e편한세상,0,2,37.4943123,126.9917271
방배동부센트레빌 아파트,0,2,37.4977038,126.9879326
방배롯데캐슬아르떼,0,6,37.4844643,126.9845212
방배롯데캐슬포레스트,0,2,37.4917336,126.9953431
방배복개도로 제2지역 공영주차장,1,0,37.4780015,126.9818466
방배아이파크 아파트,0,2,37.49162949999999,126.9848437
삼창골든빌리지 입주자대표회의,0,2,37.4931005,126.997375
서울시립어린이병원,1,0,37.4554808,127.0688387
서초2차e편한세상아파트,0,3,37.4862805,127.0091106
서초경남아너스빌201동,0,1,37.4837819,127.0141662
서초네이처힐1단지,0,2,37.4635256,127.0199384
서초네이처힐6단지,1,2,37.4613602,127.026464
서초네이처힐7단지,0,2,37.4617869,127.0231442
서초더샵포레,1,4,37.4510609,127.0644732
서초동일하이빌,0,1,37.4913624,127.008348
서초롯데캐슬84,0,2,37.4924413,127.0182093
서초롯데캐슬프레지던트,0,2,37.4965718,127.0198437
서초리젠 아파트,0,2,37.4842666,127.0196844
서초아크빌,0,2,37.4907731,127.0128666
서초지사,6,7,37.4865408,127.0268239
서초포레스타5단지,1,3,37.4523754,127.0564096
서초호반써밋아파트,1,2,37.4651959,127.0164423
서초힐스 아파트,1,3,37.4651959,127.0164423
신세계 강남점,2,0,37.5041299,127.0030692
아크로리버파크,0,1,37.5061813,126.9938862
양재하이브랜드,4,0,37.4629528,127.0369582
예술의 전당,1,0,37.5022102,127.0266055
월드메르디앙 아파트,1,0,37.4901662,127.0104433
잠원동방음언덕형 공영주차장,1,0,37.516347,127.0163679
태남빌딩 주차장,1,0,37.5081687,127.0036319
한국연구재단,2,0,37.4648882,127.0457292
현대ESA아파트,0,1,37.4908368,127.0294751
현대멤피스(A),0,2,37.4942608,126.9887639
현대멤피스(B),0,2,37.495121,126.9883078
e편한세상 금호파크힐스,1,3,37.5543643,127.0244491
광진성동지사,1,7,37.5681732,127.0341619
금호스포츠센터,1,0,37.5455958,127.0250663
금호자이1차,1,2,37.5519831,127.0230371
뚝섬유수지 공영주차장,10,0,37.5495818,127.041097
리버그린동아 아파트,1,2,37.5529412,127.0372614
서울 새활용플라자,2,0,37.55856259999999,127.0582435
서울숲M타워,1,0,37.5440572,127.0465124
서울숲SK V1 타워,6,0,37.5468653,127.0514978
서울숲푸르지오 아파트,1,0,37.5512857,127.023034
성수2차대우 아파트,0,2,37.5486019,127.0493343
성수동아이파크 아파트,1,2,37.5429302,127.0564225
센트라스 1획지,1,3,37.5656065,127.0255402
센트라스 2획지,1,4,37.5666313,127.0240496
센트라스 3획지,1,1,37.5665556,127.0240597
센트라스 6획지,1,2,37.5659032,127.0262279
한양대학교,2,0,37.5580179,127.046734
행당한진타운,2,2,37.5561971,127.0261975
고려대학교,2,0,37.5900117,127.0318586
고려대학교(자연과학),1,1,37.5843144,127.0269222
국민대학교,2,0,37.6108694,126.9972889
금호어울림 센터힐 아파트,1,2,37.6005277,127.023636
길음래미안3차,1,0,37.6063008,127.0228112
꿈의숲대명루첸 아파트,1,2,37.62034,127.0470739
대림 샹그레빌,1,2,37.5962529,127.0413171
돈암더샵아파트,1,0,37.5974374,127.0100538
돈암일신건영휴먼빌 아파트,1,1,37.60082390000001,127.0125842
돈암현대,0,2,37.6041499,127.0284669
동일하이빌뉴시티 아파트,1,2,37.604314,127.0309948
래미안아트리지,0,10,37.6084827,127.0609186
보문하우스토리,0,1,37.5841368,127.0209204
브라운스톤돈암아파트,1,1,37.5975955,127.01787
삼선 SK뷰 아파트,1,2,37.5866444,127.0127559
삼선푸르지오 아파트,1,3,37.5834821,127.0133839
삼선힐스테이트,0,3,37.5841442,127.0100328
석관두산 아파트,2,0,37.6126112,127.0687734
성북동아에코빌아파트,1,3,37.607923,127.0453013
정릉2차 e편한세상 아파트,1,3,37.599785,127.0193858
정릉e편한세상 아파트,1,2,37.615258,127.0101574
정릉풍림아이원,1,2,37.6186219,127.007307
종암삼성래미안,1,0,37.60095450000001,127.0301755
한신휴아파트,1,0,37.595164,127.014139
현대백화점 미아점,4,0,37.6083223,127.0287626
가락2동 주민센터,1,0,37.4986347,127.1265949
가락시장,3,0,37.492994,127.112326
가락쌍용1차 아파트,2,4,37.5013953,127.1342997
가락우성2차 아파트,0,1,37.4930893,127.1236131
갤러리아팰리스,1,3,37.5110067,127.0940034
거여1단지 아파트,1,4,37.49092479999999,127.1468342
거여2동 주민센터,1,0,37.4935096,127.1468394
거여4단지 아파트,1,3,37.4894874,127.1445526
거여5단지 아파트,1,3,37.4894874,127.1445526
더샵스타리버 아파트,1,0,37.5188607,127.0992536
레이크팰리스,2,6,37.5130506,127.0915464
리센츠 아파트,2,6,37.5140313,127.0882363
마천동1공영주차장,1,0,37.4952716,127.1555532
문정근린공원 공영주차장,1,0,37.4859476,127.124618
문정래미안아파트,1,3,37.49069679999999,127.1312532
방이동숙소,0,2,37.5086433,127.1203075
삼전동 공영주차장,1,0,37.5002074,127.0958597
송파공영주차장,1,0,37.5069832,127.1133276
송파구청,1,0,37.5146098,127.1061641
송파꿈에그린(위례24단지),2,5,37.4760194,127.1386673
송파더센트레,1,3,37.4773867,127.1285282
송파도서관,1,0,37.5010097,127.134043
송파삼성래미안,1,3,37.5042411,127.1191373
송파성원상떼빌,1,2,37.49461600000001,127.1205934
송파와이즈더샵,0,2,37.4850892,127.1332182
송파파인타운10단지,1,2,37.4784436,127.1311569
송파파인타운1단지아파트,0,2,37.4867498,127.1346905
송파파인타운5단지,1,2,37.4794325,127.1296854
송파파인타운6단지 아파트,1,3,37.4805212,127.1319153
송파파인타운7단지,1,3,37.4794325,127.1296854
송파파인타운9단지,1,2,37.4784436,127.1311569
송파파크데일1단지 아파트,1,2,37.498392,127.1566068
송파파크데일2단지,1,2,37.4947539,127.1564131
송파현대힐스테이트,0,1,37.5310912,127.1178465
쌍용스윗닷홈 거여1차 아파트,0,2,37.49199530000001,127.1461442
위례 포레샤인 23단지,2,6,37.4759289,127.1355332
위례송파푸르지오 아파트,1,0,37.4850892,127.1332182
위례스타힐스,1,3,37.4850892,127.1332182
잠실롯데캐슬골드 아파트,1,2,37.5200705,127.0995
잠실파크인수,0,1,37.5046802,127.0877732
잠실한양3차 아파트,0,1,37.5164031,127.1215351
풍납쌍용,1,2,37.5281101,127.1170198
한강극동아파트,1,1,37.5303174,127.1136401
한국광고문화회관,1,0,37.5158294,127.0992266
호수임광아파트,0,2,37.5090734,127.1058761
가로공원 공영주차장,1,0,37.5370611,126.8274714
강서수도사업소,1,0,37.5195389,126.869712
강서양천지사,1,7,37.5196727,126.8688231
경창시장 고객주차장,1,0,37.523752,126.8422677
등마루 공영주차장,1,0,37.5370192,126.8735297
목4동현대 아파트,0,2,37.5382228,126.8700093
목동 현대하이페리온2아파트,1,3,37.5241644,126.8703368
목동2차우성아파트,1,0,37.5077394,126.8664753
목동삼성쉐르빌1,1,1,37.522656,126.8704207
목동트윈빌,1,2,37.5321473,126.87673
목동힐스테이트아파트,1,1,37.5195857,126.8571821
부영그린타운2차,0,2,37.5363346,126.8811128
서울에너지공사 주차장,4,0,37.5412014,126.8837196
신월코아루1단지아파트,0,3,37.5319964,126.8295061
신월해주 아파트,0,2,37.5270877,126.8347629
신정뉴타운두산위브아파트,1,0,37.5186508,126.8457258
신정동일하이빌아파트1단지,0,1,37.5108276,126.8401554
신정동일하이빌아파트2단지,0,1,37.5118742,126.8391993
신정숲속마을아파트,1,0,37.5166014,126.8638714
신정이펜하우스 2단지,0,3,37.5139921,126.8320256
양천구청 지하주차장,2,0,37.5169164,126.8664734
양천벽산블루밍 아파트,1,2,37.5243454,126.8393772
우당 아파트,0,2,37.5229015,126.847702
푸른마을2단지,1,1,37.5134798,126.8352505
한국방송광고진흥공사,1,0,37.5269334,126.8713879
국회의사당,0,3,37.5310813,126.9165501
남서울직할,2,8,37.5274781,126.9302904
남서울직할(영등포)지사,1,7,37.5197728,126.8929881
당산근린지하공영주차장,2,0,37.5251775,126.8951347
당산대우 아파트,1,2,37.5211385,126.8929533
대림동현대3차 아파트,1,4,37.5055645,126.8956059
대림어린이공원 공영주차장,1,0,37.4911217,126.9033385
대림운동장 공영주차장,1,0,37.4996112,126.8948104
롯데캐슬엠파이어,1,2,37.5229725,126.92247
