시도,충전소명,경도,위도
강원도,강릉더샵 아파트,37.750646,128.90994
강원도,강릉특별지사,37.7821753740978,128.918809660873
강원도,그린내하우스,37.76082989879093,128.91898402090786
강원도,봉평면사무소,37.61618839736527,128.37973024912168
강원도,강원도교육연수원,37.7864421932507,128.91833885393
강원도,강릉아이스아레나 주차장,37.780142394417815,128.89654801357398
강원도,평창휴게소(강릉방향),37.60563320978163,128.4527989563726
강원도,강원지방기상청,37.804075714693894,128.85395664916308
강원도,구정휴게소(동해방향),37.72263751062491,128.85162657076708
강원도,강원테크노파크,37.8039413968587,128.8570499994247
강원도,강원도환동해본부,37.884954123817565,128.82548789848818
강원도,강원영동병무지청,37.748808700376095,128.90771972772094
강원도,강릉농협 하나로마트,37.754689,128.901915
강원도,강릉축협 하나로마트,37.754163,128.91264
강원도,교1동주민센터,37.7655483265585,128.874524923208
강원도,홍제동 공영주차장,37.75345,128.882694
강원도,주문진해수욕장,37.9101981951613,128.817885451802
강원도,용평리조트,37.644172,128.676355
강원도,평창영월정선 축협,37.675396,128.700232
강원도,알펜시아리조트,37.65831,128.671943
강원도,녹색도시체험센터,37.788754,128.906722
강원도,송정동주민센터,37.774406,128.927799
강원도,해람중학교옆 공영주차장,37.7531732050059,128.889427216874
강원도,강남동주민센터,37.744127,128.905083
강원도,강릉금호어울림,37.754144,128.918641
강원도,삼우골든아파트,37.7606689994515,128.906088610854
강원도,홍제힐스테이트,37.750758,128.882388
강원도,포남2주공아파트,37.7803763117939,128.91687893294605
강원도,평창올림픽선수촌아파트,37.658517101700866,128.69525727228125
강원도,기산그린타운연립,37.73444675785725,128.88083687298965
강원도,허균허난설헌기념공원,37.791144492211,128.910028385516
강원도,홈플러스 강릉점,37.755796,128.899269
강원도,청송 아파트,37.771891,128.913032
강원도,서희스타힐스리버파크,37.737238,128.865185
강원도,교동e-편한세상 아파트,37.770659,128.895989
강원도,강릉 교동2차현대아파트,37.763335,128.881193
강원도,보헤미안박이추 커피공장,37.8469273578696,128.866860254545
강원도,교2동주민센터,37.7679419123392,128.892383373727
강원도,성덕동주민센터,37.7635095091067,128.913757803264
강원도,HAPPY700 평창시네마,37.589094,128.41683
강원도,대관령면 관광안내소,37.67866,128.699797
강원도,이마트 강릉점,37.771576,128.92239
강원도,경포해수욕장,37.802467,128.903439
강원도,강릉회산LH천년나무2단지,37.741866,128.877643
강원도,강원양돈농협 하나로마트,37.7633348799555,128.87727899644
강원도,강릉아레나체육관,37.77993249528511,128.8957368051713
강원도,봉평시장공용주차장,37.61542893511621,128.37610335462696
강원도,강원도립대학,37.8770954370205,128.829368540839
강원도,하이빌현대아파트,37.76543285979467,128.8832783612871
강원도,감자연구소,37.81309477141878,128.83414904281545
강원도,입암6주공아파트,37.75794438705302,128.91860451633622
강원도,태장위너빌아파트,37.643540708135106,128.56074983172127
강원도,LH선수촌8단지아파트,37.76234900531556,128.86762036228896
강원도,LH강원본부,37.868893,127.728485
강원도,춘천서부시장,37.884660755752435,127.72438262320271
강원도,LH해온채아파트,37.89711002121213,127.75122226405383
강원도,(춘천거두)초록지붕아파트,37.853709068418475,127.75207411102255
강원도,춘천극장몸짓,37.872498,127.727309
강원도,동면행정복지센터,37.910134659541235,127.78139170537234
강원도,국립춘천숲체원,37.99173948093612,127.76774084344806
강원도,춘천바이오산업진흥원,37.89297650995195,127.7442113231054
강원도,춘천휴게소(부산방향),37.81263676242214,127.76653960809253
강원도,춘천사회혁신파크,37.86440101253512,127.735653562885
강원도,강원지방기상청 춘천기상대,37.94758821701393,127.75481627169766
강원도,석사현대아파트,37.855223200883806,127.74204480662013
강원도,애니메이션박물관,37.893901,127.689949
강원도,휴먼시아남춘천1단지,37.861432,127.734026
강원도,이마트 춘천점,37.863773,127.718142
강원도,보배 아파트,37.869698,127.713742
강원도,김유정문학마을,37.818462,127.716533
강원도,동내면사무소,37.848012,127.761109
강원도,후평1동행정복지센터,37.886091,127.745122
강원도,의암빙상장,37.854525,127.68773
강원도,강원직할,37.883416,127.750565
강원도,롯데캐슬 스카이클래스,37.870086,127.718276
강원도,홈플러스 춘천점,37.850563,127.734139
강원도,한국전기공개조합 춘천지점,37.842117468196506,127.71500549074514
강원도,강원도개발공사,37.85716591299658,127.74967753744508
강원도,공지천 공영주차장,37.874379,127.713098
강원도,강변코아루아파트,37.896963,127.735715
강원도,소양강 공영주차장,37.890401,127.721241
강원도,호반베르디움에코아파트,37.855088922220474,127.76026930426927
강원도,남산면사무소,37.792025,127.646031
강원도,송곡대학교,37.7919089219497,127.65258257282
강원도,농어촌공사 강원본부,37.90498068794398,127.72756651910363
강원도,춘천 동부시장,37.87752821576531,127.73410759233718
강원도,신사우동사무소,37.905663,127.727618
강원도,옥계면사무소,37.612462,129.038121
강원도,지흥동 동해전력지사,37.5103572128414,129.099800846307
강원도,동해지사,37.525514017961406,129.10752104351462
강원도,동해금호어울림 아파트,37.52797364998533,129.1021976592054
강원도,동해코아루디오션,37.53212034439658,129.11389456624641
강원도,대동 아파트,37.487306772849,129.105769912138
강원도,"한양2,3차 아파트",37.52714690484879,129.10637933970224
강원도,희망Dream아파트,37.505912179599484,129.127832592929
강원도,동해시 보건소,37.522333772978506,129.1171018770364
강원도,쌍용 아파트,37.52017290923831,129.1200492523478
강원도,동해 아이파크 아파트,37.477082088198856,129.10891765151786
강원도,동해역(ktx) 주차장,37.49693844401906,129.1230269816565
강원도,동해푸르지오 아파트,37.5295960061411,129.099690667976
강원도,동해지사(공용),37.5257035672856,129.107944200998
