순번,종류,번호,가로시설물,설치일,공사구분,공사날짜,공사내용,이력변경,좌표(Poi_X),좌표(Poi_Y),전원투입,행정구,지번 주소,도로명 주소,위치명
35,쉘터형 택시 승차대,D-14,표준형TS,2011-09-23,,,,,126.83977,37.5585,,강서구,등촌동 673-6,공항대로 291,성원sante view빌딩 앞(국민연금공단 옆)
36,쉘터형 택시 승차대,D-15,표준형TS,2011-09-22,,,,,126.83709,37.55881,,강서구,가양1동 970,공항대로 267,발산역9번출구
37,쉘터형 택시 승차대,D-18,표준형TS,2011-09-21,,,,,126.83844,37.54363,OK,강서구,화곡5동 1031-12,강서로 194,유광사 여성병원 앞
38,쉘터형 택시 승차대,D-21,표준형TS,2011-12-30,,,,,126.83977,37.5585,OK,강서구,가양동 451-3,동서대로 1700,강나루현대홈타운 101동 앞(가양역 5번 출구 방향)
39,쉘터형 택시 승차대,D-22,표준형TS,2011-12-29,,,,,126.83706,37.55854,OK,강서구,방화동 829-10,금낭화로 132,우장산역 2번출구 뒤편(우정산E편한세상상가 앞)
40,쉘터형 택시 승차대,D-23,표준형TS,2011-12-29,,,,,126.80598,37.56485,,강서구,내발산동 724-66,강서로 261,방화역 3번출구 앞(금강프라자 빌딩 앞)
41,쉘터형 택시 승차대,E-03,표준형TS,2011-01-20,,,,,126.910781,37.481054,OK,관악구,미성동 1485-1,남부순환로 1440,제이타워웨딩 앞(금천경찰서 건너)
42,쉘터형 택시 승차대,E-04,표준형TS,2011-01-23,,,,,126.97799,37.47638,OK,관악구,남현동 1058-15,남부순환로 272길,남부순환로 거당 음식점 앞
43,쉘터형 택시 승차대,E-06,표준형TS,2011-01-27,,,,,126.95058,37.48114,OK,관악구,봉천동 874-4,남부순환로 1801,벽송빌딩 앞(포몬스 서울대점)
44,쉘터형 택시 승차대,E-07,표준형TS,2011-01-27,,,,,126.92447,37.48975,,관악구,봉천1동 729-22,봉천로 209,롯데백화점 관악점 앞
45,쉘터형 택시 승차대,E-11,표준형TS,,이설,2016-05-20,철거 후 재설치 민원으로 10m 이전 설치,5월 이설,126.94131,37.47054,,관악구,신림동 237-27,신림로 73,서울산업정보학교 우측(테미스고시독서실 앞)
46,쉘터형 택시 승차대,F-03,표준형TS,2002-01-01,이설,2018-04-03,천호대로 공사로 인하여 전방 200m앞 이설,4월 이설,127.10245,37.54351,,광진구,광장동 396-4,천호대로 798-1,광장현대홈타운1201동 앞
47,쉘터형 택시 승차대,F-06,TS,2002-01-01,,,,,127.08152,37.55633,OK,광진구,능동 222-3,천호대로 572,전국교수공제회관 앞
48,쉘터형 택시 승차대,F-07,TS,2002-01-01,,,,,127.08939,37.55201,OK,광진구,능동 25,능동로 238,어린이대공원 후문앞(아차산역 5번출구)
49,쉘터형 택시 승차대,F-13,TS,2002-01-01,,,,,127.09476,37.5369,OK,광진구,구의동 546-1,강변역로 50,동서울종합터미널상가 앞
50,쉘터형 택시 승차대,F-15,표준형TS,2013-05-08,,,,,127.07095,37.53971,OK,광진구,자양동 227-342,능동로 90,롯데백화점 건대스타시티점 앞(건대병원 건너)
51,쉘터형 택시 승차대,G-01,TS,2002-01-01,,,,,126.88773,37.49453,OK,구로구,구로동 436,가마산로 235,구로경찰서 앞
52,쉘터형 택시 승차대,G-05,TS,2002-01-01,,,,,126.89168,37.50709,OK,구로구,구로동 1-4,새말로 121-15,신도림역 남광장 안 위치
53,쉘터형 택시 승차대,G-06,표준형TS,2011-09-27,,,,,126.84412,37.49532,OK,구로구,오류동 55-30,경인로 218,KEB외환은행 오류동 지점 앞
54,쉘터형 택시 승차대,G-08,표준형TS,2011-09-28,,,,,126.88991,37.49512,OK,구로구,구로동 98-5,가마산로 272,서울지역자활센터협회 앞
55,쉘터형 택시 승차대,G-10,표준형TS,2011-09-27,,,,,126.88548,37.49309,OK,구로구,구로동 339,가마산로 218,고대구로병원 치과센터 앞
56,쉘터형 택시 승차대,G-12,표준형TS,2011-09-28,,,,,126.889552,37.501452,OK,구로구,구로5동 110-2,공원로 59,상신운수 앞
57,쉘터형 택시 승차대,G-13,표준형TS,2011-09-28,,,,,126.890714,37.50014,OK,구로구,구로동 50,공원로 35,금호어울림아파트 앞(거리공원 방면)
58,쉘터형 택시 승차대,H-03,표준형TS,2011-01-18,,,,,126.90125,37.45341,OK,금천구,시흥동 889-3,시흥대로 218,KEB외환은행 시흥동 지점 앞
59,쉘터형 택시 승차대,H-07,표준형TS,2011-01-22,,,,,126.89793,37.46718,OK,금천구,독산동 1030,시흥대로 376,노보텔앰배서더 독산점 앞
60,쉘터형 택시 승차대,I-01,표준형TS,2011-04-20,,,,,127.05937,37.6582,OK,노원구,상계동 609,동일로 1449,도봉면허시험장 앞
61,쉘터형 택시 승차대,I-04,표준형TS,2011-05-28,,,,,127.06149,37.62318,,노원구,월계동 85,석계로 106,"성북역 2,3번 출구 앞"
62,쉘터형 택시 승차대,I-06,표준형TS,2011-05-28,,,,,127.07673,37.64792,,노원구,중계동 364-19,한글비석로 242,삼부프라자 앞(유경데파트 좌측)
63,쉘터형 택시 승차대,I-09,표준형TS,2011-09-26,,,,,127.05768,37.66137,,노원구,상계동 666,노원로 558,상계주공10단지 상가 앞
64,쉘터형 택시 승차대,I-10,표준형TS,2011-05-26,,,,,127.05972,37.65806,,노원구,상계동 692,동일로 1456,상계주공708동 앞(도봉면허시험장 건너)
65,쉘터형 택시 승차대,I-11,표준형TS,2011-09-26,,,,,127.06752,37.63568,OK,노원구,하계동 270,섬밭로 232,하계우성현대아파트 112동 앞
66,쉘터형 택시 승차대,I-12,표준형TS,2012-04-16,,,,,127.06227,37.65475,OK,노원구,상계동 724-2,노해로 492,프린스빌딩 앞
67,쉘터형 택시 승차대,J-03,표준형TS,2011-09-27,,,,,127.03478,37.649,OK,도봉구,쌍문동 83-5,도봉로 477,쌍문역 4번 출구 앞
68,쉘터형 택시 승차대,J-04,표준형TS,2015-06-12,,,,,127.04363,37.65194,,도봉구,창동 340,해등로 49,창동주공3단지앞(이마트사거리 앞)
69,쉘터형 택시 승차대,K-01,표준형TS,2011-01-09,,,,,127/02437,37.57595,OK,동대문구,신설동 101-2,왕산로 6,경영빌딩 앞(IBK기업은행 신설동지점)
70,쉘터형 택시 승차대,K-02,표준형TS,2011-01-07,,,,,127.07041,37.57004,OK,동대문구,장안2동 366-6,장한로 106,경남관광호텔 우측(명동찌개마을 장안점)
71,쉘터형 택시 승차대,K-04,표준형TS,2011-01-10,,,,,127.05122,37.56814,OK,동대문구,답십리동 496-2,천호대로 267,답십리역1번출구 앞
72,쉘터형 택시 승차대,K-08,표준형TS,2011-01-07,,,,,127.07017,37.57009,OK,동대문구,장안동 372-5,장한로 105,장안뉴시티주상복합 앞
73,쉘터형 택시 승차대,K-13,표준형TS,2011-01-06,,,,,127.06526,37.56284,OK,동대문구,장안동 432-1,장한로 17,국립농산물품질관리원 우측
74,쉘터형 택시 승차대,K-16,표준형TS,2011-01-10,,,,,127.03722,37.57424,OK,동대문구,용두동 792,정릉천동로 36,래미안허브리츠 아파트 102동 앞
