행정구역코드,시도명,시군구명,읍면동명,평일주말구분,혼잡빈도강도
1108072,서울특별시,성북구,월곡2동,평일,54.29
1108076,서울특별시,성북구,장위1동,평일,68.18
1108077,서울특별시,성북구,장위2동,평일,80.73
1108078,서울특별시,성북구,장위3동,평일,33.79
1108081,서울특별시,성북구,성북동,평일,45.41
1108082,서울특별시,성북구,삼선동,평일,48.25
1108083,서울특별시,성북구,동선동,평일,31.37
1108084,서울특별시,성북구,종암동,평일,33.45
1108085,서울특별시,성북구,석관동,평일,62.99
1109060,서울특별시,강북구,번1동,평일,50.44
1109061,서울특별시,강북구,번2동,평일,28.04
1109062,서울특별시,강북구,번3동,평일,27.46
1109063,서울특별시,강북구,수유1동,평일,36.09
1109064,서울특별시,강북구,수유2동,평일,40.91
1109065,서울특별시,강북구,수유3동,평일,56.47
1109069,서울특별시,강북구,삼양동,평일,37.54
1109070,서울특별시,강북구,미아동,평일,30.46
1109071,서울특별시,강북구,송중동,평일,40.37
1109072,서울특별시,강북구,송천동,평일,53.34
1109073,서울특별시,강북구,삼각산동,평일,48.78
1109074,서울특별시,강북구,우이동,평일,44.06
1109075,서울특별시,강북구,인수동,평일,65.27
1110051,서울특별시,도봉구,쌍문1동,평일,33.83
1110052,서울특별시,도봉구,쌍문2동,평일,59.06
1110053,서울특별시,도봉구,쌍문3동,평일,54.62
1110054,서울특별시,도봉구,쌍문4동,평일,48.1
1110055,서울특별시,도봉구,방학1동,평일,38.09
1110056,서울특별시,도봉구,방학2동,평일,47.83
1110057,서울특별시,도봉구,방학3동,평일,36.49
1110059,서울특별시,도봉구,창1동,평일,41.34
1110060,서울특별시,도봉구,창2동,평일,32.57
1110061,서울특별시,도봉구,창3동,평일,50.39
1110062,서울특별시,도봉구,창4동,평일,30.21
1110063,서울특별시,도봉구,창5동,평일,36.03
1110064,서울특별시,도봉구,도봉1동,평일,29.44
1110065,서울특별시,도봉구,도봉2동,평일,33.98
1111051,서울특별시,노원구,월계1동,평일,50.83
1111052,서울특별시,노원구,월계2동,평일,25.2
1111053,서울특별시,노원구,월계3동,평일,47.54
1111056,서울특별시,노원구,공릉2동,평일,27
1111058,서울특별시,노원구,하계1동,평일,29.03
1111059,서울특별시,노원구,하계2동,평일,84.64
1111060,서울특별시,노원구,중계본동,평일,38.45
1111061,서울특별시,노원구,중계1동,평일,30.93
1111064,서울특별시,노원구,중계4동,평일,38.4
1111065,서울특별시,노원구,상계1동,평일,74.12
1111066,서울특별시,노원구,상계2동,평일,48.62
1111069,서울특별시,노원구,상계5동,평일,49.19
