,시군구명,동,혼잡빈도강도
207,마포구,대흥동,63.16
208,마포구,염리동,47.69
209,마포구,신수동,70.76
210,마포구,서교동,76.52
211,마포구,합정동,83.99
212,마포구,망원1동,87.45
213,마포구,망원2동,89.36
214,마포구,연남동,50.73
215,마포구,성산1동,55.86
216,마포구,성산2동,60.65
217,마포구,상암동,40.8
218,마포구,도화동,91.44
219,마포구,서강동,65.95
220,마포구,공덕동,59.22
221,마포구,아현동,95.42
222,양천구,목1동,27.29
223,양천구,목2동,60.12
224,양천구,목3동,43.37
225,양천구,목4동,39.92
226,양천구,신월1동,30.35
227,양천구,신월2동,33.43
228,양천구,신월3동,37.09
229,양천구,신월4동,25.66
230,양천구,신월5동,43.77
231,양천구,신월6동,30.56
232,양천구,신월7동,35.89
233,양천구,신정1동,43.0
234,양천구,신정2동,33.79
235,양천구,신정3동,22.76
236,양천구,신정6동,25.75
237,양천구,신정7동,43.02
238,양천구,목5동,23.8
239,양천구,신정4동,26.59
240,강서구,염창동,69.66
241,강서구,등촌1동,79.89
242,강서구,등촌2동,73.44
243,강서구,등촌3동,69.57
244,강서구,화곡본동,26.81
245,강서구,화곡2동,13.67
246,강서구,화곡3동,41.49
247,강서구,화곡4동,23.01
248,강서구,화곡6동,43.69
249,강서구,화곡8동,50.22
250,강서구,가양1동,53.21
251,강서구,가양2동,58.41
252,강서구,가양3동,34.68
253,강서구,발산1동,34.19
254,강서구,공항동,51.22
255,강서구,방화1동,61.1
256,강서구,방화2동,69.09
257,강서구,방화3동,40.05
258,강서구,화곡1동,33.61
259,강서구,우장산동,43.4
260,구로구,신도림동,76.83
261,구로구,구로1동,41.7
262,구로구,구로3동,41.31
263,구로구,구로4동,30.01
264,구로구,구로5동,29.53
265,구로구,고척1동,45.45
266,구로구,고척2동,44.16
267,구로구,개봉2동,19.8
268,구로구,개봉3동,38.38
269,구로구,오류1동,91.06
270,구로구,오류2동,36.54
271,구로구,수궁동,35.37
272,구로구,가리봉동,34.6
273,구로구,구로2동,64.21
274,구로구,항동,45.69
275,구로구,개봉1동,56.42
276,금천구,가산동,62.09
277,금천구,독산1동,59.03
278,금천구,독산2동,36.04
279,금천구,독산3동,37.05
280,금천구,독산4동,50.99
281,금천구,시흥1동,84.09
282,금천구,시흥2동,22.92
283,금천구,시흥3동,87.58
284,금천구,시흥4동,58.07
285,금천구,시흥5동,32.51
286,영등포구,여의동,49.56
287,영등포구,당산1동,37.76
288,영등포구,당산2동,40.92
289,영등포구,양평1동,67.57
290,영등포구,양평2동,73.42
291,영등포구,신길1동,23.72
292,영등포구,신길3동,36.88
293,영등포구,신길4동,35.2
294,영등포구,신길5동,36.13
295,영등포구,신길6동,35.38
296,영등포구,신길7동,27.41
297,영등포구,대림1동,44.43
298,영등포구,대림2동,42.01
299,영등포구,대림3동,32.13
300,영등포구,영등포본동,32.86
301,영등포구,영등포동,53.47
302,영등포구,도림동,28.35
303,영등포구,문래동,57.73
304,동작구,노량진2동,19.12
305,동작구,상도1동,32.93
306,동작구,상도2동,46.87
307,동작구,상도3동,38.93
308,동작구,상도4동,31.86
309,동작구,사당1동,35.53
310,동작구,사당3동,25.43
311,동작구,사당4동,45.02
312,동작구,사당5동,57.35
313,동작구,대방동,31.5
314,동작구,신대방1동,26.07
315,동작구,신대방2동,36.41
316,동작구,흑석동,67.48
317,동작구,노량진1동,33.37
318,동작구,사당2동,41.01
319,관악구,보라매동,44.32
320,관악구,청림동,14.53
321,관악구,행운동,32.65
322,관악구,낙성대동,36.08
323,관악구,중앙동,40.45
324,관악구,남현동,36.36
325,관악구,서원동,46.44
326,관악구,신원동,52.07
327,관악구,서림동,39.49
328,관악구,신사동,30.33
329,관악구,신림동,33.06
330,관악구,난향동,28.21
331,관악구,조원동,25.97
332,관악구,대학동,25.04
333,관악구,은천동,27.44
334,관악구,성현동,42.03
335,관악구,청룡동,29.0
336,관악구,난곡동,30.14
337,관악구,삼성동,34.81
338,관악구,미성동,33.94
339,관악구,인헌동,34.11
340,서초구,서초1동,61.66
341,서초구,서초2동,64.21
342,서초구,서초3동,37.0
343,서초구,서초4동,69.72
344,서초구,잠원동,60.06
345,서초구,반포본동,58.98
346,서초구,반포1동,57.12
347,서초구,반포2동,49.22
348,서초구,반포3동,67.62
349,서초구,반포4동,40.68
350,서초구,방배본동,39.6
351,서초구,방배1동,43.23
352,서초구,방배2동,29.96
353,서초구,방배3동,21.93
354,서초구,방배4동,49.34
355,서초구,양재1동,66.62
356,서초구,양재2동,66.39
357,서초구,내곡동,29.78
358,강남구,신사동,52.46
359,강남구,논현1동,43.73
360,강남구,논현2동,34.75
361,강남구,삼성1동,62.94
362,강남구,삼성2동,38.17
363,강남구,대치1동,29.18
364,강남구,대치4동,44.24
365,강남구,역삼1동,42.05
366,강남구,역삼2동,40.63
367,강남구,도곡1동,34.69
368,강남구,도곡2동,29.94
369,강남구,개포1동,82.86
370,강남구,개포4동,56.4
371,강남구,일원본동,24.07
372,강남구,일원1동,45.89
373,강남구,일원2동,57.15
374,강남구,수서동,63.78
375,강남구,세곡동,44.66
376,강남구,압구정동,54.33
377,강남구,청담동,71.14
378,강남구,대치2동,69.3
379,강남구,개포2동,65.63
380,송파구,풍납1동,71.78
381,송파구,풍납2동,41.0
382,송파구,거여1동,76.52
383,송파구,거여2동,43.73
384,송파구,마천1동,57.58
385,송파구,마천2동,44.04
386,송파구,방이1동,19.91
387,송파구,방이2동,34.15
388,송파구,오륜동,21.19
389,송파구,오금동,29.81
390,송파구,송파1동,83.08
391,송파구,송파2동,44.11
392,송파구,석촌동,44.05
393,송파구,삼전동,23.32
394,송파구,가락본동,56.95
395,송파구,가락1동,33.17
396,송파구,가락2동,31.93
397,송파구,문정1동,76.22
398,송파구,문정2동,54.25
399,송파구,잠실본동,30.2
400,송파구,잠실4동,28.34
401,송파구,잠실6동,59.35
402,송파구,잠실7동,25.28
403,송파구,잠실2동,48.0
404,송파구,잠실3동,55.4
405,송파구,장지동,79.75
406,송파구,위례동,66.81
407,강동구,강일동,70.85
408,강동구,상일동,59.97
409,강동구,명일1동,56.13
410,강동구,명일2동,46.55
411,강동구,고덕1동,22.1
412,강동구,고덕2동,55.85
413,강동구,암사2동,47.5
414,강동구,암사3동,38.77
415,강동구,천호1동,74.59
416,강동구,천호3동,93.23
417,강동구,성내1동,24.9
418,강동구,성내2동,52.57
419,강동구,성내3동,45.2
420,강동구,둔촌1동,21.4
421,강동구,둔촌2동,28.98
422,강동구,암사1동,39.04
423,강동구,천호2동,42.78
424,강동구,길동,73.79
