,시군구명,읍면동명,혼잡시간강도
207,마포구,대흥동,78.99
208,마포구,염리동,70.33
209,마포구,신수동,85.42
210,마포구,서교동,89.28
211,마포구,합정동,91.77
212,마포구,망원1동,93.05
213,마포구,망원2동,93.21
214,마포구,연남동,73.31
215,마포구,성산1동,75.01
216,마포구,성산2동,77.11
217,마포구,상암동,61.18
218,마포구,도화동,96.12
219,마포구,서강동,80.64
220,마포구,공덕동,75.68
221,마포구,아현동,98.15
222,양천구,목1동,52.46
223,양천구,목2동,79.85
224,양천구,목3동,72.83
225,양천구,목4동,70.21
226,양천구,신월1동,53.83
227,양천구,신월2동,55.41
228,양천구,신월3동,61.77
229,양천구,신월4동,48.04
230,양천구,신월5동,72.32
231,양천구,신월6동,60.27
232,양천구,신월7동,61.4
233,양천구,신정1동,68.35
234,양천구,신정2동,64.13
235,양천구,신정3동,51.54
236,양천구,신정6동,54.27
237,양천구,신정7동,68.86
238,양천구,목5동,46.52
239,양천구,신정4동,52.6
240,강서구,염창동,82.05
241,강서구,등촌1동,90.07
242,강서구,등촌2동,87.51
243,강서구,등촌3동,83.68
244,강서구,화곡본동,60.24
245,강서구,화곡2동,28.09
246,강서구,화곡3동,69.59
247,강서구,화곡4동,35.2
248,강서구,화곡6동,73.44
249,강서구,화곡8동,72.16
250,강서구,가양1동,66.87
251,강서구,가양2동,71.82
252,강서구,가양3동,65.03
253,강서구,발산1동,55.9
254,강서구,공항동,64.62
255,강서구,방화1동,78.28
256,강서구,방화2동,76.99
257,강서구,방화3동,56.45
258,강서구,화곡1동,51.27
259,강서구,우장산동,68.59
260,구로구,신도림동,88.51
261,구로구,구로1동,60.11
262,구로구,구로3동,70.19
263,구로구,구로4동,52.35
264,구로구,구로5동,58.73
265,구로구,고척1동,61.77
266,구로구,고척2동,64.6
267,구로구,개봉2동,48.99
268,구로구,개봉3동,70.91
269,구로구,오류1동,95.47
270,구로구,오류2동,56.92
271,구로구,수궁동,55.86
272,구로구,가리봉동,60.59
273,구로구,구로2동,80.68
274,구로구,항동,66.48
275,구로구,개봉1동,71.62
276,금천구,가산동,81.55
277,금천구,독산1동,75.21
278,금천구,독산2동,63.79
