동,인구수,여자,남자,혼잡빈도강도
응암2동,28258,13694,14564,48.53
신사1동,27117,12993,14124,73.66
신사2동,20059,9981,10078,99.83
증산동,15085,7350,7735,84.7
수색동,13246,6501,6745,31.05
진관동,55605,26067,29538,70.6
불광2동,27645,13334,14311,69.47
응암3동,24608,11931,12677,41.1
역촌동,45636,21359,24277,71.51
천연동,17222,8179,9043,85.82
홍제1동,23723,11093,12630,45.01
홍제3동,17490,8400,9090,65.51
홍제2동,13697,6427,7270,28.43
홍은1동,22895,11036,11859,42.45
홍은2동,27089,13004,14085,61.46
남가좌1동,15610,7458,8152,30.69
남가좌2동,30758,14678,16080,64.21
북가좌1동,18007,8651,9356,46.1
북가좌2동,31671,15449,16222,55.76
충현동,20722,9978,10744,62.21
북아현동,16123,7726,8397,99.87
신촌동,24469,9915,14554,95.04
연희동,37599,17811,19788,74.45
용강동,21943,10397,11546,85.14
대흥동,15976,7459,8517,63.16
염리동,17742,8347,9395,47.69
신수동,22833,11093,11740,70.76
서교동,26912,11993,14919,76.52
합정동,17631,8140,9491,83.99
망원1동,20258,9467,10791,87.45
망원2동,18723,8749,9974,89.36
연남동,16002,7453,8549,50.73
성산1동,19235,9044,10191,55.86
성산2동,39830,17891,21939,60.65
상암동,31356,14876,16480,40.8
도화동,21269,10147,11122,91.44
서강동,25657,12156,13501,65.95
공덕동,37726,17718,20008,59.22
아현동,25536,11956,13580,95.42
목1동,30696,14776,15920,27.29
목2동,30056,14623,15433,60.12
목3동,22021,10483,11538,43.37
목4동,25441,12412,13029,39.92
신월1동,20668,10559,10109,30.35
신월2동,20714,10083,10631,33.43
신월3동,15277,8065,7212,37.09
신월4동,17897,8723,9174,25.66
신월5동,14714,7301,7413,43.77
신월6동,13871,6771,7100,30.56
신월7동,19739,9621,10118,35.89
신정1동,20337,9911,10426,43.0
신정2동,19520,9582,9938,33.79
신정3동,50271,24395,25876,22.76
신정6동,24531,11923,12608,25.75
신정7동,29030,14011,15019,43.02
목5동,41103,20375,20728,23.8
신정4동,33492,16268,17224,26.59
염창동,41692,20150,21542,69.66
등촌1동,24628,11359,13269,79.89
등촌2동,20247,9862,10385,73.44
등촌3동,30700,14486,16214,69.57
화곡본동,34659,16752,17907,26.81
화곡2동,17995,8683,9312,13.67
화곡3동,21664,10313,11351,41.49
화곡4동,20792,10163,10629,23.01
화곡6동,25167,12122,13045,43.69
화곡8동,24775,11931,12844,50.22
가양1동,34435,15716,18719,53.21
가양2동,13971,6595,7376,58.41
가양3동,15004,6978,8026,34.68
발산1동,36393,17164,19229,34.19
공항동,31297,15832,15465,51.22
방화1동,42879,20894,21985,61.1
방화2동,23523,11617,11906,69.09
