시군구명,동,혼잡빈도강도
강서구,등촌1동,79.89
강서구,등촌2동,73.44
강서구,등촌3동,69.57
강서구,화곡본동,26.81
강서구,화곡2동,13.67
강서구,화곡3동,41.49
강서구,화곡4동,23.01
강서구,화곡6동,43.69
강서구,화곡8동,50.22
강서구,가양1동,53.21
강서구,가양2동,58.41
강서구,가양3동,34.68
강서구,발산1동,34.19
강서구,공항동,51.22
강서구,방화1동,61.1
강서구,방화2동,69.09
강서구,방화3동,40.05
강서구,화곡1동,33.61
강서구,우장산동,43.4
구로구,신도림동,76.83
구로구,구로1동,41.7
구로구,구로3동,41.31
구로구,구로4동,30.01
구로구,구로5동,29.53
구로구,고척1동,45.45
구로구,고척2동,44.16
구로구,개봉2동,19.8
구로구,개봉3동,38.38
구로구,오류1동,91.06
구로구,오류2동,36.54
구로구,수궁동,35.37
구로구,가리봉동,34.6
구로구,구로2동,64.21
구로구,개봉1동,56.42
금천구,가산동,62.09
금천구,독산1동,59.03
금천구,독산2동,36.04
금천구,독산3동,37.05
금천구,독산4동,50.99
금천구,시흥1동,84.09
금천구,시흥2동,22.92
금천구,시흥3동,87.58
금천구,시흥4동,58.07
금천구,시흥5동,32.51
영등포구,여의동,49.56
영등포구,당산1동,37.76
영등포구,당산2동,40.92
영등포구,양평1동,67.57
영등포구,양평2동,73.42
영등포구,신길1동,23.72
영등포구,신길3동,36.88
영등포구,신길4동,35.2
영등포구,신길5동,36.13
영등포구,신길6동,35.38
영등포구,신길7동,27.41
영등포구,대림1동,44.43
영등포구,대림2동,42.01
영등포구,대림3동,32.13
영등포구,영등포본동,32.86
영등포구,영등포동,53.47
영등포구,도림동,28.35
영등포구,문래동,57.73
동작구,노량진2동,19.12
동작구,상도1동,32.93
동작구,상도2동,46.87
동작구,상도3동,38.93
동작구,상도4동,31.86
동작구,사당1동,35.53
동작구,사당3동,25.43
동작구,사당4동,45.02
동작구,사당5동,57.35
동작구,대방동,31.5
동작구,신대방1동,26.07
동작구,신대방2동,36.41
동작구,흑석동,67.48
동작구,노량진1동,33.37
동작구,사당2동,41.01
관악구,보라매동,44.32
