시군구명,동,혼잡빈도강도,정규화
도봉구,쌍문2동,59.06,0.5752939952128213
도봉구,쌍문3동,54.62,0.5290873139764803
도봉구,쌍문4동,48.1,0.4612342595483401
도봉구,방학1동,38.09,0.3570610885628057
도봉구,방학2동,47.83,0.45842439379748146
도봉구,방학3동,36.49,0.3404100322614216
도봉구,창1동,41.34,0.3908835466749922
도봉구,창2동,32.57,0.2996149443230305
도봉구,창3동,50.39,0.4850660838796961
도봉구,창4동,30.21,0.2750546362784889
도봉구,창5동,36.03,0.3356228535747736
도봉구,도봉1동,29.44,0.2670413154334478
도봉구,도봉2동,33.98,0.31428868768862517
노원구,월계1동,50.83,0.4896451243625767
노원구,월계2동,25.2,0.22291601623477986
노원구,월계3동,47.54,0.45540638984285564
노원구,공릉2동,27.0,0.24164845457383702
노원구,하계1동,29.03,0.26277448225621813
노원구,하계2동,84.64,0.8415027578311999
노원구,중계본동,38.45,0.36080757623061716
노원구,중계1동,30.93,0.28254761161411174
노원구,중계4동,38.4,0.36028723072119884
노원구,상계1동,74.12,0.7320220626495993
노원구,상계2동,48.62,0.4666458528462899
노원구,상계5동,49.19,0.472577791653658
노원구,상계8동,90.86,0.9062337392028307
노원구,상계9동,72.34,0.7134977625143095
노원구,상계10동,76.39,0.755645748777188
노원구,상계3·4동,40.16,0.37860339265272136
노원구,상계6·7동,81.64,0.8102820272661047
노원구,중계2·3동,58.42,0.5686335726922677
노원구,공릉1동,62.67,0.6128629409928192
은평구,녹번동,25.62,0.2272869185138932
은평구,불광1동,33.56,0.3099177854095119
은평구,갈현1동,92.51,0.923405141013633
은평구,갈현2동,67.19,0.6599021750442293
은평구,구산동,47.11,0.45093141846185864
은평구,대조동,49.03,0.4709126860235196
은평구,응암1동,33.29,0.3071079196586533
은평구,응암2동,48.53,0.4657092309293371
은평구,신사1동,73.66,0.7272348839629513
은평구,신사2동,99.83,0.9995837235924653
은평구,증산동,84.7,0.8421271724425018
은평구,수색동,31.05,0.28379644083671557
은평구,진관동,70.6,0.6953897387865542
은평구,불광2동,69.47,0.6836299302737017
은평구,응암3동,41.1,0.3883858882297846
은평구,역촌동,71.51,0.7048600270579665
서대문구,천연동,85.82,0.8537829118534705
서대문구,홍제1동,45.01,0.429076907066292
서대문구,홍제3동,65.51,0.642418565927776
서대문구,홍제2동,28.43,0.25653033614319903
서대문구,홍은1동,42.45,0.4024352169840774
서대문구,홍은2동,61.46,0.6002705796648975
서대문구,남가좌1동,30.69,0.28004995316890413
서대문구,남가좌2동,64.21,0.6288895826829013
서대문구,북가좌1동,46.1,0.44042043917160995
서대문구,북가좌2동,55.76,0.5409511915912165
서대문구,충현동,62.21,0.6080757623061712
서대문구,북아현동,99.87,1.0
서대문구,신촌동,95.04,0.9497346237901967
서대문구,연희동,74.45,0.7354563430117598
마포구,용강동,85.14,0.8467062129253824
마포구,대흥동,63.16,0.6179623269851181
마포구,염리동,47.69,0.4569674263711104
마포구,신수동,70.76,0.6970548444166927
마포구,서교동,76.52,0.7569986471016754
마포구,합정동,83.99,0.8347382662087626
마포구,망원1동,87.45,0.8707461754605058
마포구,망원2동,89.36,0.890623373920283
마포구,연남동,50.73,0.4886044333437402
마포구,성산1동,55.86,0.541991882610053
마포구,성산2동,60.65,0.5918409824123217
마포구,상암동,40.8,0.385263815173275
마포구,도화동,91.44,0.9122697471120823
마포구,서강동,65.95,0.6469976064106566
마포구,공덕동,59.22,0.5769591008429596
마포구,아현동,95.42,0.9536892496617754
양천구,목1동,27.29,0.24466645852846286
양천구,목2동,60.12,0.5863253200124883
양천구,목3동,43.37,0.41200957435737323
양천구,목4동,39.92,0.3761057342075138
양천구,신월1동,30.35,0.27651160370486
양천구,신월2동,33.43,0.30856488708502444
양천구,신월3동,37.09,0.3466541783744406
양천구,신월4동,25.66,0.22770319492142782
양천구,신월5동,43.77,0.41617233843271934
양천구,신월6동,30.56,0.27869705484441665
양천구,신월7동,35.89,0.33416588614840254
양천구,신정1동,43.0,0.4081590175876782
양천구,신정2동,33.79,0.3123113747528358
양천구,신정3동,22.76,0.1975231553751691
양천구,신정6동,25.75,0.22863981683838067
양천구,신정7동,43.02,0.4083671557914455
양천구,목5동,23.8,0.20834634197106877
양천구,신정4동,26.59,0.23738162139660732
강서구,염창동,69.66,0.6856072432094911
강서구,등촌1동,79.89,0.7920699344364658
강서구,등촌2동,73.44,0.724945363721511
강서구,등촌3동,69.57,0.6846706212925381
강서구,화곡본동,26.81,0.23967114163804762
강서구,화곡2동,13.67,0.10292434176293058
강서구,화곡3동,41.49,0.39244458320324693
강서구,화곡4동,23.01,0.20012488292226038
강서구,화곡6동,43.69,0.41533978561765006
강서구,화곡8동,50.22,0.48329690914767404
강서구,가양1동,53.21,0.5144135706108857
강서구,가양2동,58.41,0.5685295035903839
강서구,가양3동,34.68,0.3215735248204808
강서구,발산1동,34.19,0.3164741388281819
강서구,공항동,51.22,0.4937038193360391
강서구,방화1동,61.1,0.596524091997086
강서구,방화2동,69.09,0.679675304402123
강서구,방화3동,40.05,0.3774586325320012
강서구,화곡1동,33.61,0.31043813091893013
강서구,우장산동,43.4,0.4123217816630242
구로구,신도림동,76.83,0.7602247892600686
구로구,구로1동,41.7,0.39463003434280364
구로구,구로3동,41.31,0.39057133936934124
구로구,구로4동,30.01,0.2729732542408159
구로구,구로5동,29.53,0.26797793735040065
구로구,고척1동,45.45,0.43365594754917264
구로구,고척2동,44.16,0.4202310334061816
구로구,개봉2동,19.8,0.16671870121760848
구로구,개봉3동,38.38,0.3600790925174316
구로구,오류1동,91.06,0.9083151212405036
구로구,오류2동,36.54,0.3409303777708398
구로구,수궁동,35.37,0.32875429285045266
구로구,가리봉동,34.6,0.3207409720054116
구로구,구로2동,64.21,0.6288895826829013
구로구,항동,45.69,0.43615360599438024
구로구,개봉1동,56.42,0.5478197523155375
금천구,가산동,62.09,0.6068269330835675
금천구,독산1동,59.03,0.5749817879071704
금천구,독산2동,36.04,0.33572692267665727
금천구,독산3동,37.05,0.34623790196690596
금천구,독산4동,50.99,0.4913102299927152
금천구,시흥1동,84.09,0.8357789572275991
금천구,시흥2동,22.92,0.1991882610053075
금천구,시흥3동,87.58,0.8720990737849932
금천구,시흥4동,58.07,0.5649911541263398
금천구,시흥5동,32.51,0.29899052971172857
영등포구,여의동,49.56,0.4764283484233531
영등포구,당산1동,37.76,0.3536268082006452
영등포구,당산2동,40.92,0.38651264439587885
영등포구,양평1동,67.57,0.663856800915808
영등포구,양평2동,73.42,0.7247372255177438
영등포구,신길1동,23.72,0.20751378915599955
영등포구,신길3동,36.88,0.344468727234884
영등포구,신길4동,35.2,0.3269851181184306
영등포구,신길5동,36.13,0.33666354459361014
영등포구,신길6동,35.38,0.32885836195233636
영등포구,신길7동,27.41,0.2459152877510667
영등포구,대림1동,44.43,0.42304089915704024
영등포구,대림2동,42.01,0.39785617650119676
영등포구,대림3동,32.13,0.2950359038401499
영등포구,영등포본동,32.86,0.30263294827765636
영등포구,영등포동,53.47,0.5171193672598605
영등포구,도림동,28.35,0.25569778332812987
영등포구,문래동,57.73,0.5614528046622957
동작구,노량진2동,19.12,0.15964200228952025
동작구,상도1동,32.93,0.30336143199084187
동작구,상도2동,46.87,0.44843376001665103
동작구,상도3동,38.93,0.3658028931210323
동작구,상도4동,31.86,0.29222603808929126
동작구,사당1동,35.53,0.3304193984805911
동작구,사당3동,25.43,0.22530960557810384
동작구,사당4동,45.02,0.4291809761681757
동작구,사당5동,57.35,0.5574981787907171
동작구,대방동,31.5,0.2884795504214798
동작구,신대방1동,26.07,0.2319700280986575
동작구,신대방2동,36.41,0.3395774794463523
동작구,흑석동,67.48,0.6629201789988552
동작구,노량진1동,33.37,0.3079404724737225
동작구,사당2동,41.01,0.38744926631283166
관악구,보라매동,44.32,0.4218961390363201
관악구,청림동,14.53,0.11187428452492455
관악구,행운동,32.65,0.30044749713809965
관악구,낙성대동,36.08,0.3361431990841919
관악구,중앙동,40.45,0.3816213966073473
관악구,남현동,36.36,0.3390571339369341
관악구,서원동,46.44,0.443958788635654
관악구,신원동,52.07,0.5025496929961494
관악구,서림동,39.49,0.3716307628265168
관악구,신사동,30.33,0.2763034655010927
관악구,신림동,33.06,0.3047143303153294
관악구,난향동,28.21,0.25424081590175873
관악구,조원동,25.97,0.23092933707982097
관악구,대학동,25.04,0.22125091060464144
관악구,은천동,27.44,0.24622749505671765
관악구,성현동,42.03,0.39806431470496406
관악구,청룡동,29.0,0.2624622749505672
관악구,난곡동,30.14,0.27432615256530335
관악구,삼성동,34.81,0.3229264231449683
관악구,미성동,33.94,0.3138724112810906
관악구,인헌동,34.11,0.31564158601311265
서초구,서초1동,61.66,0.6023519617025704
서초구,서초2동,64.21,0.6288895826829013
서초구,서초3동,37.0,0.34571755645748775
서초구,서초4동,69.72,0.686231657820793
서초구,잠원동,60.06,0.5857009054011864
서초구,반포본동,58.98,0.5744614423977521
서초구,반포1동,57.12,0.555104589447393
서초구,반포2동,49.22,0.47288999895930894
서초구,반포3동,67.62,0.6643771464252264
서초구,반포4동,40.68,0.38401498595067124
서초구,방배본동,39.6,0.372775522947237
서초구,방배1동,43.23,0.41055260693100215
서초구,방배2동,29.96,0.27245290873139766
서초구,방배3동,21.93,0.18888541991882607
서초구,방배4동,49.34,0.4741388281819128
서초구,양재1동,66.62,0.6539702362368612
서초구,양재2동,66.39,0.6515766468935372
서초구,내곡동,29.78,0.2705796648974919
강남구,신사동,52.46,0.5066083879696118
강남구,논현1동,43.73,0.41575606202518467
강남구,논현2동,34.75,0.3223020085336663
강남구,삼성1동,62.94,0.6156728067436777
강남구,삼성2동,38.17,0.3578936413778749
강남구,대치1동,29.18,0.26433551878447287
강남구,대치4동,44.24,0.4210635862212509
강남구,역삼1동,42.05,0.39827245290873137
강남구,역삼2동,40.63,0.383494640441253
강남구,도곡1동,34.69,0.3216775939223644
강남구,도곡2동,29.94,0.27224477052763035
강남구,개포1동,82.86,0.82297845769591
강남구,개포4동,56.4,0.5476116141117702
강남구,일원본동,24.07,0.21115620772192734
강남구,일원1동,45.89,0.43823498803205324
강남구,일원2동,57.15,0.555416796753044
강남구,수서동,63.78,0.6244146113019045
강남구,세곡동,44.66,0.4254344885003642
강남구,압구정동,54.33,0.5260693100218544
강남구,청담동,71.14,0.7010094702882714
강남구,대치2동,69.3,0.6818607555416796
강남구,개포2동,65.63,0.6436673951503797
송파구,풍납1동,71.78,0.7076698928088251
송파구,풍납2동,41.0,0.38734519721094807
송파구,거여1동,76.52,0.7569986471016754
송파구,거여2동,43.73,0.41575606202518467
송파구,마천1동,57.58,0.559891768134041
송파구,마천2동,44.04,0.41898220418357784
송파구,방이1동,19.91,0.16786346133832863
송파구,방이2동,34.15,0.31605786242064726
송파구,오륜동,21.19,0.18118430637943594
송파구,오금동,29.81,0.27089187220314287
송파구,송파1동,83.08,0.8252679779373503
송파구,송파2동,44.11,0.4197106878967634
송파구,석촌동,44.05,0.4190862732854615
송파구,삼전동,23.32,0.20335102508065353
송파구,가락본동,56.95,0.553335414715371
송파구,가락1동,33.17,0.30585909043604953
송파구,가락2동,31.93,0.29295452180247683
송파구,문정1동,76.22,0.753876574045166
송파구,문정2동,54.25,0.5252367572067853
송파구,잠실본동,30.2,0.2749505671766052
송파구,잠실4동,28.34,0.2555937142262462
송파구,잠실6동,59.35,0.5783119991674471
송파구,잠실7동,25.28,0.2237485690498491
송파구,잠실2동,48.0,0.46019356852950355
송파구,잠실3동,55.4,0.5372047039234051
송파구,장지동,79.75,0.7906129670100946
송파구,위례동,66.81,0.6559475491726506
강동구,강일동,70.85,0.6979914663336454
강동구,상일동,59.97,0.5847642834842335
강동구,명일1동,56.13,0.5448017483609117
강동구,명일2동,46.55,0.4451035487563742
강동구,고덕1동,22.1,0.19065459465084816
강동구,고덕2동,55.85,0.5418878135081694
강동구,암사2동,47.5,0.45499011343532103
강동구,암사3동,38.77,0.364137787490894
강동구,천호1동,74.59,0.7369133104381309
강동구,천호3동,93.23,0.9308981163492559
강동구,성내1동,24.9,0.21979394317827033
강동구,성내2동,52.57,0.507753148090332
강동구,성내3동,45.2,0.4310542200020814
강동구,둔촌1동,21.4,0.18336975751899257
강동구,둔촌2동,28.98,0.26225413674679987
강동구,암사1동,39.04,0.3669476532417525
강동구,천호2동,42.78,0.4058694973462379
강동구,길동,73.79,0.7285877822874389
