,gid,행정동,공공_문화체육,유통_공급시설,환경기초시설
186,다사363522,공항동,0,0,0
187,다사363523,공항동,0,0,0
188,다사364499,공항동,0,0,0
189,다사364500,공항동,0,0,0
190,다사364501,공항동,0,0,0
191,다사364502,공항동,0,0,0
192,다사364503,공항동,0,0,0
193,다사364504,공항동,0,0,0
194,다사364505,공항동,0,0,0
195,다사364506,공항동,0,0,0
196,다사364507,공항동,0,0,0
197,다사364508,공항동,0,0,0
198,다사364509,공항동,0,0,0
199,다사364510,공항동,0,0,0
200,다사364511,공항동,0,0,0
201,다사364512,공항동,0,0,0
202,다사364513,공항동,0,0,0
203,다사364514,공항동,0,0,0
204,다사364515,공항동,0,0,0
205,다사364516,공항동,0,0,0
206,다사364517,공항동,0,0,0
207,다사364518,공항동,0,0,0
208,다사364519,공항동,0,0,0
209,다사364520,공항동,0,0,0
210,다사364521,공항동,0,0,0
211,다사364522,공항동,0,0,0
212,다사364523,공항동,0,0,0
213,다사364525,공항동,0,0,0
214,다사365498,공항동,0,0,0
215,다사365499,공항동,0,0,0
216,다사365500,공항동,0,0,0
217,다사365501,공항동,0,0,0
218,다사365502,공항동,0,0,0
219,다사365503,공항동,0,0,0
220,다사365504,공항동,0,0,0
221,다사365505,공항동,0,0,0
222,다사365506,공항동,0,0,0
223,다사365507,공항동,0,0,0
224,다사365508,공항동,0,0,0
225,다사365509,공항동,0,0,0
226,다사365510,공항동,0,0,0
227,다사365511,공항동,0,0,0
228,다사365512,공항동,0,0,0
229,다사365513,공항동,0,0,0
230,다사365514,공항동,0,0,0
231,다사365515,공항동,0,0,0
232,다사365516,공항동,0,0,0
233,다사365517,공항동,0,0,0
234,다사365518,공항동,0,0,0
235,다사365519,공항동,0,0,0
236,다사365520,공항동,0,0,0
237,다사365521,공항동,0,0,0
238,다사365522,공항동,0,0,0
239,다사365523,공항동,0,0,0
240,다사365524,공항동,0,0,0
241,다사365525,공항동,0,0,0
242,다사365526,공항동,0,0,0
243,다사365527,공항동,0,0,0
244,다사366498,공항동,0,0,0
245,다사366499,공항동,0,0,0
246,다사366500,공항동,0,0,0
247,다사366501,공항동,0,0,0
248,다사366502,공항동,0,0,0
249,다사366503,공항동,0,0,0
250,다사366504,공항동,0,0,0
251,다사366505,공항동,0,0,0
252,다사366506,공항동,0,0,0
253,다사366507,공항동,0,0,0
254,다사366508,공항동,0,0,0
255,다사366509,공항동,0,0,0
256,다사366510,공항동,0,0,0
257,다사366511,공항동,0,0,0
258,다사366512,공항동,0,0,0
259,다사366513,공항동,0,0,0
260,다사366514,공항동,0,0,0
261,다사366515,공항동,0,0,0
262,다사366516,공항동,0,0,0
263,다사366517,공항동,0,0,0
264,다사366518,공항동,0,0,0
265,다사366519,공항동,0,0,0
266,다사366520,공항동,0,0,0
267,다사366521,공항동,0,0,0
