gid,합계
다사637537,0
다사644569,0
다사627567,0
다사633528,0
다사626575,1
다사629538,0
다사630557,0
다사651575,0
다사654558,0
다사626553,0
다사627558,0
다사628549,0
다사647556,0
다사621551,1
다사624541,0
다사633543,0
다사638553,0
다사633527,0
다사638540,1
다사624553,0
다사635555,0
다사632548,0
다사637533,0
다사642576,0
다사626573,1
다사633551,2
다사639543,1
다사631527,0
다사658573,0
다사624565,0
다사638554,0
다사655559,0
다사624564,0
다사626550,0
다사646569,0
다사627542,0
다사640537,0
다사625556,0
다사644538,0
다사641556,0
다사626548,0
다사645564,0
다사648574,0
다사643551,0
다사649553,2
다사639575,0
다사622547,0
다사654574,0
다사622554,2
다사633529,0
다사634524,0
다사632534,0
다사656559,0
다사645549,0
다사630558,0
다사630538,0
다사632552,3
다사643557,1
다사637542,1
다사628536,0
다사644550,0
다사625555,0
다사638549,0
다사649558,0
다사630542,0
다사650556,0
다사628558,0
다사635576,0
다사631564,0
다사638543,1
다사631546,0
다사643541,0
다사630541,0
다사640573,0
다사622552,1
다사649550,0
다사632557,0
다사642562,0
다사649555,0
다사635538,0
다사650569,0
다사647544,1
다사635547,1
다사629553,1
다사634574,0
다사633573,0
다사634526,0
다사626538,0
다사628544,0
다사629543,0
다사645558,0
다사647555,0
다사626562,0
다사632530,0
다사630526,0
다사644558,0
다사630555,1
다사639545,1
다사638551,0
다사623547,0
다사644560,0
다사635540,1
다사647545,0
다사621548,1
다사640538,0
다사650553,0
다사652572,0
다사631575,0
다사629569,0
다사632531,0
다사637552,0
다사638532,1
다사649566,0
다사632578,0
다사626540,0
다사654560,0
다사628570,2
다사638533,0
다사647569,0
다사629551,1
다사646567,0
다사623555,0
다사623546,0
다사644566,0
다사628546,1
다사640533,0
다사623544,0
다사624568,1
다사642573,0
다사632545,0
다사636574,0
다사631530,0
다사648561,0
다사633556,0
다사657574,0
다사655557,0
다사630565,0
다사653575,0
다사632576,0
다사635554,0
다사625573,0
다사626558,0
다사641534,0
다사647542,0
다사627557,0
다사642532,0
다사627560,0
다사641552,0
다사629575,0
다사640555,0
다사660561,2
다사627573,0
다사629527,0
다사650557,0
다사632560,0
다사629561,0
다사631528,0
다사644536,0
다사649557,0
다사638545,1
다사639555,0
다사654573,0
다사628554,0
다사629573,0
다사626571,2
다사633539,1
다사652574,0
다사625572,2
다사641559,0
다사635528,0
다사642543,1
다사629540,0
다사639573,0
다사633575,0
다사625570,2
다사628573,0
다사654576,2
다사632564,0
다사632555,3
다사647577,0
다사625560,0
다사644556,0
다사627576,0
다사632536,0
다사636559,0
다사653560,0
다사650561,0
다사631550,0
다사643567,0
다사622551,1
다사625565,0
다사638544,1
다사627553,0
다사636540,1
다사648556,0
다사626555,1
다사636524,0
다사640551,0
다사637546,1
다사639551,0
다사644559,0
다사654557,0
다사633560,0
다사630550,0
다사646557,0
다사643549,0
다사638546,1
다사639548,1
