"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"40486","11000UQ152PS201912151557","UQS500","UQSA54"," ","UQSA54","11000URZ199103156210","11000NTC199103152233","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","131.30661446","58.16415854"
"40487","11000UQ152PS201912151558","UQS500","UQSA54"," ","UQSA54","11000URZ000000001521"," ","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","806.77089491","242.88826877"
"40488","11000UQ152PS201912151559","UQS500","UQSA54"," ","UQSA54","11000URZ000000001521"," ","환기구","11000"," ","EMA0009","2019-12-15 00:00:00.0","527.94622767","625.38636681"
"40489","11000UQ152PS201912151594","UQS500","UQSA53"," ","UQSA53","11000URZ201204263275","11000NTC201204266471","철도","11000"," ","EMA0009","2019-12-15 00:00:00.0","243099.24953800","4810.91332597"
"40490","11000UQ152PS201912151595","UQS500","UQSA52"," ","UQSA52","11000URZ201209139652","11000NTC201209136620","철도","11000"," ","EMA0009","2019-12-15 00:00:00.0","11387.76665660","1483.73301345"
"40491","11000UQ152PS201912151596","UQS500","UQS520"," ","UQS520","11000URZ201009306650","11000NTC201009305436","도시철도(지하철9호선 본선)","11000","2-3","EMA0009","2019-12-15 00:00:00.0","5620.56544374","921.98097896"
"40492","11000UQ152PS201912151598","UQS500","UQS510"," ","UQS510","11000URZ201805031436","11000NTC201805039578","철도","11000","공원2","EMA0009","2019-12-15 00:00:00.0","40535.70071060","4402.07883825"
"40493","11000UQ152PS201912151681","UQS500","UQS520"," ","UQS520","11000URZ201803022635","11000NTC201803028384","철도(정거장)","11000"," ","EMA0009","2019-12-15 00:00:00.0","37799.41831720","4884.86904499"
"40494","11000UQ152PS201912151682","UQS500","UQS510"," ","UQS510","11000URZ201606161326","11000NTC201606167797","철도(경원선)","11000","철도②","EMA0009","2019-12-15 00:00:00.0","79167.82676210","2602.06367322"
"40495","11000UQ152PS201912151568","UQS500","UQSA52"," ","UQSA52","11000URZ201101275173","11000NTC201101275879","철도","11000"," ","EMA0009","2019-12-15 00:00:00.0","11939.53912430","1605.34443512"
"40496","11000UQ152PS201912151587","UQS500","UQS510"," ","UQS510","11000URZ201009306646","11000NTC201009305436","일반철도(인천공항철도본선)","11000","1-3","EMA0009","2019-12-15 00:00:00.0","2856.70030001","432.58754951"
"40497","11000UQ152PS202004280001","UQS200","UQS201"," ","UQS200","11000URZ202004280017","11000NTC202004280011","주차장","11000","10","EMA0009","2020-04-28 00:00:00.0","8111.90771343","461.06368580"
"40498","11440UQ152PS202005140001","UQS200","UQS290"," ","UQS290","11440URZ202003050004","11440NTC202005140004","주차장","11440"," ","EMA0009","2020-05-14 00:00:00.0","1144.55434479","192.97427410"
"40499","11200UQ152PS202005140001","UQS200","UQS201"," ","UQS201","11200URZ202001160002","11200NTC202001160001","주차장","11200"," ","EMA0009","2020-05-14 00:00:00.0","2245.12818779","197.68244951"
"40500","11000UQ152PS201912151660","UQS500","UQS510"," ","UQS510","11000URZ201204050168","11000NTC201204056456","철도","11000"," ","EMA0009","2019-12-15 00:00:00.0","54148.53485970","2403.93933252"
