,구별,연료별,등록 자동차 수
0,강남구,전기,218
1,강동구,전기,30
2,강북구,전기,15
3,강서구,전기,41
4,관악구,전기,10
5,광진구,전기,12
6,구로구,전기,20
7,금천구,전기,67
8,노원구,전기,25
9,도봉구,전기,22
10,동대문구,전기,22
11,동작구,전기,28
12,마포구,전기,327
13,서대문구,전기,13
14,서초구,전기,103
15,성동구,전기,37
16,성북구,전기,24
17,송파구,전기,45
18,양천구,전기,76
19,영등포구,전기,95
20,용산구,전기,58
21,은평구,전기,29
22,종로구,전기,37
23,중구,전기,114
24,중랑구,전기,29
