,구별,연료별,등록 자동차 수
0,강남구,전기,155
1,강동구,전기,19
2,강북구,전기,11
3,강서구,전기,43
4,관악구,전기,6
5,광진구,전기,12
6,구로구,전기,14
7,금천구,전기,12
8,노원구,전기,14
9,도봉구,전기,14
10,동대문구,전기,16
11,동작구,전기,22
12,마포구,전기,310
13,서대문구,전기,12
14,서초구,전기,52
15,성동구,전기,34
16,성북구,전기,14
17,송파구,전기,27
18,양천구,전기,63
19,영등포구,전기,34
20,용산구,전기,51
21,은평구,전기,18
22,종로구,전기,29
23,중구,전기,148
24,중랑구,전기,21
