,구별,연료별,등록 자동차 수
0,강남구,전기,11432
1,강동구,전기,1273
2,강북구,전기,496
3,강서구,전기,1679
4,관악구,전기,730
5,광진구,전기,590
6,구로구,전기,3733
7,금천구,전기,530
8,노원구,전기,889
9,도봉구,전기,637
10,동대문구,전기,656
11,동작구,전기,710
12,마포구,전기,1062
13,서대문구,전기,663
14,서초구,전기,3616
15,성동구,전기,1494
16,성북구,전기,900
17,송파구,전기,1932
18,양천구,전기,989
19,영등포구,전기,2409
20,용산구,전기,957
21,은평구,전기,881
22,종로구,전기,606
23,중구,전기,950
24,중랑구,전기,750
