,구별,연료별,등록 자동차 수
0,강남구,전기,4262
1,강동구,전기,185
2,강북구,전기,85
3,강서구,전기,274
4,관악구,전기,149
5,광진구,전기,123
6,구로구,전기,171
7,금천구,전기,134
8,노원구,전기,164
9,도봉구,전기,121
10,동대문구,전기,106
11,동작구,전기,157
12,마포구,전기,216
13,서대문구,전기,128
14,서초구,전기,638
15,성동구,전기,441
16,성북구,전기,174
17,송파구,전기,343
18,양천구,전기,199
19,영등포구,전기,658
20,용산구,전기,200
21,은평구,전기,164
22,종로구,전기,133
23,중구,전기,210
24,중랑구,전기,128
