,구별,연료별,등록 자동차 수
0,강남구,전기,5756
1,강동구,전기,354
2,강북구,전기,153
3,강서구,전기,432
4,관악구,전기,250
5,광진구,전기,191
6,구로구,전기,267
7,금천구,전기,330
8,노원구,전기,263
9,도봉구,전기,201
10,동대문구,전기,195
11,동작구,전기,265
12,마포구,전기,367
13,서대문구,전기,219
14,서초구,전기,1152
15,성동구,전기,578
16,성북구,전기,334
17,송파구,전기,617
18,양천구,전기,343
19,영등포구,전기,1362
20,용산구,전기,326
21,은평구,전기,260
22,종로구,전기,189
23,중구,전기,336
24,중랑구,전기,212
