,구별,연료별,등록 자동차 수
0,강남구,전기,7495
1,강동구,전기,649
2,강북구,전기,298
3,강서구,전기,805
4,관악구,전기,412
5,광진구,전기,304
6,구로구,전기,944
7,금천구,전기,439
8,노원구,전기,495
9,도봉구,전기,347
10,동대문구,전기,312
11,동작구,전기,390
12,마포구,전기,567
13,서대문구,전기,358
14,서초구,전기,2058
15,성동구,전기,1041
16,성북구,전기,530
17,송파구,전기,1075
18,양천구,전기,557
19,영등포구,전기,1942
20,용산구,전기,479
21,은평구,전기,492
22,종로구,전기,278
23,중구,전기,714
24,중랑구,전기,412
