,구별,연료별,등록 자동차 수
0,강남구,전기,2385
1,강동구,전기,81
2,강북구,전기,27
3,강서구,전기,132
4,관악구,전기,45
5,광진구,전기,44
6,구로구,전기,65
7,금천구,전기,97
8,노원구,전기,83
9,도봉구,전기,47
10,동대문구,전기,49
11,동작구,전기,73
12,마포구,전기,210
13,서대문구,전기,41
14,서초구,전기,308
15,성동구,전기,195
16,성북구,전기,64
17,송파구,전기,114
18,양천구,전기,93
19,영등포구,전기,279
20,용산구,전기,66
21,은평구,전기,73
22,종로구,전기,75
23,중구,전기,110
24,중랑구,전기,40
