gid,ADM_DR_NM
다사629546,면목2동
다사634535,면목7동
다사638538,면목3·8동
다사646551,망우3동
다사634577,묵1동
다사639562,상봉1동
다사641554,망우본동
다사625551,중화2동
다사628541,면목2동
다사631568,묵1동
다사633549,상봉2동
다사626546,면목2동
다사633552,상봉1동
다사645546,망우3동
다사631544,면목2동
다사636537,면목3·8동
다사626542,면목2동
다사638557,상봉1동
다사633524,중곡3동
다사643556,상봉1동
다사627548,면목2동
다사644567,신내1동
다사651576,신내1동
다사652563,망우본동
다사635534,면목7동
다사637540,면목본동
다사649554,망우본동
다사627540,면목5동
다사642558,상봉1동
다사630525,중곡3동
다사640559,상봉1동
다사630566,묵1동
다사642557,상봉1동
다사639558,상봉1동
다사640539,면목본동
다사648544,망우3동
다사647549,망우3동
다사645555,망우본동
다사646563,신내1동
다사636554,상봉1동
다사627574,묵1동
다사648562,신내1동
다사627551,상봉2동
다사631557,중화1동
다사633534,면목7동
다사632532,면목7동
다사639535,면목7동
다사642554,망우본동
다사623565,중화2동
다사627563,묵2동
다사628562,중화1동
다사628552,중화2동
다사641562,상봉1동
다사646565,신내1동
다사623566,묵2동
다사640557,상봉1동
다사645568,신내1동
다사635533,면목7동
다사629570,묵1동
다사635530,면목4동
다사639549,면목본동
다사631578,묵1동
다사635539,면목본동
다사641547,망우3동
다사648553,망우본동
다사642544,면목3·8동
다사626559,중화2동
다사637556,상봉1동
다사629572,묵1동
다사630569,묵1동
다사629565,묵1동
다사648550,망우3동
다사626566,묵2동
다사646564,신내1동
다사644572,신내1동
다사637532,면목7동
다사622550,중화2동
다사636525,면목4동
다사641535,면목7동
다사642571,신내2동
다사637558,상봉1동
다사654559,망우본동
다사646547,망우3동
다사641550,망우3동
다사647575,신내1동
다사642572,신내2동
다사630576,묵1동
다사639546,면목본동
다사643566,신내1동
다사648554,망우본동
다사626544,면목2동
다사647554,망우본동
다사652560,망우본동
다사639574,신내2동
다사642551,망우3동
다사621554,중화2동
다사624547,면목2동
다사636535,면목7동
다사630530,면목4동
다사623569,묵2동
다사635525,면목4동
다사638556,상봉1동
다사631549,상봉2동
다사637557,상봉1동
다사641538,면목본동
다사627549,면목2동
다사640572,신내2동
다사623574,묵2동
다사625547,면목2동
다사626539,면목5동
다사626541,면목2동
다사625550,상봉2동
다사650578,신내1동
다사652577,신내1동
다사630533,면목5동
다사625564,묵2동
다사631555,상봉1동
다사643537,면목3·8동
다사634529,면목4동
다사632527,면목4동
다사657575,신내1동
다사634530,면목4동
다사647553,망우본동
다사654571,신내1동
다사628556,중화2동
다사649547,망우3동
다사625563,묵2동
다사632553,상봉1동
다사634557,상봉1동
다사640560,상봉1동
다사641545,망우3동
다사641565,신내2동
다사642567,신내1동
다사627571,묵1동
다사628559,중화1동
다사629542,면목2동
다사630547,면목2동
다사653576,신내1동
다사643571,신내1동
다사636549,상봉2동
다사637574,묵1동
다사638542,면목본동
다사624557,중화2동
다사624552,중화2동
다사637537,면목3·8동
다사644569,신내1동
다사627567,묵1동
다사633528,면목4동
다사626575,묵1동
다사629538,면목5동
다사630557,중화1동
다사651575,신내1동
다사654558,망우본동
다사626553,중화2동
다사627558,중화2동
다사628549,면목2동
다사647556,망우본동
다사621551,중화2동
다사624541,면목2동
다사633543,면목2동
다사638553,상봉2동
다사633527,면목4동
다사638540,면목본동
다사624553,중화2동
다사635555,상봉1동
다사632548,면목2동
다사637533,면목7동
다사642576,신내1동
다사626573,묵1동
다사633551,상봉2동
다사639543,면목본동
다사631527,면목4동
다사658573,신내1동
다사624565,묵2동
다사638554,상봉1동
다사655559,망우본동
다사624564,묵2동
다사626550,상봉2동
다사646569,신내1동
다사627542,면목2동
다사640537,면목3·8동
다사625556,중화2동
다사644538,면목3·8동
다사641556,상봉1동
다사626548,면목2동
다사645564,신내1동
다사648574,신내1동
다사643551,망우3동
다사649553,망우본동
다사639575,신내1동
다사622547,면목2동
다사654574,신내1동
다사622554,중화2동
다사633529,면목4동
다사634524,중곡3동
다사632534,면목7동
다사656559,망우본동
다사645549,망우3동
다사630558,중화1동
다사630538,면목5동
다사632552,상봉1동
다사643557,상봉1동
다사637542,면목본동
다사628536,면목5동
다사644550,망우3동
다사625555,중화2동
다사638549,상봉2동
다사649558,망우본동
다사630542,면목2동
다사650556,망우본동
다사628558,중화1동
다사635576,묵1동
다사631564,중화1동
다사638543,면목본동
다사631546,면목2동
다사643541,면목3·8동
다사630541,면목5동
다사640573,신내2동
다사622552,중화2동
다사649550,망우3동
다사632557,중화1동
다사642562,신내1동
다사649555,망우본동
다사635538,면목3·8동
다사650569,망우본동
다사647544,면목3·8동
다사635547,면목본동
다사629553,중화1동
다사634574,묵1동
다사633573,묵1동
다사634526,면목4동
다사626538,면목5동
다사628544,면목2동
다사629543,면목2동
다사645558,신내1동
다사647555,망우본동
다사626562,중화2동
다사632530,면목4동
다사630526,면목4동
다사644558,신내1동
다사630555,중화1동
다사639545,면목본동
다사638551,상봉2동
다사623547,면목2동
다사644560,신내1동
다사635540,면목본동
다사647545,망우3동
다사621548,휘경2동
