gid,ADM_DR_NM
다사422470,신월2동
다사403484,신월3동
다사422475,신월2동
다사439464,신정6동
다사452496,목2동
다사431468,신정1동
다사441458,신정7동
다사404472,신월7동
다사411474,신월7동
다사438487,목4동
다사414477,신월1동
다사428459,신정3동
다사434456,신정7동
다사437455,신정7동
다사438455,신정7동
다사411485,신월1동
다사441498,목2동
다사450491,목5동
다사434467,신정1동
다사412482,신월1동
다사413464,신월6동
다사437466,신정1동
다사452485,목5동
다사421476,신월2동
다사445486,목5동
다사428474,신정4동
다사439494,목3동
다사440464,신정6동
다사447489,목5동
다사441468,신정1동
다사405482,신월3동
다사409486,신월1동
다사411459,신정3동
다사435463,신정7동
다사444473,목1동
다사449472,목1동
다사430461,신정3동
다사443489,목4동
다사441485,목4동
다사410490,신월5동
다사412470,신월7동
다사426474,신월2동
다사440458,신정7동
다사456485,목5동
다사438473,목1동
다사443474,목1동
다사447492,목2동
다사410492,신월5동
다사410493,신월5동
다사438490,목3동
다사409483,신월1동
다사444470,신정2동
다사410481,신월1동
다사421468,신월2동
다사410459,신정3동
다사430472,신정4동
다사429462,신정3동
다사424472,신월2동
다사439479,목1동
다사421466,신월6동
다사421469,신월2동
다사424475,신월2동
다사447497,목2동
다사407489,신월5동
다사408491,신월5동
다사413470,신월7동
다사411461,신정3동
다사435458,신정7동
다사441487,목4동
다사420475,신월2동
다사440484,목4동
다사409461,신정3동
다사421475,신월2동
다사419454,신정3동
다사437475,신정4동
다사405488,신월3동
다사411477,신월1동
다사416473,신월4동
다사420456,신정3동
다사422472,신월2동
다사442468,신정6동
다사418472,신월4동
다사452489,목5동
다사406483,신월3동
다사455483,목5동
다사408473,신월7동
다사401490,신월3동
다사407459,신정3동
다사438452,신정7동
다사440490,목3동
다사437456,신정7동
다사415462,신월6동
다사453497,목2동
다사436496,목3동
다사434466,신정1동
다사439477,목1동
다사442488,목4동
다사423475,신월2동
다사443458,신정7동
다사439489,목4동
다사432478,신정4동
다사425464,신정3동
다사409489,신월5동
다사449491,목5동
다사422477,신월2동
다사443491,목2동
다사445492,목2동
다사447472,목1동
다사450490,목5동
다사424466,신월2동
다사442478,목1동
다사429472,신정4동
다사451496,목2동
다사406490,신월5동
다사403487,신월3동
다사411462,신정3동
다사443471,신정2동
다사413467,신월7동
다사441484,목4동
다사406482,신월3동
다사441501,목3동
다사408471,신월7동
다사407466,신월7동
다사419458,신정3동
다사447488,목5동
다사415461,신정3동
다사417476,신월1동
다사449498,목2동
다사416463,신월6동
다사419463,신월6동
다사410475,신월3동
다사419472,신월2동
다사445489,목2동
다사428472,신정4동
다사402485,신월3동
다사441492,목2동
다사447494,목2동
다사410480,신월1동
다사437485,목4동
다사435462,신정7동
다사435466,신정1동
다사427468,신정3동
다사414468,신월7동
다사439481,목4동
다사415479,신월1동
다사428467,신정1동
다사443495,목2동
다사411490,신월5동
다사424471,신정3동
다사407485,신월1동
다사418468,신월4동
다사435471,신정1동
다사412477,신월1동
다사408458,신정3동
다사416476,신월1동
다사438479,목1동
다사442485,목4동
다사443493,목2동
다사409481,신월1동
다사447464,신정6동
다사413483,신월1동
다사432477,신정4동
다사412484,신월1동
다사431471,신정1동
다사415474,신월4동
다사437478,신정4동
다사403485,신월3동
다사416461,신정3동
다사424469,신월2동
다사439501,목3동
다사442475,목1동
다사412471,신월7동
다사409484,신월1동
다사450497,목2동
다사431472,신정4동
다사424474,신월2동
다사418459,신정3동
다사438464,신정6동
다사442477,목1동
다사415465,신월6동
다사409488,신월5동
다사423465,신월6동
다사450486,목5동
다사451498,목2동
다사433463,신정1동
다사448472,목1동
다사442481,목5동
다사433460,신정7동
다사445496,목2동
다사406474,신월3동
다사418456,신정3동
다사434476,신정4동
다사441477,목1동
다사445465,신정2동
다사434474,신정4동
다사453490,목5동
다사412467,신월7동
다사445468,신정2동
다사406495,신월5동
다사414476,신월1동
다사438469,신정1동
다사439468,신정1동
다사408472,신월7동
다사429474,신정4동
다사440481,목4동
다사410476,신월3동
다사451483,목5동
다사451484,목5동
다사446488,목5동
다사406472,신월7동
다사415477,신월1동
다사426469,신정3동
다사416466,신월4동
다사405484,신월3동
다사422471,신월2동
다사444474,목1동
다사440478,목1동
다사445490,목2동
다사446491,목2동
다사456486,목5동
다사413482,신월1동
다사431466,신정1동
다사439496,목3동
다사450492,목5동
다사452497,목2동
다사421474,신월2동
다사426468,신정3동
다사408490,신월5동
다사409472,신월7동
다사443477,목1동
다사436479,신정4동
다사441494,목2동
다사450473,목1동
다사417472,신월4동
다사434478,신정4동
다사448473,목1동
다사449492,목2동
다사408489,신월5동
다사437473,신정4동
다사437497,목3동
다사427465,신정3동
다사431473,신정4동
다사447486,목5동
다사407474,신월3동
다사414478,신월1동
다사436497,목3동
다사406481,신월3동
다사448496,목2동
다사452487,목5동
다사429467,신정1동
다사405487,신월3동
다사418476,신월2동
다사434461,신정7동
다사408485,신월1동
다사410465,신월7동
다사440471,신정6동
다사441462,신정6동
다사418471,신월4동
다사424467,신월2동
다사452490,목5동
다사418465,신월6동
다사444497,목2동
다사437479,신정4동
다사416460,신정3동
다사444484,목5동
다사453492,목5동
다사446471,신정2동
다사410484,신월1동
다사435455,신정7동
다사412454,신정3동
다사420469,신월2동
다사438491,목3동
다사439499,목3동
다사413478,신월1동
다사424476,신월2동
다사443486,목4동
다사441456,신정7동
다사408488,신월5동
다사423476,신월2동
다사436467,신정1동
다사441476,목1동
다사443488,목4동
다사415466,신월6동
다사432463,신정1동
다사440476,목1동
다사404473,신월7동
다사406473,신월7동
다사435478,신정4동
다사411482,신월1동
다사423471,신월2동
다사439488,목4동
다사423466,신월2동
다사422466,신월2동
다사414467,신월7동
다사427464,신정3동
다사446483,목5동
다사404481,신월3동
다사407462,신정3동
다사418463,신월6동
다사440499,목3동
다사429477,신정4동
다사432472,신정4동
다사445473,목1동
다사425467,신정3동
다사451486,목5동
다사417456,신정3동
다사432465,신정1동
다사442465,신정6동
다사420457,신정3동
다사436466,신정1동
다사430478,신정4동
다사412483,신월1동
다사434460,신정7동
다사439490,목3동
다사452483,목5동
다사414466,신월7동
다사417462,신월6동
다사443484,목4동
다사405493,신월5동
다사448493,목2동
다사435465,신정1동
다사441475,목1동
다사407473,신월7동
다사425470,신정3동
다사407464,신정3동
다사441469,신정6동
다사414473,신월4동
다사438453,신정7동
다사447482,목5동
다사455487,목5동
다사414460,신정3동
다사424468,신월2동
다사446482,목5동
다사443466,신정2동
다사410458,신정3동
다사438468,신정1동
다사406494,신월5동
다사439476,목1동
다사411471,신월7동
다사407460,신정3동
다사410478,신월1동
다사441496,목2동
다사413471,신월7동
다사447467,신정2동
다사445485,목5동
다사411478,신월1동
다사409465,신월7동
다사426459,신정3동
다사422476,신월2동
다사416464,신월6동
다사413466,신월7동
다사430467,신정1동
다사421457,신정3동
다사451488,목5동
다사435461,신정7동
다사453484,목5동
다사416478,신월1동
다사408493,신월5동
다사412472,신월7동
다사432469,신정1동
다사441489,목4동
다사425477,신월2동
다사426477,신정4동
다사410488,신월5동
다사442472,신정6동
다사445467,신정2동
다사415473,신월4동
다사443463,신정6동
다사411465,신월7동
다사445470,신정2동
다사439484,목4동
다사443470,신정2동
다사435477,신정4동
다사442458,신정7동
다사431474,신정4동
다사430460,신정3동
다사403483,신월3동
다사407496,신월5동
다사448468,신정2동
다사409466,신월7동
다사445462,신정6동
다사421471,신월2동
다사435467,신정1동
다사438494,목3동
다사453488,목5동
다사440492,목3동
다사438462,신정6동
다사409490,신월5동
다사447469,신정2동
다사411470,신월7동
다사415470,신월4동
다사428462,신정3동
다사442500,목3동
다사426473,신월2동
다사437467,신정1동
다사406485,신월3동
다사453491,목5동
다사410486,신월1동
다사408464,신정3동
다사416471,신월4동
다사408495,신월5동
다사449493,목2동
다사405458,신월7동
다사458487,목5동
다사437484,목4동
다사404494,신월5동
다사451469,신정2동
다사444476,목1동
다사448484,목5동
다사407479,신월3동
다사411460,신정3동
다사423458,신정3동
다사439473,목1동
다사455496,목2동
다사429458,신정3동
다사434454,신정7동
다사448460,신정6동
다사406462,신정3동
다사422457,신정3동
다사443475,목1동
다사437492,목3동
다사408494,신월5동
다사454479,목1동
다사436498,목3동
다사412456,신정3동
다사444452,신정7동
다사456489,목5동
다사442463,신정6동
다사449479,목1동
다사410464,신월7동
다사423478,신월2동
다사449459,신정6동
다사409456,신정3동
다사409458,신정3동
다사402490,신월3동
다사403462,신월7동
다사406500,신월5동
다사442452,신정7동
다사406477,신월3동
다사401487,신월3동
다사404464,신월7동
다사413452,신정3동
다사424463,신정3동
다사446477,목1동
다사414471,신월4동
다사412463,신월6동
다사456490,목5동
다사405456,신월7동
다사457482,목5동
다사440466,신정6동
다사401489,신월3동
다사449477,목1동
다사438476,목1동
다사406476,신월3동
다사423457,신정3동
다사421456,신정3동
다사441467,신정1동
다사459488,목5동
다사447458,신정6동
다사406470,신월7동
다사409462,신정3동
다사425462,신정3동
다사442480,목1동
다사422464,신월6동
다사438471,신정1동
다사420477,신월2동
다사439460,신정6동
다사457479,목1동
다사403467,신월7동
다사446476,목1동
다사410462,신정3동
다사442467,신정6동
다사461482,목5동
다사403489,신월3동
다사411466,신월7동
다사437481,목4동
다사449475,목1동
다사444455,신정7동
다사407478,신월3동
다사405470,신월7동
다사402461,신월7동
다사412464,신월6동
다사408454,신정3동
다사444479,목1동
다사403457,신월7동
다사409455,신정3동
다사459482,목5동
다사414458,신정3동
다사456480,목1동
다사447490,목2동
다사403471,신월7동
다사448459,신정6동
다사446457,신정6동
다사415452,신정3동
다사458485,목5동
다사402491,신월3동
다사410456,신정3동
다사435473,신정4동
다사406478,신월3동
다사409463,신정3동
다사446480,목1동
다사407477,신월3동
다사457488,목5동
다사431459,신정3동
다사426466,신정3동
다사449485,목5동
다사442459,신정7동
다사453494,목2동
다사451495,목2동
다사403464,신월7동
다사405474,신월3동
다사409454,신정3동
다사413456,신정3동
다사412450,신정3동
다사419457,신정3동
다사458482,목5동
다사405469,신월7동
다사428463,신정3동
다사403492,신월3동
다사421460,신정3동
다사450478,목1동
다사455489,목5동
다사441473,목1동
다사408469,신월7동
다사407471,신월7동
다사405459,신월7동
다사411458,신정3동
다사452480,목1동
다사440473,목1동
다사430459,신정3동
다사406479,신월3동
다사457494,목5동
다사423461,신정3동
다사454477,목1동
다사423459,신정3동
다사437501,목3동
다사402487,신월3동
다사425463,신정3동
다사443457,신정7동
다사441453,신정7동
다사449494,목2동
다사413450,신정3동
다사418455,신정3동
다사408479,신월3동
다사427458,신정3동
다사447454,신정7동
다사426458,신정3동
다사436494,목3동
다사451472,목1동
다사460485,목5동
다사450493,목2동
다사460481,목5동
다사412452,신정3동
다사404462,신월7동
다사404465,신월7동
다사447459,신정6동
다사409476,신월3동
다사428458,신정3동
다사446455,신정6동
다사430464,신정1동
다사453475,목1동
다사460483,목5동
다사414461,신정3동
다사441459,신정7동
다사400485,신월3동
다사439462,신정6동
다사405480,신월3동
다사445479,목1동
다사405475,신월3동
다사425460,신정3동
다사425458,신정3동
다사443461,신정6동
다사415457,신정3동
다사452494,목2동
다사459480,목1동
다사451477,목1동
다사455497,목2동
다사425474,신월2동
다사450475,목1동
다사407457,신정3동
다사431457,신정3동
다사445452,신정7동
다사420459,신정3동
다사440468,신정1동
다사447493,목2동
다사449499,목2동
다사438458,신정7동
다사458480,목1동
다사431464,신정1동
다사454499,목2동
다사457481,목1동
다사427467,신정3동
다사456491,목5동
다사403461,신월7동
다사455478,목1동
다사407492,신월5동
다사409457,신정3동
다사456495,목2동
다사404497,신월5동
다사445469,신정2동
다사452477,목1동
다사432458,신정3동
다사406475,신월3동
다사445454,신정7동
다사440503,목3동
다사405499,신월5동
다사449478,목1동
다사455492,목5동
다사457489,목5동
다사401465,신월7동
다사403480,신월3동
다사413457,신정3동
다사460484,목5동
다사400490,신월3동
다사422463,신월6동
다사447457,신정6동
다사446459,신정6동
다사408477,신월3동
다사412457,신정3동
다사452482,목1동
다사421462,신월6동
다사458488,목5동
다사402482,신월3동
다사451465,신정2동
다사410452,신정3동
다사405462,신정3동
다사443469,신정2동
다사403469,신월7동
다사420460,신정3동
다사437502,목3동
다사439471,신정1동
다사438477,목1동
다사444456,신정7동
다사410467,신월7동
다사413451,신정3동
다사448481,목1동
다사444454,신정7동
다사405460,신월7동
다사461485,목5동
다사409478,신월3동
다사446479,목1동
다사409452,신정3동
다사407498,신월5동
다사448458,신정6동
다사418454,신정3동
다사416452,신정3동
다사450480,목1동
다사408467,신월7동
다사406459,신정3동
다사448499,목2동
다사454498,목2동
다사404468,신월7동
다사403468,신월7동
다사447453,신정7동
다사439466,신정1동
다사441465,신정6동
다사436469,신정1동
다사456479,목1동
다사400486,신월3동
다사407463,신정3동
다사424461,신정3동
다사447456,신정6동
다사421463,신월6동
다사455477,목1동
다사450464,신정2동
다사449461,신정6동
다사453481,목1동
다사410457,신정3동
다사439472,목1동
다사453482,목1동
다사437471,신정1동
다사460482,목5동
다사418453,신정3동
다사445458,신정6동
다사422462,신정3동
다사409477,신월3동
다사430458,신정3동
다사443459,신정7동
다사404466,신월7동
다사431461,신정3동
다사452498,목2동
다사451466,신정2동
다사408468,신월7동
다사452481,목1동
다사431479,신정4동
다사445477,목1동
다사451497,목2동
다사404460,신월7동
다사413463,신월6동
다사445481,목1동
다사407456,신정3동
다사449476,목1동
다사455490,목5동
다사435454,신정7동
다사433455,신정7동
다사447478,목1동
다사413454,신정3동
다사444453,신정7동
다사454497,목2동
다사441480,목1동
다사403465,신월7동
다사401464,신월7동
다사443483,목4동
다사431463,신정1동
다사408497,신월5동
다사406460,신월7동
다사408496,신월5동
다사416455,신정3동
다사451470,신정2동
다사412458,신정3동
다사450467,신정2동
다사421459,신정3동
다사450468,신정2동
다사411451,신정3동
다사457480,목1동
다사408498,신월5동
다사447499,목2동
다사445488,목2동
다사432457,신정3동
다사441455,신정7동
다사446481,목1동
다사451478,목1동
다사436468,신정1동
다사441502,목3동
다사423464,신월6동
다사447476,목1동
다사406469,신월7동
다사443454,신정7동
다사408499,신월5동
다사407468,신월7동
다사446499,목2동
다사433456,신정7동
다사449486,목5동
다사453479,목1동
다사404495,신월5동
다사420461,신정3동
다사403488,신월3동
다사402460,신월7동
다사437489,목4동
다사447460,신정6동
다사403466,신월7동
다사443500,목3동
다사451475,목1동
다사406457,신정3동
다사439458,신정7동
다사446461,신정6동
다사461484,목5동
다사423462,신정3동
다사460480,목1동
다사402466,신월7동
다사420465,신월6동
다사457492,목5동
다사443460,신정6동
다사454495,목2동
다사406456,신정3동
다사404469,신월7동
다사454482,목1동
다사429479,신정4동
다사408457,신정3동
다사442460,신정7동
다사410454,신정3동
다사402463,신월7동
다사405466,신월7동
다사447461,신정6동
다사459481,목1동
다사444469,신정2동
다사454481,목1동
다사426467,신정3동
다사406464,신정3동
다사445478,목1동
다사405500,신월5동
다사446454,신정7동
다사442453,신정7동
다사451479,목1동
다사410463,신정3동
다사459484,목5동
다사416456,신정3동
다사453476,목1동
다사444478,목1동
다사448494,목2동
다사423463,신정3동
다사411493,신월5동
다사424460,신정3동
다사440469,신정1동
다사434473,신정4동
다사450495,목2동
다사441466,신정6동
다사408475,신월3동
다사400492,신월3동
다사411464,신월7동
다사415453,신정3동
다사420463,신월6동
다사405479,신월3동
다사414455,신정3동
다사458481,목1동
다사412451,신정3동
다사450477,목1동
다사422456,신정3동
다사437483,목4동
다사400491,신월3동
다사455494,목5동
다사406471,신월7동
다사460486,목5동
다사407469,신월7동
다사448479,목1동
다사415458,신정3동
다사457487,목5동
다사455482,목1동
다사413455,신정3동
다사455491,목5동
다사410460,신정3동
다사417461,신월6동
다사431458,신정3동
다사450466,신정2동
다사451476,목1동
다사414463,신월6동
다사449480,목1동
다사450469,신정2동
다사412460,신정3동
다사435457,신정7동
다사412475,신월1동
다사415480,신월1동
다사428464,신정3동
다사434457,신정7동
다사452475,목1동
다사403463,신월7동
다사402462,신월7동
다사411467,신월7동
다사417457,신정3동
다사445455,신정7동
다사421458,신정3동
다사450485,목5동
다사459486,목5동
다사408476,신월3동
다사442464,신정6동
다사448477,목1동
다사411450,신정3동
다사429459,신정3동
다사409464,신정3동
다사421455,신정3동
다사407470,신월7동
다사401491,신월3동
다사403473,신월7동
다사457491,목5동
다사415463,신월6동
다사406468,신월7동
다사414450,신정3동
다사440467,신정1동
다사412490,신월5동
다사451481,목1동
다사425457,신정3동
다사402489,신월3동
다사453480,목1동
다사405457,신월7동
다사409453,신정3동
다사447455,신정6동
다사418458,신정3동
다사437470,신정1동
다사414453,신정3동
다사414451,신정3동
다사446478,목1동
다사405496,신월5동
다사444458,신정6동
다사414454,신정3동
다사441454,신정7동
다사444457,신정7동
다사451499,목2동
다사451482,목1동
다사432479,신정4동
다사454480,목1동
다사452478,목1동
다사439459,신정7동
다사450479,목1동
다사426462,신정3동
다사436465,신정1동
다사450487,목5동
다사427463,신정3동
다사404475,신월3동
다사451474,목1동
다사442461,신정7동
다사416453,신정3동
다사407467,신월7동
다사454478,목1동
다사441461,신정6동
다사446452,신정7동
다사406498,신월5동
다사427478,신정4동
다사450463,신정2동
다사414452,신정3동
다사431465,신정1동
다사417454,신정3동
다사449474,목1동
다사414462,신월6동
다사421461,신정3동
다사402459,신월7동
다사415454,신정3동
다사446453,신정7동
다사417477,신월1동
다사404470,신월7동
다사441478,목1동
다사406467,신월7동
다사437465,신정6동
다사444481,목1동
다사434458,신정7동
다사449483,목5동
다사410453,신정3동
다사450465,신정2동
다사456492,목5동
다사404467,신월7동
다사445459,신정6동
다사438504,목3동
다사440459,신정7동
다사455495,목2동
다사452476,목1동
다사402493,신월3동
다사450462,신정6동
다사415455,신정3동
다사450496,목2동
다사420462,신월6동
다사451471,신정2동
다사408456,신정3동
다사445457,신정6동
다사430457,신정3동
다사438465,신정6동
다사403459,신월7동
다사431460,신정3동
다사415451,신정3동
다사440460,신정7동
다사405468,신월7동
다사418477,신월2동
다사437480,목4동
다사411475,신월3동
다사408455,신정3동
다사436453,신정7동
다사450481,목1동
다사406465,신월7동
다사450461,신정6동
다사419462,신월6동
다사448457,신정6동
다사407491,신월5동
다사414457,신정3동
다사449458,신정6동
다사403493,신월3동
다사450476,목1동
다사451494,목2동
다사461481,목5동
다사404488,신월3동
다사447481,목1동
다사458489,목5동
다사404496,신월5동
다사401484,신월3동
다사444475,목1동
다사439465,신정6동
다사442455,신정7동
다사424458,신정3동
다사452479,목1동
다사446460,신정6동
다사419477,신월2동
다사439454,신정7동
다사443453,신정7동
다사419459,신정3동
다사407499,신월5동
다사404493,신월5동
다사458483,목5동
다사405495,신월5동
다사425461,신정3동
다사450474,목1동
다사459487,목5동
다사457483,목5동
다사424478,신월2동
다사415481,신월1동
다사404458,신월7동
다사456496,목2동
다사420458,신정3동
다사438459,신정7동
다사437482,목4동
다사444459,신정6동
다사420464,신월6동
다사452500,목2동
다사455479,목1동
다사407475,신월3동
다사424462,신정3동
다사415456,신정3동
다사445499,목2동
다사448485,목5동
다사410461,신정3동
다사408466,신월7동
다사417453,신정3동
다사450499,목2동
다사406499,신월5동
다사426463,신정3동
다사449481,목1동
다사441460,신정7동
다사402488,신월3동
다사445451,신정7동
다사408463,신정3동
다사408453,신정3동
다사456494,목5동
다사450494,목2동
다사452499,목2동
다사416479,신월1동
다사405467,신월7동
다사455493,목5동
다사448483,목5동
다사430463,신정1동
다사443480,목1동
다사402492,신월3동
다사456482,목1동
다사455481,목1동
다사453500,목2동
다사453478,목1동
다사405497,신월5동
다사448476,목1동
다사444451,신정7동
다사401485,신월3동
다사410451,신정3동
다사457493,목5동
다사446456,신정6동
다사424457,신정3동
다사460487,목5동
다사446451,신정7동
다사413458,신정3동
다사449462,신정6동
다사401486,신월3동
다사459483,목5동
다사445487,목5동
다사406458,신정3동
다사409475,신월3동
다사407476,신월3동
다사444486,목4동
다사422458,신정3동
다사405473,신월7동
다사412459,신정3동
다사442454,신정7동
다사401488,신월3동
다사411452,신정3동
다사430479,신정4동
다사412476,신월1동
다사451473,목1동
다사424459,신정3동
다사451480,목1동
다사437452,신정7동
다사422461,신정3동
다사402465,신월7동
다사455480,목1동
다사458490,목5동
다사453499,목2동
다사419453,신정3동
다사437490,목3동
다사437491,목3동
다사454488,목5동
다사456493,목5동
다사416454,신정3동
다사441452,신정7동
다사440461,신정6동
다사404459,신월7동
다사408478,신월3동
다사450470,신정2동
다사404474,신월3동
다사446485,목5동
다사445456,신정6동
다사444500,목2동
다사427466,신정3동
다사444460,신정6동
다사456481,목1동
다사403491,신월3동
다사410455,신정3동
다사445480,목1동
다사445460,신정6동
다사445453,신정7동
다사446458,신정6동
다사402464,신월7동
다사456478,목1동
다사438460,신정6동
다사458484,목5동
다사401492,신월3동
다사407500,신월5동
다사404457,신월7동
다사457490,목5동
다사453477,목1동
다사448491,목2동
다사459485,목5동
다사406461,신정3동
다사405498,신월5동
다사403460,신월7동
다사416457,신정3동
다사458486,목5동
다사420453,신정3동
다사448461,신정6동
다사404480,신월3동
다사436480,신정4동
다사440452,신정7동
다사445463,신정6동
다사658453,송파1동
다사677419,위례동
다사687447,마천2동
다사677464,오륜동
다사655462,방이2동
다사647468,잠실6동
다사675456,오륜동
다사655450,송파1동
다사691437,거여2동
다사671430,문정1동
다사663449,송파2동
다사688439,거여2동
다사661476,풍납2동
다사633453,잠실본동
다사668433,문정1동
다사656444,가락1동
다사666460,방이1동
다사646448,석촌동
다사651445,석촌동
다사662432,문정2동
다사630448,잠실본동
다사671436,문정1동
다사647448,석촌동
다사685444,거여1동
다사686448,마천2동
다사638462,잠실2동
다사639446,삼전동
다사670439,가락2동
다사658454,송파1동
다사660462,방이2동
다사660457,방이2동
다사654453,송파1동
다사639447,삼전동
다사680417,위례동
다사634460,잠실2동
다사676462,오륜동
다사641447,삼전동
다사672451,오금동
다사623450,잠실7동
다사665435,가락본동
다사687437,거여2동
다사625455,잠실7동
다사672445,가락2동
다사685446,마천2동
다사652456,송파1동
다사691440,거여2동
다사691441,마천1동
다사627458,잠실본동
다사659453,송파1동
다사683439,거여1동
다사658464,방이2동
다사659449,송파2동
다사661481,풍납2동
다사659479,풍납2동
다사677431,장지동
다사686446,마천2동
다사641456,잠실3동
다사647453,석촌동
다사687443,거여1동
다사656431,문정2동
다사628460,잠실2동
다사693447,마천2동
다사682424,위례동
다사660446,송파2동
다사660458,방이2동
다사660487,풍납1동
다사657444,송파2동
다사691444,마천2동
다사672457,오금동
다사677443,오금동
다사663452,송파2동
다사669457,방이1동
다사635456,잠실3동
다사696442,마천1동
다사681417,위례동
다사666453,방이1동
다사659461,방이2동
다사660450,송파2동
다사667449,가락본동
다사666444,가락본동
다사693445,마천2동
다사630457,잠실본동
다사670449,오금동
다사641465,잠실3동
다사671425,장지동
다사678442,오금동
다사663443,가락본동
다사684420,위례동
다사684444,거여1동
다사668438,가락본동
다사674467,오륜동
다사655455,송파1동
다사676461,오륜동
다사659478,풍납2동
다사685433,거여2동
다사666438,가락본동
다사670444,가락2동
다사673461,오륜동
다사673435,문정1동
다사687424,위례동
다사657460,방이2동
다사654456,송파1동
다사667428,문정1동
다사658473,풍납2동
다사674422,장지동
다사647444,석촌동
다사652448,석촌동
다사673427,장지동
다사657468,잠실4동
다사643442,석촌동
다사633456,잠실본동
다사658479,풍납2동
다사661451,송파2동
다사688448,마천2동
다사674435,문정1동
다사654454,송파1동
다사637461,잠실2동
다사666487,풍납1동
다사673431,문정1동
다사680466,오륜동
다사658434,문정2동
다사629460,잠실2동
다사627462,잠실2동
다사651441,가락1동
다사679417,위례동
다사692433,위례동
다사690440,거여2동
다사641444,삼전동
다사657450,송파1동
다사655470,잠실4동
다사636460,잠실2동
다사683450,오금동
다사687432,거여2동
다사675423,장지동
다사661446,송파2동
다사642445,삼전동
다사663490,풍납1동
다사646469,잠실6동
다사694438,마천1동
다사640461,잠실3동
다사682447,오금동
다사646453,석촌동
다사687434,거여2동
다사664456,방이1동
다사668457,방이1동
다사662482,풍납2동
다사672459,오륜동
다사666439,가락본동
다사674448,오금동
다사644445,석촌동
다사659482,풍납2동
다사659458,방이2동
다사664461,방이1동
다사634461,잠실2동
다사659452,송파1동
다사652442,가락1동
다사629458,잠실본동
다사650451,석촌동
다사675435,가락2동
다사680446,오금동
다사662446,송파2동
다사693441,마천1동
다사659450,송파1동
다사647469,잠실6동
다사675440,가락2동
다사676454,오금동
다사623454,잠실7동
다사657443,가락1동
다사663444,가락본동
다사669458,방이1동
다사630456,잠실본동
다사655451,송파1동
다사657449,송파1동
다사650441,가락1동
다사656433,문정2동
다사653448,석촌동
다사663448,송파2동
다사665448,송파2동
다사670418,문정2동
다사640462,잠실3동
다사661463,방이2동
다사677444,오금동
다사651451,석촌동
다사644443,석촌동
다사667445,가락본동
다사695437,마천1동
다사640456,잠실3동
다사673438,가락2동
다사676423,장지동
다사664452,방이1동
다사646445,석촌동
다사650442,가락1동
다사668446,가락본동
다사673452,오금동
다사688447,마천2동
다사654447,석촌동
다사654450,송파1동
다사688433,거여2동
다사683447,마천2동
다사676463,오륜동
다사686440,거여1동
다사646444,석촌동
다사673434,문정1동
다사653469,잠실4동
다사657484,풍납2동
다사671434,문정1동
다사663442,가락본동
다사669451,오금동
다사677442,가락2동
다사685434,거여2동
다사666429,문정1동
다사666449,송파2동
다사672431,문정1동
다사635457,잠실3동
다사669434,문정1동
다사637457,잠실3동
다사669459,방이1동
다사669449,오금동
다사660451,송파2동
다사664445,가락본동
다사700445,마천1동
다사633449,잠실본동
다사628463,잠실2동
다사672420,장지동
다사628452,잠실본동
다사677452,오금동
다사676431,장지동
다사642462,잠실3동
다사627452,잠실본동
다사667453,방이1동
다사637447,삼전동
다사696437,마천1동
다사676449,오금동
다사675454,오금동
다사681423,위례동
다사680420,위례동
다사662460,방이2동
다사654473,풍납2동
다사674445,오금동
다사679467,오륜동
다사635454,잠실본동
다사665446,가락본동
다사657466,잠실4동
다사665436,가락본동
다사661433,문정2동
다사621452,잠실7동
다사687439,거여2동
다사627456,잠실본동
다사649442,가락1동
다사675453,오금동
다사643452,석촌동
다사667440,가락본동
다사639460,잠실2동
다사662461,방이2동
다사660454,방이2동
다사643460,잠실3동
다사644452,석촌동
다사680453,오륜동
다사638447,삼전동
다사666442,가락본동
다사642451,삼전동
다사655469,잠실4동
다사687435,거여2동
다사658470,잠실4동
다사671438,가락2동
다사675437,가락2동
다사669437,가락본동
다사697440,마천1동
다사676464,오륜동
다사680444,오금동
다사627459,잠실본동
다사679448,오금동
다사679466,오륜동
다사665450,송파2동
다사691445,마천2동
다사672454,오금동
다사694436,거여2동
다사646443,석촌동
다사656456,송파1동
다사644467,잠실6동
다사643445,석촌동
다사644465,잠실6동
다사660448,송파2동
다사688442,거여2동
다사664447,송파2동
다사665426,문정2동
다사658435,가락1동
다사668432,문정1동
다사657454,송파1동
다사633448,삼전동
다사643446,석촌동
다사657455,송파1동
다사670453,오금동
다사632451,잠실본동
다사658457,방이2동
다사636448,삼전동
다사621455,잠실7동
다사653463,방이2동
다사642448,삼전동
다사648453,석촌동
다사642452,삼전동
다사673423,장지동
다사679419,위례동
다사657483,풍납2동
다사641445,삼전동
다사682417,위례동
다사641463,잠실3동
다사643453,삼전동
다사639456,잠실3동
다사692447,마천2동
다사631456,잠실본동
다사668435,가락본동
다사662453,방이1동
다사634454,잠실본동
다사627453,잠실본동
다사671454,오금동
다사691439,거여2동
다사682442,거여1동
다사666451,방이1동
다사675459,오륜동
다사673430,장지동
다사663462,방이2동
다사657462,방이2동
다사629453,잠실본동
다사637449,삼전동
다사641455,잠실3동
다사663461,방이2동
다사639448,삼전동
다사674441,가락2동
다사635459,잠실2동
다사652457,송파1동
다사684445,거여1동
다사672440,가락2동
다사654460,방이2동
다사650448,석촌동
다사637448,삼전동
