gid,lon,lat
다사412486,"126.8350233000","37.5352970700"
다사450471,"126.8781444000","37.5220117900"
다사438472,"126.8645574000","37.5228408200"
다사416468,"126.8396935000","37.5190990400"
다사432462,"126.8578449000","37.5137910200"
다사414469,"126.8374225000","37.5199876600"
다사438474,"126.8645421000","37.5246434400"
다사412487,"126.8350153000","37.5361983700"
다사431462,"126.8567134000","37.5137848700"
다사438475,"126.8645345000","37.5255447400"
다사411488,"126.8338755000","37.5370933000"
다사439478,"126.8656432000","37.5282547500"
다사436460,"126.8623862000","37.5120129300"
다사414483,"126.8373108000","37.5326059000"
다사415467,"126.8385699000","37.5181914000"
다사412485,"126.8350313000","37.5343957700"
다사412488,"126.8350073000","37.5370996700"
다사439480,"126.8656280000","37.5300573600"
다사415468,"126.8385620000","37.5190927000"
다사450472,"126.8781369000","37.5229131000"
다사413484,"126.8361711000","37.5335008400"
다사443482,"126.8701398000","37.5318842100"
다사416467,"126.8397015000","37.5181977300"
다사436471,"126.8623018000","37.5219273200"
다사440480,"126.8667597000","37.5300634400"
다사449473,"126.8769978000","37.5238084500"
다사438478,"126.8645115000","37.5282486700"
다사413485,"126.8361631000","37.5344021400"
다사449472,"126.8770053000","37.5229071400"
다사438473,"126.8645498000","37.5237421300"
다사439479,"126.8656356000","37.5291560600"
다사439477,"126.8656509000","37.5273534400"
다사438479,"126.8645039000","37.5291499700"
다사412484,"126.8350393000","37.5334944700"
다사416466,"126.8397094000","37.5172964300"
다사413482,"126.8361871000","37.5316982400"
다사450492,"126.8779872000","37.5409392800"
다사450473,"126.8781294000","37.5238144100"
다사432463,"126.8578372000","37.5146923300"
다사454479,"126.8826114000","37.5292460200"
다사457482,"126.8859845000","37.5319676500"
다사456480,"126.8848675000","37.5301591500"
다사458485,"126.8870941000","37.5346774600"
다사458482,"126.8871162000","37.5319735300"
다사421462,"126.8453986000","37.5137227000"
다사438477,"126.8645192000","37.5273473600"
다사437471,"126.8634334000","37.5219334200"
다사431463,"126.8567057000","37.5146861800"
다사453479,"126.8814797000","37.5292401000"
다사454481,"126.8825966000","37.5310486400"
다사459484,"126.8882333000","37.5337820200"
다사455482,"126.8837209000","37.5319558600"
다사459486,"126.8882185000","37.5355846400"
다사454480,"126.8826040000","37.5301473300"
다사449474,"126.8769903000","37.5247097600"
다사458483,"126.8871088000","37.5328748400"
다사457483,"126.8859771000","37.5328689600"
다사415481,"126.8384585000","37.5308096400"
다사455479,"126.8837432000","37.5292519300"
다사430463,"126.8555742000","37.5146800100"
다사455481,"126.8837283000","37.5310545500"
다사455480,"126.8837358000","37.5301532400"
다사450470,"126.8781519000","37.5211104800"
다사456481,"126.8848601000","37.5310604500"
다사458484,"126.8871015000","37.5337761500"
다사459485,"126.8882259000","37.5346833300"
다사458486,"126.8870867000","37.5355787700"
다사672451,"127.1294590000","37.5050404600"
다사628460,"127.0796321000","37.5129858800"
다사682424,"127.1408896000","37.4807389600"
다사657444,"127.1125206000","37.4986765800"
다사672457,"127.1294323000","37.5104485400"
다사635456,"127.0875725000","37.5094084400"
다사670449,"127.1272052000","37.5032306400"
다사687424,"127.1465447000","37.4807560100"
다사629460,"127.0807636000","37.5129899000"
다사627462,"127.0784904000","37.5147845300"
다사683450,"127.1419087000","37.5041774900"
다사682447,"127.1407903000","37.5014700100"
다사675440,"127.1329017000","37.4951362300"
다사676454,"127.1339714000","37.5077586100"
다사673452,"127.1305860000","37.5059453500"
다사669451,"127.1260648000","37.5050297600"
다사669449,"127.1260738000","37.5032270700"
다사664445,"127.1204352000","37.4996036400"
다사628463,"127.0796169000","37.5156899000"
다사677452,"127.1351116000","37.5059594200"
다사675454,"127.1328400000","37.5077551000"
다사675453,"127.1328444000","37.5068537500"
다사642451,"127.0955171000","37.5049291100"
다사672454,"127.1294456000","37.5077445000"
다사670453,"127.1271872000","37.5068360300"
다사642452,"127.0955122000","37.5058304500"
다사643453,"127.0966388000","37.5067356700"
다사671454,"127.1283142000","37.5077409400"
다사674441,"127.1317661000","37.4960340600"
다사682425,"127.1408852000","37.4816403100"
다사668451,"127.1249334000","37.5050261800"
다사654448,"127.1091079000","37.5022707900"
다사679442,"127.1374180000","37.4969529000"
다사680452,"127.1385059000","37.5059698500"
다사675441,"127.1328973000","37.4960375800"
다사658446,"127.1136426000","37.5004829800"
다사658445,"127.1136473000","37.4995816400"
다사656448,"127.1113706000","37.5022782500"
다사678439,"127.1362999000","37.4942453800"
다사670451,"127.1271962000","37.5050333400"
다사663445,"127.1193039000","37.4996000000"
다사658448,"127.1136333000","37.5022856700"
다사661445,"127.1170412000","37.4995926900"
다사655448,"127.1102393000","37.5022745200"
다사677440,"127.1351643000","37.4951432400"
다사660443,"127.1159191000","37.4977863200"
다사672455,"127.1294412000","37.5086458500"
다사675452,"127.1328488000","37.5059524000"
다사630463,"127.0818800000","37.5156979300"
다사677439,"127.1351686000","37.4942418900"
다사687425,"127.1465405000","37.4816573600"
다사671457,"127.1283008000","37.5104449800"
다사640465,"127.0931858000","37.5175401300"
다사686424,"127.1454137000","37.4807526200"
다사681444,"127.1396719000","37.4987625200"
다사655447,"127.1102440000","37.5013731800"
다사656446,"127.1113800000","37.5004755600"
다사692431,"127.1521707000","37.4870822600"
다사660444,"127.1159145000","37.4986876700"
다사641451,"127.0943857000","37.5049252300"
다사670454,"127.1271828000","37.5077373800"
다사685423,"127.1442869000","37.4798478700"
다사687422,"127.1465532000","37.4789533000"
다사671456,"127.1283053000","37.5095436400"
다사670455,"127.1271783000","37.5086387200"
다사674456,"127.1316997000","37.5095542700"
다사672453,"127.1294501000","37.5068431500"
다사678453,"127.1362387000","37.5068642500"
다사676453,"127.1339758000","37.5068572600"
다사669453,"127.1260558000","37.5068324600"
다사641452,"127.0943808000","37.5058265800"
다사673451,"127.1305904000","37.5050440000"
다사679441,"127.1374224000","37.4960515500"
다사680426,"127.1386188000","37.4825347600"
다사680451,"127.1385102000","37.5050685000"
다사671455,"127.1283097000","37.5086422900"
다사668450,"127.1249379000","37.5041248300"
다사681425,"127.1397542000","37.4816368700"
다사675455,"127.1328355000","37.5086564400"
다사681443,"127.1396763000","37.4978611700"
다사672456,"127.1294367000","37.5095471900"
다사692432,"127.1521665000","37.4879836100"
다사678438,"127.1363042000","37.4933440300"
다사686425,"127.1454094000","37.4816539700"
다사683424,"127.1420206000","37.4807423900"
다사679452,"127.1373745000","37.5059663800"
다사685422,"127.1442912000","37.4789465200"
다사681449,"127.1396503000","37.5032692600"
다사662445,"127.1181725000","37.4995963500"
다사676440,"127.1340330000","37.4951397400"
다사681424,"127.1397585000","37.4807355100"
다사673453,"127.1305815000","37.5068467000"
다사681450,"127.1396459000","37.5041706100"
다사671450,"127.1283321000","37.5041355600"
다사636445,"127.0887584000","37.4994976100"
다사682449,"127.1407817000","37.5032727100"
다사629463,"127.0807485000","37.5156939200"
다사673454,"127.1305771000","37.5077480400"
다사683449,"127.1419130000","37.5032761500"
다사653450,"127.1079671000","37.5040697300"
다사669452,"127.1260603000","37.5059311100"
다사673455,"127.1305726000","37.5086493900"
다사679453,"127.1373701000","37.5068677300"
다사628461,"127.0796270000","37.5138872200"
다사683448,"127.1419173000","37.5023748000"
다사683423,"127.1420249000","37.4798410400"
다사681451,"127.1396416000","37.5050719600"
다사659446,"127.1147740000","37.5004866800"
다사629461,"127.0807585000","37.5138912400"
다사671449,"127.1283365000","37.5032342100"
다사637445,"127.0898897000","37.4995015500"
다사654449,"127.1091032000","37.5031721300"
다사678452,"127.1362430000","37.5059629000"
다사628462,"127.0796220000","37.5147885600"
다사657446,"127.1125113000","37.5004792800"
다사674453,"127.1317129000","37.5068502300"
다사659445,"127.1147786000","37.4995853300"
다사677441,"127.1351599000","37.4960445900"
다사629462,"127.0807535000","37.5147925800"
다사686423,"127.1454180000","37.4798512700"
다사670452,"127.1271917000","37.5059346900"
다사682446,"127.1407946000","37.5005686600"
다사630460,"127.0818951000","37.5129939100"
다사671452,"127.1283231000","37.5059382500"
다사674452,"127.1317174000","37.5059488800"
다사673456,"127.1305682000","37.5095507400"
다사669450,"127.1260693000","37.5041284200"
다사684423,"127.1431559000","37.4798444600"
다사681452,"127.1396373000","37.5059733100"
다사672452,"127.1294545000","37.5059418100"
다사660445,"127.1159099000","37.4995890100"
다사678441,"127.1362911000","37.4960480700"
다사682450,"127.1407773000","37.5041740600"
다사678440,"127.1362955000","37.4951467200"
다사661444,"127.1170458000","37.4986913400"
다사680441,"127.1385537000","37.4960550200"
다사657448,"127.1125020000","37.5022819700"
다사627460,"127.0785005000","37.5129818500"
다사656447,"127.1113753000","37.5013769100"
다사676452,"127.1339802000","37.5059559100"
다사671453,"127.1283187000","37.5068396000"
다사682448,"127.1407860000","37.5023713600"
다사677453,"127.1351072000","37.5068607600"
다사674454,"127.1317085000","37.5077515800"
다사676441,"127.1340286000","37.4960410900"
다사687423,"127.1465490000","37.4798546600"
다사657447,"127.1125066000","37.5013806200"
다사627461,"127.0784955000","37.5138831900"
다사670450,"127.1272007000","37.5041319900"
다사679440,"127.1374268000","37.4951502000"
다사668449,"127.1249424000","37.5032234800"
다사677454,"127.1351028000","37.5077621100"
다사657445,"127.1125160000","37.4995779300"
다사680442,"127.1385493000","37.4969563700"
다사680425,"127.1386231000","37.4816334100"
다사646458,"127.1000090000","37.5112539200"
다사680443,"127.1385450000","37.4978577200"
다사682451,"127.1407730000","37.5050754100"
다사679425,"127.1374921000","37.4816299500"
다사680424,"127.1386275000","37.4807320600"
다사672450,"127.1294635000","37.5041391100"
다사671451,"127.1283276000","37.5050369000"
다사696433,"127.1566870000","37.4888982000"
다사674455,"127.1317041000","37.5086529200"
다사683451,"127.1419044000","37.5050788400"
다사658447,"127.1136380000","37.5013843300"
다사646457,"127.1000138000","37.5103525800"
다사599571,"127.0462118000","37.6129120300"
다사565561,"127.0077486000","37.6037444400"
다사563543,"127.0055902000","37.5875112400"
다사572566,"127.0156495000","37.6082838400"
다사600574,"127.0473284000","37.6156203500"
다사573566,"127.0167825000","37.6082884900"
다사573562,"127.0168058000","37.6046832100"
다사601574,"127.0484615000","37.6156246900"
다사595558,"127.0417516000","37.6011773400"
다사597571,"127.0439458000","37.6129033000"
다사579545,"127.0237009000","37.5893884000"
다사575572,"127.0190136000","37.6137056500"
다사599572,"127.0462063000","37.6138133500"
다사572564,"127.0156612000","37.6064812100"
다사579552,"127.0236606000","37.5956976500"
다사606576,"127.0541161000","37.6174488700"
다사565547,"127.0078318000","37.5911259800"
다사601571,"127.0484779000","37.6129207200"
다사601573,"127.0484670000","37.6147233700"
다사601572,"127.0484724000","37.6138220400"
다사598573,"127.0450678000","37.6147103100"
다사607578,"127.0552384000","37.6192557900"
다사573563,"127.0168000000","37.6055845300"
다사571568,"127.0145049000","37.6100818200"
다사596573,"127.0428017000","37.6147015500"
다사598572,"127.0450733000","37.6138089900"
다사571564,"127.0145283000","37.6064765500"
다사571563,"127.0145342000","37.6055752300"
다사571570,"127.0144932000","37.6118844600"
다사573564,"127.0167942000","37.6064858500"
다사564548,"127.0066931000","37.5920225700"
다사597573,"127.0439348000","37.6147059400"
다사572563,"127.0156671000","37.6055798900"
다사572567,"127.0156437000","37.6091851600"
다사572568,"127.0156379000","37.6100864800"
다사600571,"127.0473448000","37.6129163800"
다사564547,"127.0066991000","37.5911212500"
다사598571,"127.0450788000","37.6129076700"
다사596572,"127.0428072000","37.6138002300"
다사570569,"127.0133660000","37.6109784700"
다사602572,"127.0496054000","37.6138263700"
다사599574,"127.0461954000","37.6156159900"
다사574545,"127.0180376000","37.5893654100"
다사573546,"127.0168991000","37.5902621000"
다사579551,"127.0236664000","37.5947963300"
다사595570,"127.0416853000","37.6119932000"
다사605577,"127.0529776000","37.6183459100"
다사572569,"127.0156320000","37.6109877900"
다사600573,"127.0473339000","37.6147190200"
다사572565,"127.0156554000","37.6073825200"
다사609575,"127.0575207000","37.6165603500"
다사573565,"127.0167883000","37.6073871700"
다사597572,"127.0439403000","37.6138046200"
다사573572,"127.0167475000","37.6136963900"
다사571569,"127.0144990000","37.6109831400"
다사600572,"127.0473394000","37.6138177000"
다사601570,"127.0484833000","37.6120194000"
다사599573,"127.0462009000","37.6147146700"
다사596571,"127.0428127000","37.6128989100"
다사580551,"127.0247991000","37.5948008900"
다사573567,"127.0167767000","37.6091898000"
다사565549,"127.0078199000","37.5929286200"
다사566548,"127.0089585000","37.5920320200"
다사565548,"127.0078258000","37.5920273000"
다사573573,"127.0167417000","37.6145977100"
다사581551,"127.0259319000","37.5948054500"
다사574572,"127.0178805000","37.6137010300"
다사607577,"127.0552438000","37.6183544700"
다사580550,"127.0248049000","37.5938995700"
다사586510,"127.0318270000","37.5578737400"
다사613493,"127.0624857000","37.5426683500"
다사589510,"127.0352236000","37.5578871600"
다사588514,"127.0340689000","37.5614880100"
다사589512,"127.0352124000","37.5596898200"
다사610498,"127.0590633000","37.5471623800"
다사591512,"127.0374768000","37.5596987100"
다사589516,"127.0351900000","37.5632951300"
다사585504,"127.0307287000","37.5524612800"
다사613492,"127.0624910000","37.5417670100"
다사586507,"127.0318439000","37.5551697600"
다사591516,"127.0374545000","37.5633040200"
다사589515,"127.0351956000","37.5623938000"
다사591510,"127.0374879000","37.5578960600"
다사590512,"127.0363446000","37.5596942700"
다사586512,"127.0318157000","37.5596764000"
다사591513,"127.0374712000","37.5606000400"
다사609500,"127.0579206000","37.5489608100"
다사586509,"127.0318327000","37.5569724200"
다사590511,"127.0363502000","37.5587929400"
다사589513,"127.0352068000","37.5605911500"
다사612499,"127.0613220000","37.5480721500"
다사616499,"127.0658502000","37.5480888800"
다사590516,"127.0363222000","37.5632995800"
다사591511,"127.0374824000","37.5587973800"
다사612497,"127.0613326000","37.5462694800"
다사614492,"127.0636229000","37.5417712000"
다사574507,"127.0182582000","37.5551151100"
다사614494,"127.0636124000","37.5435738700"
다사574508,"127.0182524000","37.5560164400"
다사592511,"127.0386146000","37.5588018100"
다사608501,"127.0567832000","37.5498579000"
다사584502,"127.0296080000","37.5506541200"
다사585512,"127.0306835000","37.5596719000"
다사616496,"127.0658659000","37.5453848800"
다사590510,"127.0363558000","37.5578916100"
다사615499,"127.0647182000","37.5480847200"
다사587512,"127.0329480000","37.5596808800"
다사590513,"127.0363390000","37.5605956000"
다사615495,"127.0647391000","37.5444793800"
다사615494,"127.0647444000","37.5435780500"
다사591515,"127.0374601000","37.5624027000"
다사588510,"127.0340914000","37.5578827000"
다사592510,"127.0386201000","37.5579004900"
다사588516,"127.0340577000","37.5632906700"
다사587511,"127.0329536000","37.5587795600"
다사614499,"127.0635861000","37.5480805400"
다사613497,"127.0624646000","37.5462736800"
다사613494,"127.0624804000","37.5435696800"
다사613499,"127.0624541000","37.5480763500"
다사586511,"127.0318214000","37.5587750700"
다사588513,"127.0340746000","37.5605866800"
다사608500,"127.0567885000","37.5489565700"
다사585515,"127.0306666000","37.5623758800"
다사589514,"127.0352012000","37.5614924700"
다사581525,"127.0260805000","37.5713710500"
다사590514,"127.0363334000","37.5614969300"
다사617498,"127.0669875000","37.5471917100"
다사617497,"127.0669927000","37.5462903700"
다사616495,"127.0658711000","37.5444835500"
다사614497,"127.0635966000","37.5462778700"
다사582525,"127.0272128000","37.5713755900"
다사587509,"127.0329648000","37.5569769000"
다사583524,"127.0283509000","37.5704787900"
다사614495,"127.0636071000","37.5444752000"
다사614491,"127.0636282000","37.5408698700"
다사580525,"127.0249481000","37.5713665000"
다사613495,"127.0624752000","37.5444710100"
다사616497,"127.0658607000","37.5462862200"
다사615493,"127.0647496000","37.5426767100"
다사591514,"127.0374657000","37.5615013700"
다사567455,"127.0106396000","37.5082134100"
다사554444,"126.9959976000","37.4982369100"
다사548433,"126.9892775000","37.4882931100"
다사558444,"127.0005227000","37.4982561300"
다사562425,"127.0051609000","37.4811498200"
다사554448,"126.9959734000","37.5018422400"
다사582441,"127.0276906000","37.4956638000"
다사561422,"127.0040477000","37.4784410700"
다사561428,"127.0040120000","37.4838490900"
다사556444,"126.9982602000","37.4982465500"
다사563423,"127.0063037000","37.4793518800"
다사557446,"126.9993794000","37.5000540100"
다사562423,"127.0051727000","37.4793471500"
다사570455,"127.0140339000","37.5082274200"
다사562424,"127.0051668000","37.4802484900"
다사560423,"127.0029107000","37.4793376600"
다사566423,"127.0096967000","37.4793660100"
다사557444,"126.9993915000","37.4982513500"
다사553444,"126.9948664000","37.4982320800"
다사549433,"126.9904086000","37.4882979900"
다사565423,"127.0085657000","37.4793613100"
다사564424,"127.0074288000","37.4802579400"
다사555447,"126.9971108000","37.5009457300"
다사554445,"126.9959916000","37.4991382500"
다사559443,"127.0016600000","37.4973595800"
다사576457,"127.0208109000","37.5100578200"
다사564425,"127.0074229000","37.4811592800"
다사577456,"127.0219481000","37.5091610800"
다사561423,"127.0040417000","37.4793424100"
다사560426,"127.0028928000","37.4820416600"
다사556446,"126.9982481000","37.5000492100"
