,행정동,격자수
352,난향동,85
353,은천동,71
354,미성동,102
355,삼성동,213
356,서림동,113
357,청림동,29
358,행운동,71
359,낙성대동,264
360,신원동,60
361,대학동,864
362,난곡동,105
363,서원동,89
364,조원동,49
365,보라매동,77
366,중앙동,46
367,발산1동,298
368,화곡4동,63
369,방화1동,143
370,화곡2동,56
371,화곡6동,95
372,방화2동,656
373,공항동,1169
374,화곡3동,55
375,가양1동,539
376,화곡8동,48
377,우장산동,96
378,화곡본동,119
379,등촌1동,75
380,가양2동,67
381,가양3동,29
382,방화3동,228
383,등촌2동,89
384,화곡1동,91
385,등촌3동,127
386,삼각산동,43
387,수유1동,186
388,인수동,246
389,송천동,74
390,미아동,74
391,삼양동,97
392,명일1동,82
393,상일동,194
394,강일동,423
395,암사1동,61
396,둔촌2동,171
397,성내1동,68
398,고덕1동,170
399,천호1동,80
400,암사2동,250
401,성내3동,64
402,고덕2동,196
403,성내2동,52
404,천호2동,150
405,명일2동,95
406,길동,125
407,천호3동,64
408,암사3동,167
409,둔촌1동,92
410,논현1동,128
411,역삼1동,228
412,삼성2동,123
413,역삼2동,100
414,압구정동,218
415,도곡1동,99
416,논현2동,156
417,일원본동,265
418,대치4동,71
419,도곡2동,83
420,대치1동,106
421,청담동,191
422,개포2동,179
423,개포1동,164
