gid,lbl,val
다사674499,418.000000,418.000000
다사678487,351.000000,351.000000
다사669477,60.000000,60.000000
다사672490,297.000000,297.000000
다사689492,363.000000,363.000000
다사686495,450.000000,450.000000
다사677489,819.000000,819.000000
다사678498,38.000000,38.000000
다사670498,262.000000,262.000000
다사685501,70.000000,70.000000
다사711499,56.000000,56.000000
다사704513,62.000000,62.000000
다사678490,463.000000,463.000000
다사666481,312.000000,312.000000
다사675478,448.000000,448.000000
다사685510,422.000000,422.000000
다사674496,347.000000,347.000000
다사672474,372.000000,372.000000
다사681496,385.000000,385.000000
다사682508,348.000000,348.000000
다사670487,22.000000,22.000000
다사713521,665.000000,665.000000
다사684497,124.000000,124.000000
다사686479,101.000000,101.000000
다사706502,298.000000,298.000000
다사672481,718.000000,718.000000
다사678499,268.000000,268.000000
다사669487,10.000000,10.000000
다사677478,79.000000,79.000000
다사671509,63.000000,63.000000
다사671482,502.000000,502.000000
다사706497,360.000000,360.000000
다사684478,7.000000,7.000000
다사713518,424.000000,424.000000
다사710514,608.000000,608.000000
다사704510,288.000000,288.000000
다사677504,415.000000,415.000000
다사671480,262.000000,262.000000
다사676508,402.000000,402.000000
다사696510,708.000000,708.000000
다사694503,80.000000,80.000000
다사709508,710.000000,710.000000
다사673510,0.000000,0.000000
다사683509,916.000000,916.000000
다사683497,329.000000,329.000000
다사674495,212.000000,212.000000
다사679497,309.000000,309.000000
다사683504,386.000000,386.000000
다사672506,120.000000,120.000000
다사677495,676.000000,676.000000
다사718513,410.000000,410.000000
다사666482,276.000000,276.000000
다사687490,459.000000,459.000000
다사684501,27.000000,27.000000
다사716514,0.000000,0.000000
다사668483,468.000000,468.000000
다사671473,293.000000,293.000000
다사710511,383.000000,383.000000
다사706503,489.000000,489.000000
다사676497,319.000000,319.000000
다사679500,452.000000,452.000000
다사686487,159.000000,159.000000
다사683503,622.000000,622.000000
다사679479,11.000000,11.000000
다사679492,451.000000,451.000000
다사702496,0.000000,0.000000
다사674508,109.000000,109.000000
다사705502,906.000000,906.000000
다사675504,597.000000,597.000000
다사673479,381.000000,381.000000
다사667497,409.000000,409.000000
다사680507,255.000000,255.000000
다사691486,0.000000,0.000000
다사680493,558.000000,558.000000
