gid,라벨,lon,lat
다사525527,"4","126.9626542000","37.5729020800"
다사526526,"4","126.9637930000","37.5720059100"
다사527527,"4","126.9649190000","37.5729123600"
다사525528,"4","126.9626477000","37.5738033900"
다사527526,"4","126.9649254000","37.5720110500"
다사527530,"4","126.9648996000","37.5756163100"
다사527528,"4","126.9649125000","37.5738136800"
다사527524,"4","126.9649383000","37.5702084200"
다사525526,"4","126.9626606000","37.5720007600"
다사527529,"4","126.9649061000","37.5747150000"
다사528526,"4","126.9660578000","37.5720161800"
다사526529,"4","126.9637736000","37.5747098600"
다사528523,"4","126.9660771000","37.5693122300"
다사525525,"4","126.9626671000","37.5710994500"
다사524525,"4","126.9615347000","37.5710942900"
다사524527,"4","126.9615218000","37.5728969200"
다사524526,"4","126.9615282000","37.5719956000"
다사526528,"4","126.9637801000","37.5738085400"
다사526527,"4","126.9637866000","37.5729072300"
다사528524,"4","126.9660707000","37.5702135400"
다사527531,"4","126.9648932000","37.5765176300"
다사524525,"4","126.9615347000","37.5710942900"
다사531436,"44","126.9700293000","37.4909124100"
다사530431,"44","126.9689300000","37.4864006800"
다사527433,"44","126.9655239000","37.4881880400"
다사531437,"44","126.9700229000","37.4918137400"
다사530432,"44","126.9689236000","37.4873020100"
다사530438,"44","126.9688853000","37.4927099900"
다사529433,"44","126.9677861000","37.4881982500"
다사525437,"44","126.9632358000","37.4917831000"
다사530437,"44","126.9688917000","37.4918086600"
다사528432,"44","126.9666614000","37.4872918200"
다사527434,"44","126.9655175000","37.4890893700"
다사532436,"44","126.9711604000","37.4909174800"
다사529434,"44","126.9677797000","37.4890995800"
다사529432,"44","126.9677925000","37.4872969200"
다사530430,"44","126.9689364000","37.4854993500"
다사531429,"44","126.9700738000","37.4846031000"
다사530435,"44","126.9689045000","37.4900060000"
다사526435,"44","126.9643799000","37.4899855700"
다사531435,"44","126.9700356000","37.4900110800"
다사530434,"44","126.9689109000","37.4891046700"
다사529431,"44","126.9677989000","37.4863955900"
다사529438,"44","126.9677541000","37.4927049000"
다사528433,"44","126.9666550000","37.4881931500"
다사672451,"25","127.1294590000","37.5050404600"
다사670449,"25","127.1272052000","37.5032306400"
다사669451,"25","127.1260648000","37.5050297600"
다사669449,"25","127.1260738000","37.5032270700"
다사670453,"25","127.1271872000","37.5068360300"
다사668451,"25","127.1249334000","37.5050261800"
다사670451,"25","127.1271962000","37.5050333400"
다사670454,"25","127.1271828000","37.5077373800"
다사669453,"25","127.1260558000","37.5068324600"
다사673451,"25","127.1305904000","37.5050440000"
다사668450,"25","127.1249379000","37.5041248300"
다사671450,"25","127.1283321000","37.5041355600"
다사669452,"25","127.1260603000","37.5059311100"
다사671449,"25","127.1283365000","37.5032342100"
다사670452,"25","127.1271917000","37.5059346900"
다사671452,"25","127.1283231000","37.5059382500"
다사669450,"25","127.1260693000","37.5041284200"
다사672452,"25","127.1294545000","37.5059418100"
다사671453,"25","127.1283187000","37.5068396000"
다사670450,"25","127.1272007000","37.5041319900"
다사668449,"25","127.1249424000","37.5032234800"
다사672450,"25","127.1294635000","37.5041391100"
다사671451,"25","127.1283276000","37.5050369000"
다사552522,"23","126.9932596000","37.5685306900"
다사551532,"23","126.9920661000","37.5775390200"
다사548528,"23","126.9886933000","37.5739190800"
다사548531,"23","126.9886748000","37.5766230300"
다사552522,"23","126.9932596000","37.5685306900"
다사549530,"23","126.9898134000","37.5757266200"
다사546528,"23","126.9864284000","37.5739092500"
다사546530,"23","126.9864161000","37.5757118800"
다사550528,"23","126.9909581000","37.5739288700"
다사546529,"23","126.9864223000","37.5748105600"
다사549531,"23","126.9898073000","37.5766279300"
다사550527,"23","126.9909643000","37.5730275500"
다사547529,"23","126.9875547000","37.5748154900"
다사548529,"23","126.9886871000","37.5748204000"
다사549529,"23","126.9898196000","37.5748253000"
다사550529,"23","126.9909520000","37.5748301800"
다사549528,"23","126.9898257000","37.5739239800"
다사551529,"23","126.9920844000","37.5748350600"
다사548530,"23","126.9886810000","37.5757217200"
다사547528,"23","126.9875609000","37.5739141700"
다사550532,"23","126.9909336000","37.5775341400"
다사550531,"23","126.9909397000","37.5766328200"
다사550530,"23","126.9909459000","37.5757315000"
다사618440,"127","127.0684207000","37.4949182600"
다사618438,"127","127.0684311000","37.4931155800"
다사616437,"127","127.0661739000","37.4922059500"
다사618437,"127","127.0684363000","37.4922142300"
다사619438,"127","127.0695623000","37.4931197000"
다사618441,"127","127.0684155000","37.4958196000"
다사617438,"127","127.0672999000","37.4931114400"
다사617437,"127","127.0673051000","37.4922101000"
다사619440,"127","127.0695520000","37.4949223900"
다사617442,"127","127.0672791000","37.4967168100"
다사617441,"127","127.0672843000","37.4958154600"
다사619439,"127","127.0695571000","37.4940210500"
다사618442,"127","127.0684103000","37.4967209400"
다사617436,"127","127.0673103000","37.4913087500"
다사616438,"127","127.0661687000","37.4931072900"
다사617440,"127","127.0672895000","37.4949141200"
다사618439,"127","127.0684259000","37.4940169200"
다사616439,"127","127.0661634000","37.4940086300"
다사616436,"127","127.0661791000","37.4913046100"
다사615438,"127","127.0650375000","37.4931031300"
다사615439,"127","127.0650322000","37.4940044700"
다사621437,"127","127.0718299000","37.4922265800"
다사411486,"5","126.8338915000","37.5352906900"
다사414482,"5","126.8373188000","37.5317045900"
다사412486,"5","126.8350233000","37.5352970700"
다사412487,"5","126.8350153000","37.5361983700"
다사411488,"5","126.8338755000","37.5370933000"
다사414483,"5","126.8373108000","37.5326059000"
다사412485,"5","126.8350313000","37.5343957700"
다사412488,"5","126.8350073000","37.5370996700"
다사413484,"5","126.8361711000","37.5335008400"
다사413485,"5","126.8361631000","37.5344021400"
다사412484,"5","126.8350393000","37.5334944700"
다사413482,"5","126.8361871000","37.5316982400"
다사415481,"5","126.8384585000","37.5308096400"
다사412486,"5","126.8350233000","37.5352970700"
다사412487,"5","126.8350153000","37.5361983700"
다사414483,"5","126.8373108000","37.5326059000"
다사415481,"5","126.8384585000","37.5308096400"
다사412488,"5","126.8350073000","37.5370996700"
다사414482,"5","126.8373188000","37.5317045900"
다사412485,"5","126.8350313000","37.5343957700"
다사413484,"5","126.8361711000","37.5335008400"
다사413485,"5","126.8361631000","37.5344021400"
다사481426,"144","126.9135419000","37.4816319400"
다사479427,"144","126.9112728000","37.4825220100"
다사479425,"144","126.9112870000","37.4807193700"
다사480427,"144","126.9124039000","37.4825276400"
다사478427,"144","126.9101418000","37.4825163700"
다사480426,"144","126.9124109000","37.4816263200"
다사479423,"144","126.9113011000","37.4789167200"
다사480424,"144","126.9124250000","37.4798236700"
다사477426,"144","126.9090179000","37.4816093900"
다사478426,"144","126.9101489000","37.4816150500"
다사481424,"144","126.9135560000","37.4798292900"
다사479424,"144","126.9112940000","37.4798180400"
다사480422,"144","126.9124391000","37.4780210300"
다사481423,"144","126.9135631000","37.4789279700"
다사481425,"144","126.9135490000","37.4807306200"
다사480423,"144","126.9124321000","37.4789223500"
다사481427,"144","126.9135349000","37.4825332600"
다사478423,"144","126.9101701000","37.4789110800"
다사480425,"144","126.9124180000","37.4807250000"
다사479426,"144","126.9112799000","37.4816206900"
다사480428,"144","126.9123968000","37.4834289600"
다사415510,"29","126.8382275000","37.5569473300"
다사414506,"29","126.8371273000","37.5533357900"
다사413509,"29","126.8359712000","37.5560333200"
다사414510,"29","126.8370954000","37.5569409800"
다사414507,"29","126.8371193000","37.5542370900"
다사413505,"29","126.8360032000","37.5524281300"
다사413508,"29","126.8359792000","37.5551320200"
다사414509,"29","126.8371034000","37.5560396800"
다사413506,"29","126.8359952000","37.5533294300"
다사413507,"29","126.8359872000","37.5542307200"
다사415509,"29","126.8382355000","37.5560460300"
다사414505,"29","126.8371353000","37.5524344900"
다사413504,"29","126.8360112000","37.5515268300"
다사412504,"29","126.8348792000","37.5515204600"
다사416512,"29","126.8393437000","37.5587562700"
다사414508,"29","126.8371114000","37.5551383800"
다사412503,"29","126.8348872000","37.5506191600"
다사413503,"29","126.8360192000","37.5506255300"
다사413510,"29","126.8359632000","37.5569346200"
다사415511,"29","126.8382195000","37.5578486300"
다사565561,"26","127.0077486000","37.6037444400"
다사572566,"26","127.0156495000","37.6082838400"
다사573566,"26","127.0167825000","37.6082884900"
다사573562,"26","127.0168058000","37.6046832100"
다사572564,"26","127.0156612000","37.6064812100"
다사573563,"26","127.0168000000","37.6055845300"
다사571568,"26","127.0145049000","37.6100818200"
다사571564,"26","127.0145283000","37.6064765500"
다사571563,"26","127.0145342000","37.6055752300"
다사571570,"26","127.0144932000","37.6118844600"
다사573564,"26","127.0167942000","37.6064858500"
다사572563,"26","127.0156671000","37.6055798900"
다사572567,"26","127.0156437000","37.6091851600"
다사572568,"26","127.0156379000","37.6100864800"
다사570569,"26","127.0133660000","37.6109784700"
다사572569,"26","127.0156320000","37.6109877900"
다사572565,"26","127.0156554000","37.6073825200"
다사573565,"26","127.0167883000","37.6073871700"
다사571569,"26","127.0144990000","37.6109831400"
다사573567,"26","127.0167767000","37.6091898000"
다사489451,"1","126.9224165000","37.5042095500"
다사491450,"1","126.9246862000","37.5033192700"
다사491447,"1","126.9247069000","37.5006153100"
다사491448,"1","126.9247000000","37.5015166300"
다사494448,"1","126.9280939000","37.5015331100"
다사492450,"1","126.9258175000","37.5033247800"
다사493447,"1","126.9269695000","37.5006263100"
다사489451,"1","126.9224165000","37.5042095500"
다사494447,"1","126.9281008000","37.5006317900"
다사492448,"1","126.9258313000","37.5015221300"
다사492446,"1","126.9258451000","37.4997194900"
다사493446,"1","126.9269764000","37.4997249800"
다사491449,"1","126.9246931000","37.5024179500"
다사493448,"1","126.9269626000","37.5015276300"
다사490450,"1","126.9235548000","37.5033137600"
다사494446,"1","126.9281077000","37.4997304700"
다사492449,"1","126.9258244000","37.5024234500"
다사493449,"1","126.9269557000","37.5024289500"
다사492447,"1","126.9258382000","37.5006208100"
다사493450,"1","126.9269489000","37.5033302700"
다사675440,"54","127.1329017000","37.4951362300"
다사674441,"54","127.1317661000","37.4960340600"
다사679442,"54","127.1374180000","37.4969529000"
다사675441,"54","127.1328973000","37.4960375800"
다사678439,"54","127.1362999000","37.4942453800"
다사677440,"54","127.1351643000","37.4951432400"
다사677439,"54","127.1351686000","37.4942418900"
다사681444,"54","127.1396719000","37.4987625200"
다사679441,"54","127.1374224000","37.4960515500"
다사681443,"54","127.1396763000","37.4978611700"
다사678438,"54","127.1363042000","37.4933440300"
다사676440,"54","127.1340330000","37.4951397400"
다사677441,"54","127.1351599000","37.4960445900"
다사678441,"54","127.1362911000","37.4960480700"
다사678440,"54","127.1362955000","37.4951467200"
다사680441,"54","127.1385537000","37.4960550200"
다사676441,"54","127.1340286000","37.4960410900"
다사679440,"54","127.1374268000","37.4951502000"
다사680442,"54","127.1385493000","37.4969563700"
다사680443,"54","127.1385450000","37.4978577200"
다사590465,"119","127.0366068000","37.5173317000"
다사591470,"119","127.0377106000","37.5218428100"
다사590468,"119","127.0365901000","37.5200357100"
다사592468,"119","127.0388533000","37.5200445700"
다사591467,"119","127.0377273000","37.5191388100"
다사591466,"119","127.0377328000","37.5182374700"
다사592470,"119","127.0388422000","37.5218472300"
다사592467,"119","127.0388589000","37.5191432300"
다사590467,"119","127.0365957000","37.5191343700"
다사589468,"119","127.0354585000","37.5200312600"
다사589469,"119","127.0354529000","37.5209326000"
다사593470,"119","127.0399739000","37.5218516500"
다사590466,"119","127.0366013000","37.5182330400"
다사591468,"119","127.0377217000","37.5200401400"
다사592469,"119","127.0388478000","37.5209459000"
다사590469,"119","127.0365845000","37.5209370400"
다사591469,"119","127.0377162000","37.5209414800"
다사589465,"119","127.0354753000","37.5173272600"
다사589470,"119","127.0354473000","37.5218339300"
다사593469,"119","127.0399794000","37.5209503100"
다사586587,"7","127.0313920000","37.6272755600"
다사583586,"7","127.0279980000","37.6263606900"
다사585586,"7","127.0302645000","37.6263697400"
다사586585,"7","127.0314034000","37.6254729300"
다사584586,"7","127.0291313000","37.6263652200"
다사582584,"7","127.0268762000","37.6245535200"
다사585585,"7","127.0302702000","37.6254684200"
다사585584,"7","127.0302758000","37.6245671000"
다사583585,"7","127.0280037000","37.6254593800"
다사586586,"7","127.0313977000","37.6263742400"
다사582585,"7","127.0268705000","37.6254548400"
다사584587,"7","127.0291256000","37.6272665400"
다사583584,"7","127.0280094000","37.6245580600"
다사585587,"7","127.0302588000","37.6272710600"
다사585588,"7","127.0302531000","37.6281723700"
다사584585,"7","127.0291369000","37.6254639000"
다사585583,"7","127.0302815000","37.6236657900"
다사588578,"7","127.0337092000","37.6191726800"
다사584584,"7","127.0291426000","37.6245625900"
