,동,등록 자동차 수
0,가락1동,8
1,가락2동,9
2,가락본동,10
3,가리봉동,1
4,가산동,58
5,가양1동,88
6,가양2동,5
7,가양3동,6
8,가회동,5
9,갈현1동,10
10,갈현2동,6
11,강일동,27
12,개봉1동,14
13,개봉2동,6
14,개봉3동,4
15,개포1동,3
16,개포2동,4
17,개포4동,5
18,거여1동,2
19,거여2동,7
20,고덕1동,19
21,고덕2동,4
22,고척1동,8
23,고척2동,7
24,공덕동,29
25,공릉1동,9
26,공릉2동,15
27,공항동,22
28,광장동,17
29,광희동,20
30,교남동,4
31,구로1동,47
32,구로2동,27
33,구로3동,7
34,구로4동,3
35,구로5동,15
36,구산동,10
37,구의1동,9
38,구의2동,11
39,구의3동,10
40,군자동,3
41,금호1가동,8
42,금호2·3가동,10
43,금호4가동,9
44,길동,14
45,길음1동,14
46,길음2동,10
47,낙성대동,4
48,난곡동,6
49,난향동,5
50,남가좌1동,3
51,남가좌2동,4
52,남영동,7
53,남현동,5
54,내곡동,16
55,노량진1동,19
56,노량진2동,11
57,녹번동,33
58,논현1동,9
59,논현2동,15
60,능동,5
61,다산동,5
62,답십리1동,12
63,답십리2동,8
64,당산1동,42
65,당산2동,20
66,대림1동,2
67,대림2동,2
68,대림3동,4
69,대방동,12
70,대조동,4
71,대치1동,223
72,대치2동,748
73,대치4동,2783
74,대학동,9
75,대흥동,4
76,도곡1동,18
77,도곡2동,29
78,도림동,6
79,도봉1동,2
80,도봉2동,9
81,도화동,14
82,독산1동,17
83,독산2동,4
84,독산3동,4
85,독산4동,1
86,돈암2동,14
87,동선동,6
88,동화동,4
89,둔촌1동,3
90,둔촌2동,15
91,등촌1동,15
92,등촌2동,4
93,등촌3동,3
94,마장동,29
95,마천1동,13
96,마천2동,3
97,망우3동,3
98,망우본동,11
99,망원1동,3
100,망원2동,9
101,면목2동,6
102,면목3·8동,2
103,면목4동,1
104,면목7동,3
105,면목본동,6
106,명동,75
107,명일1동,6
108,명일2동,6
109,목1동,16
110,목2동,15
111,목3동,4
112,목4동,8
113,목5동,23
114,무악동,2
115,묵1동,12
116,묵2동,5
117,문래동,7
118,문정1동,14
119,문정2동,17
120,미성동,4
121,미아동,15
122,반포1동,19
123,반포2동,55
124,반포3동,6
125,반포4동,14
126,반포본동,10
127,발산1동,14
128,방배1동,9
129,방배2동,14
130,방배3동,12
131,방배4동,20
132,방배본동,10
133,방이1동,16
134,방이2동,6
135,방학1동,35
136,방학2동,3
137,방학3동,8
138,방화1동,15
139,방화2동,10
140,방화3동,9
141,번1동,1
142,번2동,7
143,번3동,1
144,보광동,2
145,보라매동,4
146,보문동,5
147,부암동,7
148,북가좌1동,17
149,북가좌2동,7
150,북아현동,6
151,불광1동,6
152,불광2동,5
153,사근동,8
154,사당1동,11
155,사당2동,7
156,사당3동,9
157,사당4동,5
158,사당5동,11
159,사직동,15
160,삼각산동,10
161,삼선동,27
162,삼성1동,56
163,삼성2동,24
164,삼성동,4
165,삼양동,6
166,삼전동,11
167,삼청동,6
168,상계10동,5
169,상계1동,22
170,상계2동,13
171,상계3·4동,7
172,상계5동,10
173,상계6·7동,13
174,상계8동,6
175,상계9동,3
176,상도1동,17
177,상도2동,10
178,상도3동,10
179,상도4동,7
180,상봉1동,11
181,상봉2동,8
182,상암동,31
183,상일동,4
184,서강동,14
185,서교동,13
186,서림동,4
187,서빙고동,3
188,서원동,5
189,서초1동,189
190,서초2동,18
191,서초3동,17
192,서초4동,15
193,석관동,4
194,석촌동,16
195,성내1동,14
196,성내2동,32
197,성내3동,6
198,성북동,14
199,성산1동,19
200,성산2동,22
201,성수1가1동,215
202,성수1가2동,62
203,성수2가1동,9
204,성수2가3동,10
205,성현동,6
206,세곡동,31
207,소공동,15
208,송정동,8
209,송중동,3
210,송천동,6
211,송파1동,8
212,송파2동,6
213,수궁동,7
214,수색동,5
215,수서동,9
216,수유1동,8
217,수유2동,1
218,수유3동,15
219,숭인1동,1
220,시흥1동,23
221,시흥2동,12
222,시흥3동,7
223,시흥4동,5
224,시흥5동,3
225,신길1동,2
226,신길3동,2
227,신길4동,1
228,신길5동,3
229,신길6동,3
230,신길7동,9
231,신내1동,26
232,신내2동,22
233,신당5동,3
234,신당동,10
235,신대방1동,6
236,신대방2동,14
237,신도림동,10
238,신림동,6
239,신사1동,8
240,신사2동,5
241,신사동,8
242,신사동,24
243,신수동,10
244,신원동,2
245,신월1동,16
246,신월2동,3
247,신월3동,4
248,신월4동,3
249,신월5동,3
250,신월6동,14
251,신월7동,7
252,신정1동,12
253,신정2동,16
254,신정3동,11
255,신정4동,7
256,신정6동,31
257,신정7동,6
258,신촌동,5
259,쌍문1동,16
260,쌍문2동,4
261,쌍문3동,2
262,쌍문4동,6
263,아현동,10
264,안암동,2
265,암사1동,9
266,암사2동,6
267,암사3동,3
268,압구정동,12
269,약수동,5
270,양재1동,145
271,양재2동,60
272,양평1동,15
273,양평2동,10
274,여의동,508
275,역삼1동,122
276,역삼2동,84
277,역촌동,9
278,연남동,9
279,연희동,37
280,염리동,5
281,염창동,11
282,영등포동,20
283,영등포본동,2
284,오금동,16
285,오류1동,8
286,오류2동,7
287,오륜동,7
288,옥수동,14
289,왕십리2동,2
290,왕십리도선동,15
291,용강동,13
292,용답동,4
293,용문동,2
294,용산2가동,3
295,용신동,27
296,우이동,5
297,우장산동,10
298,원효로1동,14
299,원효로2동,51
300,월계1동,6
301,월계2동,8
302,월계3동,4
303,월곡1동,6
304,월곡2동,3
305,위례동,32
306,은천동,4
307,을지로동,1
308,응봉동,1
309,응암1동,6
310,응암2동,9
311,응암3동,5
312,이문1동,2
313,이문2동,6
314,이촌1동,11
315,이촌2동,7
316,이태원1동,34
317,이태원2동,5
318,이화동,4
319,인수동,7
320,인헌동,8
321,일원1동,4
322,일원2동,18
323,일원본동,10
324,자양1동,24
325,자양2동,6
326,자양3동,10
327,자양4동,2
328,잠실2동,24
329,잠실3동,14
330,잠실4동,26
331,잠실6동,32
332,잠실7동,3
333,잠실본동,9
334,잠원동,9
335,장안1동,15
336,장안2동,2
337,장위1동,5
338,장위2동,3
339,장위3동,1
340,장지동,16
341,장충동,16
342,전농1동,6
343,전농2동,7
344,정릉1동,27
345,정릉2동,7
346,정릉3동,5
347,정릉4동,7
348,제기동,5
349,조원동,3
350,종로1·2·3·4가동,35
351,종로5·6가동,4
352,종암동,14
353,중계1동,8
354,중계2·3동,11
355,중계4동,8
356,중계본동,4
357,중곡1동,6
358,중곡2동,2
359,중곡3동,3
360,중곡4동,7
361,중림동,14
362,중앙동,6
363,중화1동,7
364,중화2동,5
365,증산동,7
366,진관동,36
367,창1동,6
368,창2동,9
369,창3동,3
370,창4동,11
371,창5동,7
372,창신1동,2
373,창신2동,1
374,창신3동,3
375,천연동,4
376,천호1동,4
377,천호2동,8
378,천호3동,5
379,청구동,6
380,청담동,31
381,청량리동,6
382,청룡동,46
383,청림동,3
384,청운효자동,13
385,청파동,6
386,충현동,12
387,평창동,29
388,풍납1동,7
389,풍납2동,11
390,필동,10
391,하계1동,12
392,한강로동,22
393,한남동,22
394,합정동,11
395,행당1동,33
396,행당2동,4
397,행운동,7
398,혜화동,2
399,홍은1동,6
400,홍은2동,9
401,홍제1동,10
402,홍제2동,3
403,홍제3동,5
404,화곡1동,16
405,화곡2동,1
406,화곡3동,5
407,화곡4동,5
408,화곡6동,7
409,화곡8동,22
410,화곡본동,6
411,화양동,8
412,황학동,3
413,회기동,2
414,회현동,23
415,효창동,1
416,후암동,10
417,휘경1동,3
418,휘경2동,5
419,흑석동,8
