,동,등록 자동차 수
0,개포1동,5
1,개포2동,22
2,개포4동,8
3,논현1동,36
4,논현2동,29
5,대치1동,232
6,대치2동,1077
7,대치4동,3455
8,도곡1동,32
9,도곡2동,44
10,삼성1동,75
11,삼성2동,40
12,세곡동,77
13,수서동,12
14,신사동,28
15,압구정동,26
16,역삼1동,302
17,역삼2동,135
18,일원1동,12
19,일원2동,35
20,일원본동,21
21,청담동,53
22,강일동,35
23,고덕1동,36
24,고덕2동,21
25,길동,44
26,둔촌2동,19
27,명일1동,23
28,명일2동,12
29,상일동,8
30,성내1동,22
31,성내2동,40
32,성내3동,17
33,암사1동,16
34,암사2동,11
35,암사3동,11
36,천호1동,8
37,천호2동,16
38,천호3동,15
39,미아동,17
40,번1동,6
41,번2동,13
42,번3동,3
43,삼각산동,19
44,삼양동,9
45,송중동,12
46,송천동,9
47,수유1동,9
48,수유2동,3
49,수유3동,23
50,우이동,10
51,인수동,20
52,가양1동,115
53,가양2동,6
54,가양3동,5
55,공항동,38
56,등촌1동,26
57,등촌2동,10
58,등촌3동,11
59,발산1동,35
60,방화1동,27
61,방화2동,20
62,방화3동,12
63,염창동,22
64,우장산동,16
65,화곡1동,27
66,화곡2동,6
67,화곡3동,7
68,화곡4동,8
69,화곡6동,7
70,화곡8동,25
71,화곡본동,9
72,낙성대동,7
73,난곡동,7
74,난향동,10
75,남현동,12
76,대학동,25
77,미성동,7
78,보라매동,13
79,삼성동,5
80,서림동,9
81,서원동,9
82,성현동,13
83,신림동,11
84,신사동,12
85,신원동,4
86,은천동,9
87,인헌동,8
88,조원동,5
89,중앙동,10
90,청룡동,58
91,청림동,6
92,행운동,10
93,광장동,26
94,구의1동,11
95,구의2동,19
96,구의3동,13
97,군자동,5
98,능동,7
99,자양1동,31
100,자양2동,12
101,자양3동,21
102,자양4동,4
103,중곡1동,11
104,중곡2동,4
105,중곡3동,4
106,중곡4동,8
107,화양동,15
108,가리봉동,3
109,개봉1동,18
110,개봉2동,13
111,개봉3동,2
112,고척1동,20
113,고척2동,13
114,구로1동,57
115,구로2동,33
116,구로3동,22
117,구로4동,5
118,구로5동,15
119,수궁동,11
120,신도림동,21
121,오류1동,11
122,오류2동,23
123,가산동,200
124,독산1동,36
125,독산2동,5
126,독산3동,8
127,독산4동,5
128,시흥1동,33
129,시흥2동,18
130,시흥3동,9
131,시흥4동,10
132,시흥5동,6
133,공릉1동,21
134,공릉2동,22
135,상계10동,8
136,상계1동,36
137,상계2동,16
138,상계3.4동,10
139,상계5동,11
140,상계6.7동,22
141,상계8동,8
142,상계9동,7
143,월계1동,9
144,월계2동,12
145,월계3동,11
146,중계1동,9
147,중계2.3동,16
148,중계4동,18
149,중계본동,11
150,하계1동,12
151,하계2동,4
152,도봉1동,10
153,도봉2동,14
154,방학1동,44
155,방학2동,9
156,방학3동,11
157,쌍문1동,22
158,쌍문2동,7
159,쌍문3동,3
160,쌍문4동,9
161,창1동,22
162,창2동,13
163,창3동,7
164,창4동,19
165,창5동,11
166,답십리1동,24
167,답십리2동,19
168,용신동,32
169,이문1동,12
170,이문2동,13
171,장안1동,25
172,장안2동,9
173,전농1동,20
174,전농2동,7
175,제기동,7
176,청량리동,12
177,회기동,2
178,휘경1동,4
179,휘경2동,9
180,노량진1동,32
181,노량진2동,12
182,대방동,16
183,사당1동,14
184,사당2동,25
185,사당3동,20
186,사당4동,9
187,사당5동,15
188,상도1동,26
189,상도2동,17
190,상도3동,13
191,상도4동,12
192,신대방1동,15
193,신대방2동,25
194,흑석동,14
195,공덕동,44
196,대흥동,7
197,도화동,25
198,망원1동,11
199,망원2동,16
200,상암동,59
201,서강동,22
202,서교동,26
203,성산1동,23
204,성산2동,33
205,신수동,21
206,아현동,21
207,연남동,14
208,염리동,9
209,용강동,18
210,합정동,18
211,남가좌1동,10
212,남가좌2동,11
213,북가좌1동,21
214,북가좌2동,13
215,북아현동,11
216,신촌동,8
217,연희동,54
218,천연동,8
219,충현동,23
220,홍은1동,9
221,홍은2동,27
222,홍제1동,15
223,홍제2동,4
224,홍제3동,5
225,내곡동,26
226,반포1동,43
227,반포2동,68
228,반포3동,21
229,반포4동,21
230,반포본동,47
231,방배1동,32
232,방배2동,17
233,방배3동,20
234,방배4동,23
235,방배본동,23
236,서초1동,418
237,서초2동,23
238,서초3동,35
239,서초4동,35
240,양재1동,208
241,양재2동,66
242,잠원동,26
243,금호1가동,11
244,금호2.3가동,20
245,금호4가동,16
246,마장동,46
247,사근동,11
248,성수1가1동,235
