,동,등록 자동차 수
0,가락1동,84
1,가락2동,47
2,가락본동,30
3,가리봉동,7
4,가산동,222
5,가양1동,205
6,가양2동,11
7,가양3동,17
8,가회동,9
9,갈현1동,15
10,갈현2동,16
11,강일동,60
12,개봉1동,34
13,개봉2동,19
14,개봉3동,6
15,개포1동,13
16,개포2동,55
17,개포4동,26
18,거여1동,10
19,거여2동,19
20,고덕1동,53
21,고덕2동,43
22,고척1동,33
23,고척2동,20
24,공덕동,61
25,공릉1동,34
26,공릉2동,29
27,공항동,53
28,광장동,35
29,광희동,28
30,교남동,17
31,구로1동,399
32,구로2동,80
33,구로3동,43
34,구로4동,154
35,구로5동,26
36,구산동,23
37,구의1동,23
38,구의2동,28
39,구의3동,26
40,군자동,14
41,금호1가동,16
42,금호2·3가동,24
43,금호4가동,20
44,길동,89
45,길음1동,46
46,길음2동,28
47,낙성대동,13
48,난곡동,10
49,난향동,13
50,남가좌1동,19
51,남가좌2동,25
52,남영동,16
53,남현동,18
54,내곡동,51
55,노량진1동,43
56,노량진2동,13
57,녹번동,66
58,논현1동,64
59,논현2동,42
60,능동,12
61,다산동,22
62,답십리1동,36
63,답십리2동,27
64,당산1동,64
65,당산2동,48
66,대림1동,16
67,대림2동,10
68,대림3동,16
69,대방동,31
70,대조동,9
71,대치1동,196
72,대치2동,1775
73,대치4동,3971
74,대학동,56
75,대흥동,13
76,도곡1동,64
77,도곡2동,97
78,도림동,18
79,도봉1동,25
80,도봉2동,24
81,도화동,27
82,독산1동,62
83,독산2동,13
84,독산3동,14
85,독산4동,9
86,돈암1동,11
87,돈암2동,38
88,동선동,10
89,동화동,8
90,둔촌1동,5
91,둔촌2동,27
92,등촌1동,41
93,등촌2동,18
94,등촌3동,26
95,마장동,79
96,마천1동,31
97,마천2동,20
98,망우3동,24
99,망우본동,62
100,망원1동,24
101,망원2동,24
102,면목2동,40
103,면목3·8동,6
104,면목4동,18
105,면목5동,9
106,면목7동,22
107,면목본동,21
108,명동,142
109,명일1동,30
110,명일2동,19
111,목1동,58
112,목2동,25
113,목3동,15
114,목4동,15
115,목5동,54
116,무악동,12
117,묵1동,27
118,묵2동,6
119,문래동,50
120,문정1동,73
121,문정2동,80
122,미성동,14
123,미아동,25
124,반포1동,74
125,반포2동,97
126,반포3동,46
127,반포4동,57
128,반포본동,61
129,발산1동,91
130,방배1동,39
131,방배2동,22
132,방배3동,31
133,방배4동,30
134,방배본동,41
135,방이1동,29
136,방이2동,34
137,방학1동,60
138,방학2동,11
139,방학3동,25
140,방화1동,57
141,방화2동,48
142,방화3동,18
143,번1동,9
144,번2동,25
145,번3동,38
146,보광동,10
147,보라매동,19
148,보문동,22
149,부암동,15
150,북가좌1동,39
151,북가좌2동,28
152,북아현동,16
153,불광1동,23
154,불광2동,15
155,사근동,13
156,사당1동,22
157,사당2동,26
158,사당3동,28
159,사당4동,14
160,사당5동,15
161,사직동,37
162,삼각산동,35
163,삼선동,40
164,삼성1동,84
165,삼성2동,76
166,삼성동,16
167,삼양동,19
168,삼전동,45
169,삼청동,7
170,상계10동,15
171,상계1동,68
172,상계2동,37
173,상계3·4동,44
174,상계5동,22
175,상계6·7동,33
176,상계8동,17
177,상계9동,9
178,상도1동,38
179,상도2동,22
180,상도3동,18
181,상도4동,16
182,상봉1동,26
183,상봉2동,16
184,상암동,95
185,상일동,60
186,서강동,44
187,서교동,43
188,서림동,20
189,서빙고동,21
190,서원동,13
191,서초1동,830
192,서초2동,55
193,서초3동,58
194,서초4동,56
195,석관동,30
196,석촌동,35
197,성내1동,35
198,성내2동,55
199,성내3동,31
200,성북동,30
201,성산1동,37
202,성산2동,42
203,성수1가1동,356
204,성수1가2동,227
205,성수2가1동,60
206,성수2가3동,23
207,성현동,19
208,세곡동,110
209,소공동,226
210,송정동,9
211,송중동,23
212,송천동,11
213,송파1동,28
214,송파2동,20
215,수궁동,16
216,수색동,13
217,수서동,35
218,수유1동,20
219,수유2동,12
220,수유3동,32
221,숭인1동,4
222,숭인2동,3
223,시흥1동,47
224,시흥2동,24
225,시흥3동,13
226,시흥4동,12
227,시흥5동,23
228,신길1동,17
229,신길3동,9
230,신길4동,9
231,신길5동,16
232,신길6동,14
233,신길7동,28
234,신내1동,64
235,신내2동,41
236,신당5동,8
237,신당동,20
238,신대방1동,35
239,신대방2동,30
240,신도림동,30
241,신림동,10
242,신사1동,28
243,신사2동,25
244,신사동,14
245,신사동,35
246,신수동,33
247,신원동,10
248,신월1동,20
249,신월2동,9
250,신월3동,20
251,신월4동,24
252,신월5동,9
253,신월6동,27
254,신월7동,22
255,신정1동,92
256,신정2동,37
257,신정3동,41
258,신정4동,30
259,신정6동,43
260,신정7동,16
261,신촌동,14
262,쌍문1동,34
263,쌍문2동,16
264,쌍문3동,7
265,쌍문4동,12
266,아현동,30
267,안암동,8
268,암사1동,30
269,암사2동,19
270,암사3동,12
271,압구정동,48
272,약수동,19
273,양재1동,394
274,양재2동,86
275,양평1동,27
276,양평2동,41
277,여의동,1482
278,역삼1동,451
279,역삼2동,131
280,역촌동,32
281,연남동,21
282,연희동,68
283,염리동,11
284,염창동,44
285,영등포동,60
286,영등포본동,17
287,오금동,44
288,오류1동,21
289,오류2동,37
290,오륜동,17
291,옥수동,45
292,왕십리2동,8
293,왕십리도선동,27
294,용강동,34
295,용답동,42
296,용문동,13
297,용산2가동,5
298,용신동,42
299,우이동,13
300,우장산동,25
301,원효로1동,35
302,원효로2동,77
303,월계1동,17
304,월계2동,21
305,월계3동,26
