,동별,연료별,등록 자동차 수
0,서울특별시 강남구 개포2동,전기,2
1,서울특별시 강남구 개포4동,전기,1
2,서울특별시 강남구 논현1동,전기,3
3,서울특별시 강남구 논현2동,전기,13
4,서울특별시 강남구 대치1동,전기,79
5,서울특별시 강남구 대치2동,전기,3
6,서울특별시 강남구 대치4동,전기,23
7,서울특별시 강남구 도곡1동,전기,3
8,서울특별시 강남구 도곡2동,전기,4
9,서울특별시 강남구 삼성1동,전기,36
10,서울특별시 강남구 삼성2동,전기,11
11,서울특별시 강남구 세곡동,전기,6
12,서울특별시 강남구 수서동,전기,1
13,서울특별시 강남구 신사동,전기,6
14,서울특별시 강남구 압구정동,전기,2
15,서울특별시 강남구 역삼1동,전기,10
16,서울특별시 강남구 역삼2동,전기,2
17,서울특별시 강남구 일원1동,전기,1
18,서울특별시 강남구 일원2동,전기,1
19,서울특별시 강남구 일원본동,전기,1
20,서울특별시 강남구 청담동,전기,10
21,서울특별시 강동구 고덕1동,전기,2
22,서울특별시 강동구 고덕2동,전기,1
23,서울특별시 강동구 길동,전기,1
24,서울특별시 강동구 둔촌1동,전기,5
25,서울특별시 강동구 둔촌2동,전기,2
26,서울특별시 강동구 상일동,전기,1
27,서울특별시 강동구 성내1동,전기,3
28,서울특별시 강동구 성내2동,전기,6
29,서울특별시 강동구 암사1동,전기,3
30,서울특별시 강동구 천호2동,전기,4
31,서울특별시 강동구 천호3동,전기,2
32,서울특별시 강북구 미아동,전기,7
33,서울특별시 강북구 번2동,전기,1
34,서울특별시 강북구 삼각산동,전기,1
35,서울특별시 강북구 삼양동,전기,1
36,서울특별시 강북구 송중동,전기,2
37,서울특별시 강북구 수유3동,전기,1
38,서울특별시 강북구 인수동,전기,2
39,서울특별시 강서구 가양1동,전기,12
40,서울특별시 강서구 공항동,전기,5
41,서울특별시 강서구 등촌1동,전기,5
42,서울특별시 강서구 등촌3동,전기,2
43,서울특별시 강서구 발산1동,전기,3
44,서울특별시 강서구 방화1동,전기,4
45,서울특별시 강서구 방화3동,전기,2
46,서울특별시 강서구 우장산동,전기,2
47,서울특별시 강서구 화곡4동,전기,1
48,서울특별시 강서구 화곡6동,전기,3
49,서울특별시 강서구 화곡본동,전기,2
50,서울특별시 관악구 낙성대동,전기,1
51,서울특별시 관악구 대학동,전기,1
52,서울특별시 관악구 삼성동,전기,1
53,서울특별시 관악구 서림동,전기,1
54,서울특별시 관악구 신림동,전기,1
55,서울특별시 관악구 조원동,전기,1
56,서울특별시 관악구 청룡동,전기,4
57,서울특별시 광진구 광장동,전기,4
58,서울특별시 광진구 구의1동,전기,2
59,서울특별시 광진구 구의3동,전기,2
60,서울특별시 광진구 자양2동,전기,1
61,서울특별시 광진구 자양3동,전기,1
62,서울특별시 광진구 중곡2동,전기,1
63,서울특별시 광진구 화양동,전기,1
64,서울특별시 구로구 개봉1동,전기,2
65,서울특별시 구로구 고척1동,전기,3
66,서울특별시 구로구 구로1동,전기,1
67,서울특별시 구로구 구로2동,전기,1
68,서울특별시 구로구 구로3동,전기,3
69,서울특별시 구로구 구로4동,전기,2
70,서울특별시 구로구 구로5동,전기,2
71,서울특별시 구로구 수궁동,전기,3
72,서울특별시 구로구 신도림동,전기,1
73,서울특별시 구로구 오류2동,전기,2
74,서울특별시 금천구 가산동,전기,57
75,서울특별시 금천구 독산1동,전기,2
76,서울특별시 금천구 시흥1동,전기,1
77,서울특별시 금천구 시흥2동,전기,5
78,서울특별시 금천구 시흥3동,전기,1
79,서울특별시 금천구 시흥5동,전기,1
80,서울특별시 노원구 공릉1동,전기,5
81,서울특별시 노원구 상계1동,전기,1
82,서울특별시 노원구 상계2동,전기,2
83,서울특별시 노원구 상계3.4동,전기,1
84,서울특별시 노원구 상계5동,전기,1
85,서울특별시 노원구 상계6.7동,전기,5
86,서울특별시 노원구 상계9동,전기,1
87,서울특별시 노원구 월계1동,전기,1
88,서울특별시 노원구 중계1동,전기,1
89,서울특별시 노원구 중계4동,전기,4
