,동별,연료별,등록 자동차 수
0,서울특별시 강남구 개포1동,전기,3
1,서울특별시 강남구 개포2동,전기,4
2,서울특별시 강남구 개포4동,전기,5
3,서울특별시 강남구 논현1동,전기,9
4,서울특별시 강남구 논현2동,전기,15
5,서울특별시 강남구 대치1동,전기,223
6,서울특별시 강남구 대치2동,전기,748
7,서울특별시 강남구 대치4동,전기,2783
8,서울특별시 강남구 도곡1동,전기,18
9,서울특별시 강남구 도곡2동,전기,29
10,서울특별시 강남구 삼성1동,전기,56
11,서울특별시 강남구 삼성2동,전기,24
12,서울특별시 강남구 세곡동,전기,31
13,서울특별시 강남구 수서동,전기,9
14,서울특별시 강남구 신사동,전기,24
15,서울특별시 강남구 압구정동,전기,12
16,서울특별시 강남구 역삼1동,전기,122
17,서울특별시 강남구 역삼2동,전기,84
18,서울특별시 강남구 일원1동,전기,4
19,서울특별시 강남구 일원2동,전기,18
20,서울특별시 강남구 일원본동,전기,10
21,서울특별시 강남구 청담동,전기,31
22,서울특별시 강동구 강일동,전기,27
23,서울특별시 강동구 고덕1동,전기,19
24,서울특별시 강동구 고덕2동,전기,4
25,서울특별시 강동구 길동,전기,14
26,서울특별시 강동구 둔촌1동,전기,3
27,서울특별시 강동구 둔촌2동,전기,15
28,서울특별시 강동구 명일1동,전기,6
29,서울특별시 강동구 명일2동,전기,6
30,서울특별시 강동구 상일동,전기,4
31,서울특별시 강동구 성내1동,전기,14
32,서울특별시 강동구 성내2동,전기,32
33,서울특별시 강동구 성내3동,전기,6
34,서울특별시 강동구 암사1동,전기,9
35,서울특별시 강동구 암사2동,전기,6
36,서울특별시 강동구 암사3동,전기,3
37,서울특별시 강동구 천호1동,전기,4
38,서울특별시 강동구 천호2동,전기,8
39,서울특별시 강동구 천호3동,전기,5
40,서울특별시 강북구 미아동,전기,15
41,서울특별시 강북구 번1동,전기,1
42,서울특별시 강북구 번2동,전기,7
43,서울특별시 강북구 번3동,전기,1
44,서울특별시 강북구 삼각산동,전기,10
45,서울특별시 강북구 삼양동,전기,6
46,서울특별시 강북구 송중동,전기,3
47,서울특별시 강북구 송천동,전기,6
48,서울특별시 강북구 수유1동,전기,8
