,동,등록 자동차 수
0,개포2동,2
1,개포4동,1
2,논현1동,3
3,논현2동,13
4,대치1동,79
5,대치2동,3
6,대치4동,23
7,도곡1동,3
8,도곡2동,4
9,삼성1동,36
10,삼성2동,11
11,세곡동,6
12,수서동,1
13,신사동,6
14,압구정동,2
15,역삼1동,10
16,역삼2동,2
17,일원1동,1
18,일원2동,1
19,일원본동,1
20,청담동,10
21,고덕1동,2
22,고덕2동,1
23,길동,1
24,둔촌1동,5
25,둔촌2동,2
26,상일동,1
27,성내1동,3
28,성내2동,6
29,암사1동,3
30,천호2동,4
31,천호3동,2
32,미아동,7
33,번2동,1
34,삼각산동,1
35,삼양동,1
36,송중동,2
37,수유3동,1
38,인수동,2
39,가양1동,12
40,공항동,5
41,등촌1동,5
42,등촌3동,2
43,발산1동,3
44,방화1동,4
45,방화3동,2
46,우장산동,2
47,화곡4동,1
48,화곡6동,3
49,화곡본동,2
50,낙성대동,1
51,대학동,1
52,삼성동,1
53,서림동,1
54,신림동,1
55,조원동,1
56,청룡동,4
57,광장동,4
58,구의1동,2
59,구의3동,2
60,자양2동,1
61,자양3동,1
62,중곡2동,1
63,화양동,1
64,개봉1동,2
65,고척1동,3
66,구로1동,1
67,구로2동,1
68,구로3동,3
69,구로4동,2
70,구로5동,2
71,수궁동,3
72,신도림동,1
73,오류2동,2
74,가산동,57
75,독산1동,2
76,시흥1동,1
77,시흥2동,5
78,시흥3동,1
79,시흥5동,1
80,공릉1동,5
81,상계1동,1
82,상계2동,2
83,상계3.4동,1
84,상계5동,1
85,상계6.7동,5
86,상계9동,1
87,월계1동,1
88,중계1동,1
89,중계4동,4
90,하계1동,2
91,하계2동,1
92,도봉2동,1
93,방학1동,6
94,방학2동,2
95,방학3동,1
96,쌍문1동,3
97,쌍문2동,2
98,쌍문3동,2
99,쌍문4동,1
100,창1동,1
101,창3동,1
102,창5동,2
103,답십리2동,1
104,용신동,4
105,장안1동,2
106,장안2동,1
107,전농1동,3
108,전농2동,2
109,제기동,1
110,청량리동,5
111,휘경1동,2
112,휘경2동,1
113,노량진1동,2
114,대방동,1
115,사당1동,3
116,사당2동,2
117,사당3동,2
118,사당4동,1
119,사당5동,3
120,상도1동,4
121,상도2동,1
122,상도4동,1
123,신대방1동,1
124,신대방2동,5
125,흑석동,2
126,공덕동,9
127,도화동,4
128,망원1동,1
129,망원2동,2
130,상암동,283
131,서강동,2
132,서교동,4
133,성산1동,3
134,성산2동,3
135,신수동,2
136,아현동,7
137,연남동,2
138,용강동,1
139,합정동,4
140,남가좌1동,1
141,북가좌1동,1
142,북가좌2동,1
143,북아현동,1
144,신촌동,1
145,연희동,3
146,충현동,4
147,홍제1동,1
148,내곡동,6
149,반포1동,1
150,반포2동,1
151,반포3동,1
152,반포4동,6
153,반포본동,3
154,방배2동,1
155,방배3동,3
156,방배4동,4
157,방배본동,2
158,서초1동,14
159,서초2동,8
160,서초3동,4
161,서초4동,1
162,양재1동,38
163,양재2동,6
164,잠원동,4
165,금호2.3가동,1
166,마장동,5
167,사근동,1
168,성수1가1동,20
169,성수1가2동,1
170,성수2가3동,1
171,왕십리2동,1
172,용답동,1
173,응봉동,1
174,행당1동,4
175,행당2동,1
176,길음1동,2
177,길음2동,2
178,보문동,1
179,삼선동,3
180,성북동,3
181,안암동,1
182,월곡1동,4
183,장위1동,2
184,장위2동,1
185,정릉1동,2
186,정릉3동,2
187,종암동,1
188,가락2동,2
189,가락본동,1
190,거여1동,2
191,거여2동,1
192,마천1동,2
193,마천2동,1
194,문정1동,2
195,문정2동,2
196,방이1동,6
197,방이2동,2
198,삼전동,1
199,석촌동,1
200,송파2동,1
201,오금동,2
202,오륜동,1
203,위례동,3
204,잠실2동,1
205,잠실3동,1
206,잠실4동,1
207,잠실6동,3
208,잠실본동,3
209,장지동,3
210,풍납1동,1
211,풍납2동,2
212,목1동,40
213,목2동,3
214,목5동,2
215,신월1동,1
216,신월2동,4
217,신월3동,1
218,신월4동,1
219,신월5동,1
220,신월6동,2
221,신월7동,8
222,신정1동,1
223,신정2동,6
224,신정3동,1
225,신정4동,3
226,신정7동,2
227,당산1동,9
228,당산2동,4
229,문래동,1
230,신길4동,1
231,신길5동,1
232,여의동,77
233,영등포동,2
234,남영동,3
235,원효로1동,1
236,원효로2동,8
237,이촌1동,3
238,이태원1동,2
239,이태원2동,1
240,한강로동,33
241,한남동,6
242,후암동,1
243,갈현1동,2
244,구산동,1
245,녹번동,7
246,불광1동,1
247,신사1동,2
248,신사2동,1
249,역촌동,4
250,응암2동,1
251,응암3동,1
252,진관동,9
253,가회동,2
254,부암동,1
255,사직동,6
256,삼청동,1
257,이화동,2
258,종로1.2.3.4가동,15
259,종로5.6가동,3
260,청운효자동,1
261,평창동,5
262,혜화동,1
263,광희동,2
264,다산동,1
265,명동,33
266,소공동,2
267,신당동,2
268,약수동,2
269,장충동,6
270,중림동,2
271,청구동,2
272,필동,55
273,회현동,7
274,망우3동,1
275,면목2동,1
276,면목4동,10
277,묵1동,3
278,묵2동,1
279,상봉1동,3
280,상봉2동,1
281,신내1동,3
282,신내2동,4
283,중화1동,2
