,동,등록 자동차 수
351,제기동,33
352,조원동,29
353,종로1·2·3·4가동,122
354,종로5·6가동,9
355,종암동,72
356,중계1동,37
357,중계2·3동,48
358,중계4동,40
359,중계본동,30
360,중곡1동,24
361,중곡2동,19
362,중곡3동,15
363,중곡4동,47
364,중림동,44
365,중앙동,21
366,중화1동,29
367,중화2동,34
368,증산동,30
369,진관동,197
370,창1동,55
371,창2동,44
372,창3동,22
373,창4동,52
374,창5동,39
375,창신1동,7
376,창신2동,6
377,창신3동,8
378,천연동,26
379,천호1동,72
380,천호2동,46
381,천호3동,57
382,청구동,28
383,청담동,146
384,청량리동,37
385,청룡동,101
386,청림동,19
387,청운효자동,51
388,청파동,27
389,충현동,66
390,평창동,82
391,풍납1동,33
392,풍납2동,54
393,필동,30
394,하계1동,41
395,하계2동,21
396,한강로동,129
397,한남동,113
398,합정동,71
399,항동,65
400,행당1동,82
401,행당2동,34
402,행운동,33
403,혜화동,23
404,홍은1동,47
405,홍은2동,58
406,홍제1동,42
407,홍제2동,18
408,홍제3동,21
409,화곡1동,85
410,화곡2동,19
411,화곡3동,26
412,화곡4동,22
413,화곡6동,48
414,화곡8동,40
415,화곡본동,40
416,화양동,26
417,황학동,31
418,회기동,7
419,회현동,103
420,효창동,16
421,후암동,37
422,휘경1동,14
423,휘경2동,41
424,흑석동,66
