,동,등록 자동차 수
0,개포2동,2
1,논현1동,7
2,논현2동,9
3,대치1동,4
4,대치2동,2
5,대치4동,10
6,도곡1동,2
7,도곡2동,6
8,삼성1동,59
9,삼성2동,10
10,세곡동,11
11,수서동,1
12,신사동,4
13,압구정동,2
14,역삼1동,13
15,역삼2동,2
16,일원1동,1
17,일원2동,1
18,일원본동,1
19,청담동,8
20,고덕1동,2
21,고덕2동,1
22,둔촌1동,3
23,둔촌2동,1
24,상일동,1
25,성내1동,3
26,성내2동,4
27,천호2동,3
28,천호3동,1
29,미아동,6
30,번2동,1
31,송중동,2
32,수유3동,1
33,인수동,1
34,가양1동,21
35,공항동,8
36,등촌1동,4
37,등촌3동,1
38,발산1동,1
39,방화1동,1
40,방화3동,1
41,우장산동,2
42,화곡3동,1
43,화곡6동,2
44,화곡본동,1
45,삼성동,2
46,신림동,1
47,중앙동,1
48,청룡동,2
49,광장동,3
50,구의1동,2
51,구의3동,2
52,능동,1
53,자양1동,1
54,자양2동,1
55,자양3동,1
56,화양동,1
57,개봉1동,2
58,고척1동,3
59,구로3동,2
60,구로4동,1
61,구로5동,1
62,수궁동,2
63,신도림동,2
64,오류2동,1
65,가산동,4
66,시흥1동,1
67,시흥2동,5
68,시흥3동,1
69,시흥5동,1
70,공릉1동,4
71,공릉2동,1
72,상계10동,1
73,상계1동,1
74,상계5동,1
75,상계6.7동,3
76,하계1동,2
77,하계2동,1
78,도봉2동,1
79,방학1동,4
80,방학2동,1
81,쌍문1동,3
82,쌍문2동,2
83,쌍문3동,1
84,창3동,1
85,창5동,1
86,답십리2동,1
87,용신동,4
88,장안1동,2
89,장안2동,1
90,전농1동,2
91,전농2동,1
92,청량리동,1
93,휘경1동,2
94,휘경2동,2
95,대방동,1
96,사당1동,2
97,사당2동,1
98,사당3동,2
99,사당4동,1
100,사당5동,2
101,상도1동,2
102,상도2동,1
103,상도4동,1
104,신대방1동,1
105,신대방2동,6
106,흑석동,2
107,공덕동,5
108,도화동,3
109,망원1동,1
110,망원2동,1
111,상암동,282
112,서강동,3
113,서교동,3
114,성산1동,1
115,성산2동,2
116,신수동,1
117,아현동,4
118,연남동,1
119,합정동,3
120,북가좌1동,3
121,북아현동,1
122,신촌동,1
123,연희동,3
124,충현동,3
125,홍제1동,1
126,내곡동,6
127,반포1동,1
128,반포3동,1
129,반포4동,6
130,반포본동,1
131,방배3동,2
132,방배4동,4
133,서초1동,10
134,서초2동,5
135,서초3동,2
136,서초4동,2
137,양재1동,4
138,양재2동,6
139,잠원동,2
140,금호2.3가동,1
141,마장동,2
142,사근동,1
143,성수1가1동,18
144,성수2가3동,3
145,용답동,1
146,응봉동,2
147,행당1동,5
148,행당2동,1
149,길음2동,1
150,보문동,1
151,삼선동,1
152,성북동,3
153,월곡1동,2
154,월곡2동,1
155,정릉1동,2
156,정릉3동,2
157,종암동,1
158,가락2동,1
159,거여1동,2
160,거여2동,1
161,마천1동,2
162,마천2동,1
163,문정2동,2
164,방이1동,5
165,석촌동,2
166,오금동,1
167,위례동,1
168,잠실3동,1
169,잠실6동,2
170,잠실본동,1
171,장지동,3
172,풍납1동,1
173,풍납2동,1
174,목1동,38
175,목2동,2
176,목5동,2
177,신월1동,1
178,신월2동,5
179,신월3동,1
180,신월4동,1
181,신월5동,1
182,신월7동,4
183,신정1동,1
184,신정2동,3
185,신정3동,1
186,신정4동,2
187,신정7동,1
188,당산1동,6
189,당산2동,3
190,문래동,1
191,신길4동,1
192,신길5동,1
193,양평1동,1
194,양평2동,1
195,여의동,18
196,영등포동,2
197,남영동,2
198,원효로1동,1
199,원효로2동,1
200,이촌1동,1
201,이태원1동,1
202,이태원2동,1
203,한강로동,37
204,한남동,6
205,후암동,1
206,갈현1동,1
207,구산동,1
208,신사1동,2
209,역촌동,3
210,응암1동,1
211,응암2동,1
212,응암3동,1
213,진관동,8
214,가회동,2
215,부암동,1
216,사직동,5
217,삼청동,1
218,이화동,1
219,종로1.2.3.4가동,12
220,종로5.6가동,1
221,창신1동,1
222,청운효자동,1
223,평창동,4
224,광희동,2
225,다산동,1
226,명동,28
227,소공동,2
228,신당동,2
229,약수동,1
230,장충동,6
231,중림동,1
232,청구동,1
233,필동,99
234,회현동,5
235,망우본동,1
236,면목2동,1
237,면목4동,10
238,묵1동,2
239,상봉1동,2
240,신내1동,1
241,신내2동,3
242,중화1동,1
