,동,등록 자동차 수
0,가락1동,7
1,가락2동,6
2,가리봉동,1
3,가산동,67
4,가양1동,44
5,가회동,3
6,갈현1동,4
7,강일동,7
8,개봉1동,5
9,개봉2동,1
10,개봉3동,2
11,개포1동,2
12,개포2동,2
13,개포4동,4
14,거여1동,2
15,거여2동,1
16,고덕1동,5
17,고척1동,4
18,고척2동,1
19,공덕동,10
20,공릉1동,6
21,공릉2동,7
22,공항동,17
23,광장동,8
24,광희동,5
25,교남동,1
26,구로1동,5
27,구로2동,19
28,구로3동,5
29,구로4동,3
30,구로5동,7
31,구산동,6
32,구의1동,5
33,구의2동,3
34,구의3동,6
35,군자동,1
36,금호1가동,5
37,금호2·3가동,3
38,금호4가동,2
39,길동,2
40,길음1동,4
41,길음2동,3
42,낙성대동,2
43,난곡동,1
44,남가좌1동,1
45,남가좌2동,2
46,남영동,6
47,남현동,2
48,내곡동,8
49,노량진1동,9
50,노량진2동,9
51,녹번동,24
52,논현1동,3
53,논현2동,16
54,능동,3
55,다산동,2
56,답십리1동,2
57,답십리2동,2
58,당산1동,32
59,당산2동,9
60,대림1동,2
61,대림3동,1
62,대방동,3
63,대조동,1
64,대치1동,104
65,대치2동,8
66,대치4동,2065
67,대학동,1
68,도곡1동,6
69,도곡2동,12
70,도림동,2
71,도봉2동,2
72,도화동,6
73,독산1동,5
74,독산2동,1
75,독산3동,1
76,돈암2동,3
77,동선동,2
78,동화동,1
79,둔촌1동,4
80,둔촌2동,4
81,등촌1동,8
82,등촌2동,2
83,등촌3동,1
84,마장동,18
85,마천1동,7
86,마천2동,1
87,망우3동,2
88,망우본동,3
89,망원1동,3
90,망원2동,3
91,면목2동,2
92,면목7동,1
93,명동,57
94,명일1동,4
95,명일2동,2
96,목1동,9
97,목2동,6
98,목5동,8
99,묵1동,6
100,묵2동,2
101,문래동,2
102,문정1동,3
103,문정2동,4
104,미성동,3
105,미아동,8
106,반포1동,3
107,반포2동,5
108,반포3동,1
109,반포4동,8
110,반포본동,2
111,발산1동,4
112,방배1동,4
113,방배2동,2
114,방배3동,3
115,방배4동,14
116,방배본동,3
117,방이1동,14
118,방이2동,4
119,방학1동,28
120,방학2동,1
121,방학3동,1
122,방화1동,6
123,방화2동,1
124,방화3동,2
125,번2동,5
126,보광동,2
127,보문동,2
128,부암동,2
129,북가좌1동,3
130,북가좌2동,2
131,북아현동,4
132,불광1동,2
133,불광2동,2
134,사근동,5
135,사당1동,8
136,사당2동,3
137,사당3동,6
138,사당4동,1
139,사당5동,4
140,사직동,9
141,삼각산동,3
142,삼선동,24
143,삼성1동,44
144,삼성2동,11
145,삼성동,2
146,삼양동,3
147,삼전동,2
148,삼청동,2
149,상계10동,1
150,상계1동,8
151,상계2동,13
152,상계3·4동,5
153,상계5동,4
154,상계6·7동,11
155,상계8동,4
156,상계9동,1
157,상도1동,7
158,상도2동,3
159,상도3동,1
160,상도4동,3
161,상봉1동,3
162,상봉2동,2
163,상암동,134
164,상일동,1
165,서강동,5
166,서교동,6
167,서원동,1
168,서초1동,99
169,서초2동,11
170,서초3동,11
171,서초4동,2
172,석관동,1
173,석촌동,3
174,성내1동,10
175,성내2동,27
176,성내3동,1
177,성북동,5
178,성산1동,14
179,성산2동,16
180,성수1가1동,62
181,성수1가2동,61
182,성수2가1동,1
183,성수2가3동,1
184,성현동,1
185,세곡동,7
186,소공동,2
187,송정동,5
188,송중동,2
189,송천동,1
190,송파1동,3
191,송파2동,2
192,수궁동,6
193,수서동,5
194,수유3동,1
195,시흥1동,13
196,시흥2동,5
197,시흥3동,3
198,시흥5동,2
199,신길3동,1
200,신길4동,1
201,신길5동,1
202,신길6동,1
203,신길7동,1
204,신내1동,6
205,신내2동,10
206,신당동,5
207,신대방1동,3
208,신대방2동,10
209,신도림동,3
210,신림동,1
211,신사1동,2
212,신사2동,3
213,신사동,12
214,신사동,1
215,신수동,3
216,신원동,2
217,신월1동,1
218,신월2동,5
219,신월3동,1
220,신월4동,1
221,신월6동,3
222,신월7동,8
223,신정1동,5
224,신정2동,14
225,신정3동,2
226,신정4동,3
227,신정6동,24
228,신정7동,3
229,신촌동,3
230,쌍문1동,2
231,쌍문2동,4
232,쌍문3동,1
233,쌍문4동,1
234,아현동,1
235,안암동,1
236,암사1동,5
237,압구정동,5
238,약수동,2
239,양재1동,115
240,양재2동,11
241,양평1동,2
242,양평2동,4
243,여의동,214
244,역삼1동,37
245,역삼2동,3
246,역촌동,7
247,연남동,3
248,연희동,14
249,염창동,3
250,영등포동,5
251,영등포본동,1
252,오금동,4
253,오류2동,3
254,오륜동,1
255,옥수동,1
256,왕십리2동,1
257,왕십리도선동,2
258,용강동,2
259,용답동,3
260,용신동,19
261,우이동,1
262,우장산동,1
263,원효로1동,10
264,원효로2동,8
265,월계1동,1
266,월계2동,3
267,월계3동,1
268,월곡1동,3
269,월곡2동,1
270,위례동,10
271,은천동,2
272,응봉동,1
273,응암1동,2
274,응암2동,3
275,응암3동,2
276,이문1동,1
277,이문2동,1
278,이촌1동,5
279,이촌2동,2
280,이태원1동,7
281,이태원2동,2
282,이화동,3
283,인수동,3
284,일원1동,2
285,일원2동,4
286,일원본동,2
287,자양1동,4
288,자양2동,2
289,자양3동,5
290,잠실2동,3
291,잠실3동,6
292,잠실4동,6
293,잠실6동,6
294,잠실7동,1
295,잠실본동,4
296,잠원동,6
297,장안1동,6
298,장안2동,1
299,장위1동,3
300,장위2동,2
301,장지동,8
302,장충동,11
303,전농1동,2
304,전농2동,5
305,정릉1동,3
306,정릉2동,1
307,정릉3동,2
308,정릉4동,1
309,제기동,1
310,조원동,2
311,종로1·2·3·4가동,37
312,종로5·6가동,3
313,종암동,3
314,중계1동,5
315,중계2·3동,1
316,중계4동,7
317,중곡1동,2
318,중곡2동,1
319,중곡4동,3
320,중림동,3
321,중앙동,1
322,중화1동,3
323,증산동,2
324,진관동,13
325,창1동,2
326,창3동,1
327,창4동,3
328,창5동,1
329,창신2동,2
330,천연동,1
331,천호1동,3
332,천호2동,5
333,천호3동,1
334,청구동,3
335,청담동,31
336,청량리동,5
337,청룡동,21
338,청운효자동,4
339,청파동,2
340,충현동,3
341,평창동,7
342,풍납1동,2
343,풍납2동,4
344,필동,7
345,하계1동,3
346,하계2동,2
347,한강로동,6
348,한남동,14
349,합정동,4
350,행당1동,22
351,행당2동,2
352,행운동,2
353,혜화동,2
354,홍은1동,1
355,홍은2동,1
356,홍제1동,5
357,홍제2동,1
358,화곡1동,13
359,화곡2동,1
360,화곡3동,2
361,화곡4동,2
362,화곡6동,4
363,화곡8동,17
364,화곡본동,4
365,화양동,1
366,황학동,1
367,회현동,11
368,후암동,2
369,휘경1동,2
370,휘경2동,2
371,흑석동,3
