동,2015_12 등록된 전기차,2016_12 등록된 전기차,2017_12 등록된 전기차,2018_12 등록된 전기차,2019_12 등록된 전기차,2020_12 등록된 전기차,2021_12 등록된 전기차
삼각산동,0,1,3,10,19,35,55
삼선동,1,3,24,27,33,40,66
삼성1동,59,36,44,56,75,84,131
삼성2동,10,11,11,24,40,76,132
삼성동,2,1,2,4,5,16,29
삼양동,0,1,3,6,9,19,34
삼전동,0,1,2,11,26,45,69
삼청동,1,1,2,6,5,7,9
상계10동,1,0,1,5,8,15,25
상계1동,1,1,8,22,36,68,127
상계2동,0,2,13,13,16,37,47
상계3·4동,0,1,5,7,10,44,66
상계5동,1,1,4,10,11,22,30
상계6·7동,3,5,11,13,22,33,50
상계8동,0,0,4,6,8,17,32
상계9동,0,1,1,3,7,9,25
상도1동,2,4,7,17,26,38,90
상도2동,1,1,3,10,17,22,46
상도3동,0,0,1,10,13,18,30
상도4동,1,1,3,7,12,16,41
상봉1동,2,3,3,11,16,26,48
상봉2동,0,1,2,8,8,16,36
상암동,282,283,134,31,59,95,126
상일동,1,1,1,4,8,60,174
서강동,3,2,5,14,22,44,70
서교동,3,4,6,13,26,43,69
서림동,0,1,0,4,9,20,38
서빙고동,0,0,0,3,12,21,35
서원동,0,0,1,5,9,13,27
서초1동,10,14,99,189,418,830,1014
서초2동,5,8,11,18,23,55,117
서초3동,2,4,11,17,35,58,221
서초4동,2,1,2,15,35,56,111
석관동,0,0,1,4,10,30,54
석촌동,2,1,3,16,27,35,62
성내1동,3,3,10,14,22,35,64
성내2동,4,6,27,32,40,55,76
성내3동,0,0,1,6,17,31,42
성북동,3,3,5,14,18,30,46
성산1동,1,3,14,19,23,37,53
성산2동,2,3,16,22,33,42,95
성수1가1동,18,20,62,215,235,356,526
성수1가2동,0,1,61,62,65,227,144
성수2가1동,0,0,1,9,26,60,105
성수2가3동,3,1,1,10,14,23,54
성현동,0,0,1,6,13,19,46
세곡동,11,6,7,31,77,110,194
소공동,2,2,2,15,43,226,307
송정동,0,0,5,8,8,9,16
송중동,2,2,2,3,12,23,33
송천동,0,0,1,6,9,11,29
송파1동,0,0,3,8,17,28,49
송파2동,0,1,2,6,13,20,45
수궁동,2,3,6,7,11,16,36
수색동,0,0,0,5,7,13,26
수서동,1,1,5,9,12,35,61
수유1동,0,0,0,8,9,20,24
수유2동,0,0,0,1,3,12,22
수유3동,1,1,1,15,23,32,47
숭인1동,0,0,0,1,1,4,10
숭인2동,0,0,0,0,0,3,8
시흥1동,1,1,13,23,33,47,83
시흥2동,5,5,5,12,18,24,32
시흥3동,1,1,3,7,9,13,27
시흥4동,0,0,0,5,10,12,24
시흥5동,1,1,2,3,6,23,39
신길1동,0,0,0,2,12,17,22
신길3동,0,0,1,2,5,9,24
신길4동,1,1,1,1,2,9,24
신길5동,1,1,1,3,5,16,23
신길6동,0,0,1,3,5,14,28
신길7동,0,0,1,9,16,28,61
신내1동,1,3,6,26,46,64,90
신내2동,3,4,10,22,28,41,76
신당5동,0,0,0,3,4,8,18
신당동,2,2,5,10,19,20,26
신대방1동,1,1,3,6,15,35,68
신대방2동,6,5,10,14,25,30,49
신도림동,2,1,3,10,21,30,77
신림동,1,1,1,6,11,10,26
신사1동,2,2,2,8,17,28,52
신사2동,0,1,3,5,11,25,46
신사동,4,6,12,24,28,35,60
신사동,0,0,1,8,12,14,27
신수동,1,2,3,10,21,33,49
신원동,0,0,2,2,4,10,14
신월1동,1,1,1,16,22,20,42
신월2동,5,4,5,3,3,9,28
신월3동,1,1,1,4,10,20,28
신월4동,1,1,1,3,9,24,38
신월5동,1,1,0,3,4,9,28
신월6동,0,2,3,14,16,27,49
신월7동,4,8,8,7,17,22,34
신정1동,1,1,5,12,39,92,125
신정2동,3,6,14,16,32,37,58
신정3동,1,1,2,11,19,41,89
신정4동,2,3,3,7,16,30,50
신정6동,0,0,24,31,43,43,74
신정7동,1,2,3,6,9,16,39
신촌동,1,1,3,5,8,14,28
쌍문1동,3,3,2,16,22,34,47
쌍문2동,2,2,4,4,7,16,31
쌍문3동,1,2,1,2,3,7,15
쌍문4동,0,1,1,6,9,12,18
아현동,4,7,1,10,21,30,65
안암동,0,1,1,2,6,8,17
암사1동,0,3,5,9,16,30,58
암사2동,0,0,0,6,11,19,38
암사3동,0,0,0,3,11,12,38
압구정동,2,2,5,12,26,48,83
약수동,1,2,2,5,7,19,36
양재1동,4,38,115,145,208,394,982
양재2동,6,6,11,60,66,86,226
양평1동,1,0,2,15,13,27,39
양평2동,1,0,4,10,36,41,86
여의동,18,77,214,508,1106,1482,1545
역삼1동,13,10,37,122,302,451,648
역삼2동,2,2,3,84,135,131,221
