,동,등록 자동차 수
350,용문동,25
351,용산2가동,14
352,원효로1동,81
353,원효로2동,45
354,이촌1동,275
355,이촌2동,49
356,이태원1동,61
357,이태원2동,15
358,청파동,27
359,한강로동,129
360,한남동,113
361,효창동,16
362,후암동,37
363,갈현1동,25
364,갈현2동,27
365,구산동,48
366,녹번동,108
367,대조동,20
368,불광1동,57
369,불광2동,22
370,수색동,26
371,신사1동,52
372,신사2동,46
373,역촌동,61
374,응암1동,60
375,응암2동,75
376,응암3동,27
377,증산동,30
378,진관동,197
379,가회동,19
380,교남동,39
381,무악동,18
382,부암동,30
383,사직동,142
384,삼청동,9
385,숭인1동,10
386,숭인2동,8
387,이화동,23
388,종로1.2.3.4가동,122
389,종로5.6가동,9
390,창신1동,7
391,창신2동,6
392,창신3동,8
393,청운효자동,51
394,평창동,82
395,혜화동,23
396,광희동,43
397,다산동,38
398,동화동,12
399,명동,200
400,소공동,307
401,신당5동,18
402,신당동,26
403,약수동,36
404,을지로동,9
405,장충동,25
406,중림동,44
407,청구동,28
408,필동,30
409,황학동,31
410,회현동,103
411,망우3동,52
412,망우본동,89
413,면목2동,56
414,면목3.8동,29
415,면목4동,35
416,면목5동,26
417,면목7동,34
418,면목본동,33
419,묵1동,60
420,묵2동,23
421,상봉1동,48
422,상봉2동,36
423,신내1동,90
424,신내2동,76
425,중화1동,29
426,중화2동,34
