,동별,연료별,등록 자동차 수
144,서울특별시 노원구 상계9동,전기,9
145,서울특별시 노원구 월계1동,전기,17
146,서울특별시 노원구 월계2동,전기,21
147,서울특별시 노원구 월계3동,전기,26
148,서울특별시 노원구 중계1동,전기,19
149,서울특별시 노원구 중계2.3동,전기,26
150,서울특별시 노원구 중계4동,전기,26
151,서울특별시 노원구 중계본동,전기,22
152,서울특별시 노원구 하계1동,전기,22
153,서울특별시 노원구 하계2동,전기,8
154,서울특별시 도봉구 도봉1동,전기,25
155,서울특별시 도봉구 도봉2동,전기,24
156,서울특별시 도봉구 방학1동,전기,60
157,서울특별시 도봉구 방학2동,전기,11
158,서울특별시 도봉구 방학3동,전기,25
159,서울특별시 도봉구 쌍문1동,전기,34
160,서울특별시 도봉구 쌍문2동,전기,16
161,서울특별시 도봉구 쌍문3동,전기,7
162,서울특별시 도봉구 쌍문4동,전기,12
163,서울특별시 도봉구 창1동,전기,43
164,서울특별시 도봉구 창2동,전기,21
165,서울특별시 도봉구 창3동,전기,13
166,서울특별시 도봉구 창4동,전기,28
167,서울특별시 도봉구 창5동,전기,28
168,서울특별시 동대문구 답십리1동,전기,36
169,서울특별시 동대문구 답십리2동,전기,27
170,서울특별시 동대문구 용신동,전기,42
171,서울특별시 동대문구 이문1동,전기,17
172,서울특별시 동대문구 이문2동,전기,14
173,서울특별시 동대문구 장안1동,전기,34
174,서울특별시 동대문구 장안2동,전기,27
175,서울특별시 동대문구 전농1동,전기,30
176,서울특별시 동대문구 전농2동,전기,14
177,서울특별시 동대문구 제기동,전기,17
178,서울특별시 동대문구 청량리동,전기,19
179,서울특별시 동대문구 회기동,전기,7
180,서울특별시 동대문구 휘경1동,전기,5
181,서울특별시 동대문구 휘경2동,전기,23
182,서울특별시 동작구 노량진1동,전기,43
183,서울특별시 동작구 노량진2동,전기,13
184,서울특별시 동작구 대방동,전기,31
185,서울특별시 동작구 사당1동,전기,22
186,서울특별시 동작구 사당2동,전기,26
187,서울특별시 동작구 사당3동,전기,28
188,서울특별시 동작구 사당4동,전기,14
189,서울특별시 동작구 사당5동,전기,15
190,서울특별시 동작구 상도1동,전기,38
191,서울특별시 동작구 상도2동,전기,22
192,서울특별시 동작구 상도3동,전기,18
193,서울특별시 동작구 상도4동,전기,16
194,서울특별시 동작구 신대방1동,전기,35
195,서울특별시 동작구 신대방2동,전기,30
196,서울특별시 동작구 흑석동,전기,39
197,서울특별시 마포구 공덕동,전기,61
198,서울특별시 마포구 대흥동,전기,13
199,서울특별시 마포구 도화동,전기,27
200,서울특별시 마포구 망원1동,전기,24
201,서울특별시 마포구 망원2동,전기,24
202,서울특별시 마포구 상암동,전기,95
203,서울특별시 마포구 서강동,전기,44
204,서울특별시 마포구 서교동,전기,43
205,서울특별시 마포구 성산1동,전기,37
206,서울특별시 마포구 성산2동,전기,42
207,서울특별시 마포구 신수동,전기,33
208,서울특별시 마포구 아현동,전기,30
209,서울특별시 마포구 연남동,전기,21
210,서울특별시 마포구 염리동,전기,11
211,서울특별시 마포구 용강동,전기,34
212,서울특별시 마포구 합정동,전기,28
213,서울특별시 서대문구 남가좌1동,전기,19
214,서울특별시 서대문구 남가좌2동,전기,25
215,서울특별시 서대문구 북가좌1동,전기,39
216,서울특별시 서대문구 북가좌2동,전기,28
217,서울특별시 서대문구 북아현동,전기,16
218,서울특별시 서대문구 신촌동,전기,14
219,서울특별시 서대문구 연희동,전기,68
220,서울특별시 서대문구 천연동,전기,13
221,서울특별시 서대문구 충현동,전기,36
222,서울특별시 서대문구 홍은1동,전기,20
223,서울특별시 서대문구 홍은2동,전기,41
224,서울특별시 서대문구 홍제1동,전기,24
225,서울특별시 서대문구 홍제2동,전기,7
226,서울특별시 서대문구 홍제3동,전기,8
227,서울특별시 서초구 내곡동,전기,51
228,서울특별시 서초구 반포1동,전기,74
229,서울특별시 서초구 반포2동,전기,97
230,서울특별시 서초구 반포3동,전기,46
231,서울특별시 서초구 반포4동,전기,57
232,서울특별시 서초구 반포본동,전기,61
