,동,2015_12 등록된 전기차,2016_12 등록된 전기차,2017_12 등록된 전기차,2018_12 등록된 전기차,2019_12 등록된 전기차,2020_12 등록된 전기차,2021_12 등록된 전기차
105,신대방2동,6,5,10,14,25,30,49
106,흑석동,2,2,3,8,14,39,66
107,공덕동,5,9,10,29,44,61,120
108,도화동,3,4,6,14,25,27,43
109,망원1동,1,1,3,3,11,24,54
110,망원2동,1,2,3,9,16,24,39
111,상암동,282,283,134,31,59,95,126
112,서강동,3,2,5,14,22,44,70
113,서교동,3,4,6,13,26,43,69
114,성산1동,1,3,14,19,23,37,53
115,성산2동,2,3,16,22,33,42,95
116,신수동,1,2,3,10,21,33,49
117,아현동,4,7,1,10,21,30,65
118,연남동,1,2,3,9,14,21,33
119,합정동,3,4,4,11,18,28,71
120,북가좌1동,3,1,3,17,21,39,56
121,북아현동,1,1,4,6,11,16,33
122,신촌동,1,1,3,5,8,14,28
123,연희동,3,3,14,37,54,68,120
124,충현동,3,4,3,12,23,36,66
125,홍제1동,1,1,5,10,15,24,42
126,내곡동,6,6,8,16,26,51,125
127,반포1동,1,1,3,19,43,74,146
128,반포3동,1,1,1,6,21,46,62
129,반포4동,6,6,8,14,21,57,81
130,반포본동,1,3,2,10,47,61,63
131,방배3동,2,3,3,12,20,31,35
132,방배4동,4,4,14,20,23,30,61
133,서초1동,10,14,99,189,418,830,1014
134,서초2동,5,8,11,18,23,55,117
135,서초3동,2,4,11,17,35,58,221
136,서초4동,2,1,2,15,35,56,111
137,양재1동,4,38,115,145,208,394,982
138,양재2동,6,6,11,60,66,86,226
139,잠원동,2,4,6,9,26,30,53
140,금호2.3가동,1,1,3,10,20,24,38
141,마장동,2,5,18,29,46,79,129
142,사근동,1,1,5,8,11,13,24
143,성수1가1동,18,20,62,215,235,356,526
144,성수2가3동,3,1,1,10,14,23,54
145,용답동,1,1,3,4,19,42,55
146,응봉동,2,1,1,1,3,12,20
147,행당1동,5,4,22,33,40,62,82
148,행당2동,1,1,2,4,14,18,34
149,길음2동,1,2,3,10,15,28,49
150,보문동,1,1,2,5,15,22,37
151,삼선동,1,3,24,27,33,40,66
152,성북동,3,3,5,14,18,30,46
153,월곡1동,2,4,3,6,7,15,19
154,월곡2동,1,0,1,3,13,25,49
155,정릉1동,2,2,3,27,49,89,115
156,정릉3동,2,2,2,5,7,12,20
157,종암동,1,1,3,14,17,41,72
158,가락2동,1,2,6,9,20,47,75
159,거여1동,2,2,2,2,7,10,24
160,거여2동,1,1,1,7,8,19,42
161,마천1동,2,2,7,13,21,31,36
162,마천2동,1,1,1,3,7,20,43
163,문정2동,2,2,4,17,36,80,102
164,방이1동,5,6,14,16,25,29,49
165,석촌동,2,1,3,16,27,35,62
166,오금동,1,2,4,16,19,44,97
167,위례동,1,3,10,32,40,61,163
168,잠실3동,1,1,6,14,30,54,97
169,잠실6동,2,3,6,32,42,62,99
170,잠실본동,1,3,4,9,14,28,75
171,장지동,3,3,8,16,18,34,72
172,풍납1동,1,1,2,7,14,20,33
173,풍납2동,1,2,4,11,20,32,54
174,목1동,38,40,9,16,28,58,102
175,목2동,2,3,6,15,17,25,36
176,목5동,2,2,8,23,36,54,95
177,신월1동,1,1,1,16,22,20,42
178,신월2동,5,4,5,3,3,9,28
179,신월3동,1,1,1,4,10,20,28
180,신월4동,1,1,1,3,9,24,38
181,신월5동,1,1,0,3,4,9,28
182,신월7동,4,8,8,7,17,22,34
183,신정1동,1,1,5,12,39,92,125
184,신정2동,3,6,14,16,32,37,58
185,신정3동,1,1,2,11,19,41,89
186,신정4동,2,3,3,7,16,30,50
187,신정7동,1,2,3,6,9,16,39
188,당산1동,6,9,32,42,50,64,86
189,당산2동,3,4,9,20,25,48,93
190,문래동,1,1,2,7,17,50,103
191,신길4동,1,1,1,1,2,9,24
192,신길5동,1,1,1,3,5,16,23
193,양평1동,1,0,2,15,13,27,39
194,양평2동,1,0,4,10,36,41,86
195,여의동,18,77,214,508,1106,1482,1545
196,영등포동,2,2,5,20,36,60,102
197,남영동,2,3,6,7,10,16,18
198,원효로1동,1,1,10,14,21,35,81
199,원효로2동,1,8,8,51,58,77,45
200,이촌1동,1,3,5,11,29,52,275
201,이태원1동,1,2,7,34,43,48,61
202,이태원2동,1,1,2,5,6,10,15
203,한강로동,37,33,6,22,44,65,129
204,한남동,6,6,14,22,39,66,113
205,후암동,1,1,2,10,14,24,37
206,갈현1동,1,2,4,10,8,15,25
207,구산동,1,1,6,10,13,23,48
208,신사1동,2,2,2,8,17,28,52
209,역촌동,3,4,7,9,13,32,61
210,응암1동,1,0,2,6,6,31,60
211,응암2동,1,1,3,9,16,30,75
212,응암3동,1,1,2,5,8,15,27
213,진관동,8,9,13,36,81,134,197
214,가회동,2,2,3,5,8,9,19
215,부암동,1,1,2,7,10,15,30
216,사직동,5,6,9,15,26,37,142
217,삼청동,1,1,2,6,5,7,9
218,이화동,1,2,3,4,7,18,23
219,종로1.2.3.4가동,12,15,37,35,41,53,122
220,종로5.6가동,1,3,3,4,3,6,9
221,창신1동,1,0,0,2,2,2,7
222,청운효자동,1,1,4,13,20,28,51
223,평창동,4,5,7,29,38,41,82
224,광희동,2,2,5,20,21,28,43
225,다산동,1,1,2,5,12,22,38
226,명동,28,33,57,75,112,142,200
227,소공동,2,2,2,15,43,226,307
228,신당동,2,2,5,10,19,20,26
229,약수동,1,2,2,5,7,19,36
230,장충동,6,6,11,16,18,21,25
231,중림동,1,2,3,14,19,28,44
232,청구동,1,2,3,6,8,12,28
233,필동,99,55,7,10,13,20,30
234,회현동,5,7,11,23,47,140,103
235,망우본동,1,0,3,11,17,62,89
236,면목2동,1,1,2,6,14,40,56
237,면목4동,10,10,0,1,5,18,35
238,묵1동,2,3,6,12,22,27,60
239,상봉1동,2,3,3,11,16,26,48
240,신내1동,1,3,6,26,46,64,90
241,신내2동,3,4,10,22,28,41,76
242,중화1동,1,2,3,7,8,18,29
243,개포4동,0,1,4,5,8,26,69
244,길동,0,1,2,14,44,89,152
245,암사1동,0,3,5,9,16,30,58
246,삼각산동,0,1,3,10,19,35,55
247,삼양동,0,1,3,6,9,19,34
248,화곡4동,0,1,2,5,8,15,22
249,낙성대동,0,1,2,4,7,13,22
250,대학동,0,1,1,9,25,56,70
251,서림동,0,1,0,4,9,20,38
252,조원동,0,1,2,3,5,13,29
253,중곡2동,0,1,1,2,4,8,19
254,구로1동,0,1,5,47,57,399,1367
255,구로2동,0,1,19,27,33,80,148
256,독산1동,0,2,5,17,36,62,124
257,상계2동,0,2,13,13,16,37,47
258,상계3.4동,0,1,5,7,10,44,66
259,상계9동,0,1,1,3,7,9,25
260,월계1동,0,1,1,6,9,17,46
261,중계1동,0,1,5,8,9,19,37
262,중계4동,0,4,7,8,18,26,40
263,방학3동,0,1,1,8,11,25,43
264,쌍문4동,0,1,1,6,9,12,18
265,창1동,0,1,2,6,22,43,55
266,제기동,0,1,1,5,7,17,33
267,노량진1동,0,2,9,19,32,43,74
268,용강동,0,1,2,13,18,34,65
269,남가좌1동,0,1,1,3,10,19,44
270,북가좌2동,0,1,2,7,13,28,50
271,반포2동,0,1,5,55,68,97,153
272,방배2동,0,1,2,14,17,22,38
273,방배본동,0,2,3,10,23,41,66
274,성수1가2동,0,1,61,62,65,227,144
275,왕십리2동,0,1,1,2,3,8,24
276,길음1동,0,2,4,14,33,46,72
277,안암동,0,1,1,2,6,8,17
278,장위1동,0,2,3,5,8,14,42
279,장위2동,0,1,2,3,6,9,20
280,가락본동,0,1,0,10,19,30,54
281,문정1동,0,2,3,14,26,73,95
282,방이2동,0,2,4,6,12,34,71
283,삼전동,0,1,2,11,26,45,69
284,송파2동,0,1,2,6,13,20,45
285,오륜동,0,1,1,7,19,17,34
286,잠실2동,0,1,3,24,46,74,126
287,잠실4동,0,1,6,26,32,56,95
288,신월6동,0,2,3,14,16,27,49
289,녹번동,0,7,24,33,43,66,108
290,불광1동,0,1,2,6,11,23,57
291,신사2동,0,1,3,5,11,25,46
292,혜화동,0,1,2,2,8,16,23
293,망우3동,0,1,2,3,10,24,52
294,묵2동,0,1,2,5,4,6,23
295,상봉2동,0,1,2,8,8,16,36
296,개포1동,0,0,2,3,5,13,23
297,강일동,0,0,7,27,35,60,137
298,명일1동,0,0,4,6,23,30,58
299,명일2동,0,0,2,6,12,19,34
300,성내3동,0,0,1,6,17,31,42
301,천호1동,0,0,3,4,8,26,72
302,송천동,0,0,1,6,9,11,29
303,우이동,0,0,1,5,10,13,36
304,등촌2동,0,0,2,4,10,18,31
305,방화2동,0,0,1,10,20,48,105
306,염창동,0,0,3,11,22,44,94
307,화곡1동,0,0,13,16,27,42,85
308,화곡2동,0,0,1,1,6,10,19
309,화곡8동,0,0,17,22,25,27,40
310,난곡동,0,0,1,6,7,10,21
311,남현동,0,0,2,5,12,18,18
312,미성동,0,0,3,4,7,14,34
313,서원동,0,0,1,5,9,13,27
314,성현동,0,0,1,6,13,19,46
315,신사동,0,0,1,8,12,14,27
316,신원동,0,0,2,2,4,10,14
317,은천동,0,0,2,4,9,20,57
318,행운동,0,0,2,7,10,23,33
319,구의2동,0,0,3,11,19,28,44
320,군자동,0,0,1,3,5,14,32
321,중곡1동,0,0,2,6,11,18,24
322,중곡4동,0,0,3,7,8,18,47
323,가리봉동,0,0,1,1,3,7,8
324,개봉2동,0,0,1,6,13,19,34
325,개봉3동,0,0,2,4,2,6,13
326,고척2동,0,0,1,7,13,20,42
327,독산2동,0,0,1,4,5,13,19
328,독산3동,0,0,1,4,8,14,31
329,상계8동,0,0,4,6,8,17,32
330,월계2동,0,0,3,8,12,21,42
331,월계3동,0,0,1,4,11,26,45
332,중계2.3동,0,0,1,11,16,26,48
333,창4동,0,0,3,11,19,28,52
334,답십리1동,0,0,2,12,24,36,84
335,이문1동,0,0,1,2,12,17,23
336,이문2동,0,0,1,6,13,14,26
337,노량진2동,0,0,9,11,12,13,18
338,상도3동,0,0,1,10,13,18,30
339,남가좌2동,0,0,2,4,11,25,54
340,천연동,0,0,1,4,8,13,26
341,홍은1동,0,0,1,6,9,20,47
342,홍은2동,0,0,1,9,27,41,58
343,홍제2동,0,0,1,3,4,7,18
344,방배1동,0,0,4,9,32,39,62
345,금호1가동,0,0,5,8,11,16,32
346,금호4가동,0,0,2,9,16,20,46
347,성수2가1동,0,0,1,9,26,60,105
348,송정동,0,0,5,8,8,9,16
349,옥수동,0,0,1,14,31,45,94
350,왕십리도선동,0,0,2,15,16,27,71
351,돈암2동,0,0,3,14,28,38,62
352,동선동,0,0,2,6,5,10,10
353,석관동,0,0,1,4,10,30,54
354,정릉2동,0,0,1,7,19,24,45
355,정릉4동,0,0,1,7,34,18,40
356,가락1동,0,0,7,8,55,84,148
357,송파1동,0,0,3,8,17,28,49
358,잠실7동,0,0,1,3,4,8,23
359,신정6동,0,0,24,31,43,43,74
360,대림1동,0,0,2,2,8,16,37
361,대림3동,0,0,1,4,6,16,44
362,도림동,0,0,2,6,9,18,35
363,신길3동,0,0,1,2,5,9,24
364,신길6동,0,0,1,3,5,14,28
365,신길7동,0,0,1,9,16,28,61
366,영등포본동,0,0,1,2,6,17,42
367,보광동,0,0,2,2,11,10,17
368,이촌2동,0,0,2,7,11,14,49
369,청파동,0,0,2,6,11,13,27
370,대조동,0,0,1,4,5,9,20
371,불광2동,0,0,2,5,7,15,22
372,증산동,0,0,2,7,7,17,30
373,교남동,0,0,1,4,8,17,39
374,창신2동,0,0,2,1,2,6,6
375,동화동,0,0,1,4,6,8,12
376,황학동,0,0,1,3,5,14,31
377,면목7동,0,0,1,3,10,22,34
378,암사2동,0,0,0,6,11,19,38
379,암사3동,0,0,0,3,11,12,38
380,번1동,0,0,0,1,6,9,23
381,번3동,0,0,0,1,3,38,61
382,수유1동,0,0,0,8,9,20,24
383,수유2동,0,0,0,1,3,12,22
384,가양2동,0,0,0,5,6,11,23
385,가양3동,0,0,0,6,5,17,32
386,난향동,0,0,0,5,10,13,26
387,보라매동,0,0,0,4,13,19,36
388,인헌동,0,0,0,8,8,17,36
389,청림동,0,0,0,3,6,13,19
390,자양4동,0,0,0,2,4,6,22
391,중곡3동,0,0,0,3,4,9,15
392,오류1동,0,0,0,8,11,21,37
393,독산4동,0,0,0,1,5,9,20
394,시흥4동,0,0,0,5,10,12,24
395,중계본동,0,0,0,4,11,22,30
396,도봉1동,0,0,0,2,10,25,56
397,창2동,0,0,0,9,13,21,44
398,회기동,0,0,0,2,2,7,7
399,대흥동,0,0,0,4,7,13,25
400,염리동,0,0,0,5,9,11,85
401,홍제3동,0,0,0,5,5,8,21
402,장위3동,0,0,0,1,4,20,39
403,목3동,0,0,0,4,10,15,35
404,목4동,0,0,0,8,13,15,39
405,대림2동,0,0,0,2,5,10,15
406,신길1동,0,0,0,2,12,17,22
407,서빙고동,0,0,0,3,12,21,35
408,용문동,0,0,0,2,9,13,25
409,용산2가동,0,0,0,3,2,5,14
410,효창동,0,0,0,1,6,10,16
411,갈현2동,0,0,0,6,7,16,27
412,수색동,0,0,0,5,7,13,26
413,무악동,0,0,0,2,7,12,18
414,숭인1동,0,0,0,1,1,4,10
415,창신3동,0,0,0,3,3,4,8
416,신당5동,0,0,0,3,4,8,18
417,을지로동,0,0,0,1,2,6,9
418,면목3.8동,0,0,0,2,4,6,29
419,면목본동,0,0,0,6,8,21,33
420,중화2동,0,0,0,5,6,12,34
421,돈암1동,0,0,0,0,7,11,26
422,면목5동,0,0,0,0,6,9,26
423,항동,0,0,0,0,0,19,65
424,숭인2동,0,0,0,0,0,3,8
425,상일제1동,0,0,0,0,0,0,62
426,상일제2동,0,0,0,0,0,0,8
