,동별,연료별,등록 자동차 수
0,서울특별시 강남구 개포1동,전기,2
1,서울특별시 강남구 개포2동,전기,2
2,서울특별시 강남구 개포4동,전기,4
3,서울특별시 강남구 논현1동,전기,3
4,서울특별시 강남구 논현2동,전기,16
5,서울특별시 강남구 대치1동,전기,104
6,서울특별시 강남구 대치2동,전기,8
7,서울특별시 강남구 대치4동,전기,2065
8,서울특별시 강남구 도곡1동,전기,6
9,서울특별시 강남구 도곡2동,전기,12
10,서울특별시 강남구 삼성1동,전기,44
11,서울특별시 강남구 삼성2동,전기,11
12,서울특별시 강남구 세곡동,전기,7
13,서울특별시 강남구 수서동,전기,5
14,서울특별시 강남구 신사동,전기,12
15,서울특별시 강남구 압구정동,전기,5
16,서울특별시 강남구 역삼1동,전기,37
17,서울특별시 강남구 역삼2동,전기,3
18,서울특별시 강남구 일원1동,전기,2
19,서울특별시 강남구 일원2동,전기,4
20,서울특별시 강남구 일원본동,전기,2
21,서울특별시 강남구 청담동,전기,31
22,서울특별시 강동구 강일동,전기,7
23,서울특별시 강동구 고덕1동,전기,5
24,서울특별시 강동구 길동,전기,2
25,서울특별시 강동구 둔촌1동,전기,4
26,서울특별시 강동구 둔촌2동,전기,4
27,서울특별시 강동구 명일1동,전기,4
28,서울특별시 강동구 명일2동,전기,2
29,서울특별시 강동구 상일동,전기,1
30,서울특별시 강동구 성내1동,전기,10
31,서울특별시 강동구 성내2동,전기,27
32,서울특별시 강동구 성내3동,전기,1
33,서울특별시 강동구 암사1동,전기,5
34,서울특별시 강동구 천호1동,전기,3
35,서울특별시 강동구 천호2동,전기,5
36,서울특별시 강동구 천호3동,전기,1
37,서울특별시 강북구 미아동,전기,8
38,서울특별시 강북구 번2동,전기,5
39,서울특별시 강북구 삼각산동,전기,3
40,서울특별시 강북구 삼양동,전기,3
41,서울특별시 강북구 송중동,전기,2
42,서울특별시 강북구 송천동,전기,1
43,서울특별시 강북구 수유3동,전기,1
44,서울특별시 강북구 우이동,전기,1
45,서울특별시 강북구 인수동,전기,3
46,서울특별시 강서구 가양1동,전기,44
47,서울특별시 강서구 공항동,전기,17
48,서울특별시 강서구 등촌1동,전기,8
49,서울특별시 강서구 등촌2동,전기,2
50,서울특별시 강서구 등촌3동,전기,1
51,서울특별시 강서구 발산1동,전기,4
52,서울특별시 강서구 방화1동,전기,6
53,서울특별시 강서구 방화2동,전기,1
54,서울특별시 강서구 방화3동,전기,2
55,서울특별시 강서구 염창동,전기,3
56,서울특별시 강서구 우장산동,전기,1
57,서울특별시 강서구 화곡1동,전기,13
58,서울특별시 강서구 화곡2동,전기,1
59,서울특별시 강서구 화곡3동,전기,2
60,서울특별시 강서구 화곡4동,전기,2
61,서울특별시 강서구 화곡6동,전기,4
62,서울특별시 강서구 화곡8동,전기,17
63,서울특별시 강서구 화곡본동,전기,4
64,서울특별시 관악구 낙성대동,전기,2
65,서울특별시 관악구 난곡동,전기,1
66,서울특별시 관악구 남현동,전기,2
67,서울특별시 관악구 대학동,전기,1
68,서울특별시 관악구 미성동,전기,3
69,서울특별시 관악구 삼성동,전기,2
70,서울특별시 관악구 서원동,전기,1
71,서울특별시 관악구 성현동,전기,1
72,서울특별시 관악구 신림동,전기,1
73,서울특별시 관악구 신사동,전기,1
74,서울특별시 관악구 신원동,전기,2
75,서울특별시 관악구 은천동,전기,2
76,서울특별시 관악구 조원동,전기,2
77,서울특별시 관악구 중앙동,전기,1
78,서울특별시 관악구 청룡동,전기,21
79,서울특별시 관악구 행운동,전기,2
80,서울특별시 광진구 광장동,전기,8
81,서울특별시 광진구 구의1동,전기,5
82,서울특별시 광진구 구의2동,전기,3
83,서울특별시 광진구 구의3동,전기,6
84,서울특별시 광진구 군자동,전기,1
85,서울특별시 광진구 능동,전기,3
86,서울특별시 광진구 자양1동,전기,4
87,서울특별시 광진구 자양2동,전기,2
88,서울특별시 광진구 자양3동,전기,5
89,서울특별시 광진구 중곡1동,전기,2
90,서울특별시 광진구 중곡2동,전기,1
91,서울특별시 광진구 중곡4동,전기,3
92,서울특별시 광진구 화양동,전기,1
93,서울특별시 구로구 가리봉동,전기,1
94,서울특별시 구로구 개봉1동,전기,5
