,동,등록 자동차 수
0,개포1동,2
1,개포2동,2
2,개포4동,4
3,논현1동,3
4,논현2동,16
5,대치1동,104
6,대치2동,8
7,대치4동,2065
8,도곡1동,6
9,도곡2동,12
10,삼성1동,44
11,삼성2동,11
12,세곡동,7
13,수서동,5
14,신사동,12
15,압구정동,5
16,역삼1동,37
17,역삼2동,3
18,일원1동,2
19,일원2동,4
20,일원본동,2
21,청담동,31
22,강일동,7
23,고덕1동,5
24,길동,2
25,둔촌1동,4
26,둔촌2동,4
27,명일1동,4
28,명일2동,2
29,상일동,1
30,성내1동,10
31,성내2동,27
32,성내3동,1
33,암사1동,5
34,천호1동,3
35,천호2동,5
36,천호3동,1
37,미아동,8
38,번2동,5
39,삼각산동,3
40,삼양동,3
41,송중동,2
42,송천동,1
43,수유3동,1
44,우이동,1
45,인수동,3
46,가양1동,44
47,공항동,17
48,등촌1동,8
49,등촌2동,2
50,등촌3동,1
51,발산1동,4
52,방화1동,6
53,방화2동,1
54,방화3동,2
55,염창동,3
56,우장산동,1
57,화곡1동,13
58,화곡2동,1
59,화곡3동,2
60,화곡4동,2
61,화곡6동,4
62,화곡8동,17
63,화곡본동,4
64,낙성대동,2
65,난곡동,1
66,남현동,2
67,대학동,1
68,미성동,3
69,삼성동,2
70,서원동,1
71,성현동,1
72,신림동,1
73,신사동,1
74,신원동,2
75,은천동,2
76,조원동,2
77,중앙동,1
78,청룡동,21
79,행운동,2
80,광장동,8
81,구의1동,5
82,구의2동,3
83,구의3동,6
84,군자동,1
85,능동,3
86,자양1동,4
87,자양2동,2
88,자양3동,5
89,중곡1동,2
90,중곡2동,1
91,중곡4동,3
92,화양동,1
93,가리봉동,1
94,개봉1동,5
95,개봉2동,1
96,개봉3동,2
97,고척1동,4
98,고척2동,1
99,구로1동,5
100,구로2동,19
101,구로3동,5
102,구로4동,3
103,구로5동,7
104,수궁동,6
105,신도림동,3
106,오류2동,3
107,가산동,67
108,독산1동,5
109,독산2동,1
110,독산3동,1
111,시흥1동,13
112,시흥2동,5
113,시흥3동,3
114,시흥5동,2
115,공릉1동,6
116,공릉2동,7
117,상계10동,1
118,상계1동,8
119,상계2동,13
120,상계3.4동,5
121,상계5동,4
122,상계6.7동,11
123,상계8동,4
124,상계9동,1
125,월계1동,1
126,월계2동,3
127,월계3동,1
128,중계1동,5
129,중계2.3동,1
130,중계4동,7
131,하계1동,3
132,하계2동,2
133,도봉2동,2
134,방학1동,28
135,방학2동,1
136,방학3동,1
137,쌍문1동,2
138,쌍문2동,4
139,쌍문3동,1
140,쌍문4동,1
141,창1동,2
142,창3동,1
143,창4동,3
144,창5동,1
145,답십리1동,2
146,답십리2동,2
147,용신동,19
148,이문1동,1
149,이문2동,1
150,장안1동,6
151,장안2동,1
152,전농1동,2
153,전농2동,5
154,제기동,1
155,청량리동,5
156,휘경1동,2
157,휘경2동,2
158,노량진1동,9
159,노량진2동,9
160,대방동,3
161,사당1동,8
162,사당2동,3
163,사당3동,6
164,사당4동,1
165,사당5동,4
166,상도1동,7
167,상도2동,3
168,상도3동,1
169,상도4동,3
170,신대방1동,3
171,신대방2동,10
172,흑석동,3
173,공덕동,10
174,도화동,6
175,망원1동,3
176,망원2동,3
177,상암동,134
178,서강동,5
179,서교동,6
180,성산1동,14
181,성산2동,16
182,신수동,3
183,아현동,1
184,연남동,3
185,용강동,2
186,합정동,4
187,남가좌1동,1
188,남가좌2동,2
189,북가좌1동,3
190,북가좌2동,2
191,북아현동,4
192,신촌동,3
193,연희동,14
194,천연동,1
195,충현동,3
196,홍은1동,1
197,홍은2동,1
198,홍제1동,5
199,홍제2동,1
200,내곡동,8
201,반포1동,3
202,반포2동,5
203,반포3동,1
204,반포4동,8
205,반포본동,2
206,방배1동,4
207,방배2동,2
208,방배3동,3
209,방배4동,14
210,방배본동,3
211,서초1동,99
212,서초2동,11
213,서초3동,11
214,서초4동,2
215,양재1동,115
216,양재2동,11
217,잠원동,6
218,금호1가동,5
219,금호2.3가동,3
220,금호4가동,2
221,마장동,18
222,사근동,5
223,성수1가1동,62
224,성수1가2동,61
225,성수2가1동,1
226,성수2가3동,1
227,송정동,5
228,옥수동,1
229,왕십리2동,1
230,왕십리도선동,2
231,용답동,3
232,응봉동,1
233,행당1동,22
234,행당2동,2
235,길음1동,4
236,길음2동,3
237,돈암2동,3
238,동선동,2
239,보문동,2
240,삼선동,24
241,석관동,1
242,성북동,5
243,안암동,1
244,월곡1동,3
245,월곡2동,1
246,장위1동,3
247,장위2동,2
248,정릉1동,3
249,정릉2동,1
250,정릉3동,2
251,정릉4동,1
252,종암동,3
253,가락1동,7
254,가락2동,6
255,거여1동,2
256,거여2동,1
257,마천1동,7
258,마천2동,1
259,문정1동,3
260,문정2동,4
261,방이1동,14
262,방이2동,4
263,삼전동,2
264,석촌동,3
265,송파1동,3
266,송파2동,2
267,오금동,4
268,오륜동,1
269,위례동,10
270,잠실2동,3
271,잠실3동,6
272,잠실4동,6
273,잠실6동,6
274,잠실7동,1
275,잠실본동,4
276,장지동,8
277,풍납1동,2
278,풍납2동,4
279,목1동,9
280,목2동,6
281,목5동,8
282,신월1동,1
283,신월2동,5
284,신월3동,1
285,신월4동,1
286,신월6동,3
287,신월7동,8
288,신정1동,5
289,신정2동,14
290,신정3동,2
291,신정4동,3
292,신정6동,24
293,신정7동,3
294,당산1동,32
295,당산2동,9
296,대림1동,2
297,대림3동,1
298,도림동,2
299,문래동,2
300,신길3동,1
301,신길4동,1
302,신길5동,1
303,신길6동,1
304,신길7동,1
305,양평1동,2
306,양평2동,4
307,여의동,214
308,영등포동,5
309,영등포본동,1
310,남영동,6
311,보광동,2
312,원효로1동,10
313,원효로2동,8
314,이촌1동,5
315,이촌2동,2
316,이태원1동,7
317,이태원2동,2
318,청파동,2
319,한강로동,6
320,한남동,14
321,후암동,2
322,갈현1동,4
323,구산동,6
324,녹번동,24
325,대조동,1
326,불광1동,2
327,불광2동,2
328,신사1동,2
329,신사2동,3
330,역촌동,7
331,응암1동,2
332,응암2동,3
333,응암3동,2
334,증산동,2
335,진관동,13
336,가회동,3
337,교남동,1
338,부암동,2
339,사직동,9
340,삼청동,2
341,이화동,3
342,종로1.2.3.4가동,37
343,종로5.6가동,3
344,창신2동,2
345,청운효자동,4
346,평창동,7
347,혜화동,2
348,광희동,5
349,다산동,2
350,동화동,1
351,명동,57
352,소공동,2
353,신당동,5
354,약수동,2
355,장충동,11
356,중림동,3
