,동별,연료별,등록 자동차 수
0,서울특별시 강남구 개포1동,전기,23
1,서울특별시 강남구 개포2동,전기,119
2,서울특별시 강남구 개포4동,전기,69
3,서울특별시 강남구 논현1동,전기,66
4,서울특별시 강남구 논현2동,전기,103
5,서울특별시 강남구 대치1동,전기,4256
6,서울특별시 강남구 대치2동,전기,1619
7,서울특별시 강남구 대치4동,전기,3058
8,서울특별시 강남구 도곡1동,전기,105
9,서울특별시 강남구 도곡2동,전기,142
10,서울특별시 강남구 삼성1동,전기,131
11,서울특별시 강남구 삼성2동,전기,132
12,서울특별시 강남구 세곡동,전기,194
13,서울특별시 강남구 수서동,전기,61
14,서울특별시 강남구 신사동,전기,60
15,서울특별시 강남구 압구정동,전기,83
16,서울특별시 강남구 역삼1동,전기,648
17,서울특별시 강남구 역삼2동,전기,221
18,서울특별시 강남구 일원1동,전기,36
19,서울특별시 강남구 일원2동,전기,101
20,서울특별시 강남구 일원본동,전기,59
21,서울특별시 강남구 청담동,전기,146
22,서울특별시 강동구 강일동,전기,137
23,서울특별시 강동구 고덕1동,전기,83
24,서울특별시 강동구 고덕2동,전기,94
25,서울특별시 강동구 길동,전기,152
26,서울특별시 강동구 둔촌1동,전기,6
27,서울특별시 강동구 둔촌2동,전기,44
28,서울특별시 강동구 명일1동,전기,58
29,서울특별시 강동구 명일2동,전기,34
30,서울특별시 강동구 상일동,전기,104
31,서울특별시 강동구 상일제1동,전기,62
32,서울특별시 강동구 상일제2동,전기,8
33,서울특별시 강동구 성내1동,전기,64
34,서울특별시 강동구 성내2동,전기,76
35,서울특별시 강동구 성내3동,전기,42
36,서울특별시 강동구 암사1동,전기,58
37,서울특별시 강동구 암사2동,전기,38
38,서울특별시 강동구 암사3동,전기,38
39,서울특별시 강동구 천호1동,전기,72
40,서울특별시 강동구 천호2동,전기,46
41,서울특별시 강동구 천호3동,전기,57
42,서울특별시 강북구 미아동,전기,30
43,서울특별시 강북구 번1동,전기,23
44,서울특별시 강북구 번2동,전기,34
45,서울특별시 강북구 번3동,전기,61
46,서울특별시 강북구 삼각산동,전기,55
47,서울특별시 강북구 삼양동,전기,34
48,서울특별시 강북구 송중동,전기,33
49,서울특별시 강북구 송천동,전기,29
50,서울특별시 강북구 수유1동,전기,24
51,서울특별시 강북구 수유2동,전기,22
52,서울특별시 강북구 수유3동,전기,47
53,서울특별시 강북구 우이동,전기,36
54,서울특별시 강북구 인수동,전기,68
55,서울특별시 강서구 가양1동,전기,449
56,서울특별시 강서구 가양2동,전기,23
57,서울특별시 강서구 가양3동,전기,32
58,서울특별시 강서구 공항동,전기,166
59,서울특별시 강서구 등촌1동,전기,66
60,서울특별시 강서구 등촌2동,전기,31
61,서울특별시 강서구 등촌3동,전기,49
62,서울특별시 강서구 발산1동,전기,173
63,서울특별시 강서구 방화1동,전기,97
64,서울특별시 강서구 방화2동,전기,105
65,서울특별시 강서구 방화3동,전기,41
66,서울특별시 강서구 염창동,전기,94
67,서울특별시 강서구 우장산동,전기,73
68,서울특별시 강서구 화곡1동,전기,85
69,서울특별시 강서구 화곡2동,전기,19
70,서울특별시 강서구 화곡3동,전기,26
71,서울특별시 강서구 화곡4동,전기,22
72,서울특별시 강서구 화곡6동,전기,48
73,서울특별시 강서구 화곡8동,전기,40
74,서울특별시 강서구 화곡본동,전기,40
75,서울특별시 관악구 낙성대동,전기,22
76,서울특별시 관악구 난곡동,전기,21
77,서울특별시 관악구 난향동,전기,26
78,서울특별시 관악구 남현동,전기,18
79,서울특별시 관악구 대학동,전기,70
80,서울특별시 관악구 미성동,전기,34
81,서울특별시 관악구 보라매동,전기,36
82,서울특별시 관악구 삼성동,전기,29
83,서울특별시 관악구 서림동,전기,38
84,서울특별시 관악구 서원동,전기,27
85,서울특별시 관악구 성현동,전기,46
86,서울특별시 관악구 신림동,전기,26
87,서울특별시 관악구 신사동,전기,27
88,서울특별시 관악구 신원동,전기,14
89,서울특별시 관악구 은천동,전기,57
