,동별,2015_12 등록된 전기차,2016_12 등록된 전기차,2017_12 등록된 전기차,2018_12 등록된 전기차,2019_12 등록된 전기차,2020_12 등록된 전기차,2021_12 등록된 전기차
98,서울특별시 동작구 사당3동,2,2,6,9,20,28,48
99,서울특별시 동작구 사당4동,1,1,1,5,9,14,27
100,서울특별시 동작구 사당5동,2,3,4,11,15,15,21
101,서울특별시 동작구 상도1동,2,4,7,17,26,38,90
102,서울특별시 동작구 상도2동,1,1,3,10,17,22,46
103,서울특별시 동작구 상도4동,1,1,3,7,12,16,41
104,서울특별시 동작구 신대방1동,1,1,3,6,15,35,68
105,서울특별시 동작구 신대방2동,6,5,10,14,25,30,49
106,서울특별시 동작구 흑석동,2,2,3,8,14,39,66
107,서울특별시 마포구 공덕동,5,9,10,29,44,61,120
108,서울특별시 마포구 도화동,3,4,6,14,25,27,43
109,서울특별시 마포구 망원1동,1,1,3,3,11,24,54
110,서울특별시 마포구 망원2동,1,2,3,9,16,24,39
111,서울특별시 마포구 상암동,282,283,134,31,59,95,126
112,서울특별시 마포구 서강동,3,2,5,14,22,44,70
113,서울특별시 마포구 서교동,3,4,6,13,26,43,69
114,서울특별시 마포구 성산1동,1,3,14,19,23,37,53
115,서울특별시 마포구 성산2동,2,3,16,22,33,42,95
116,서울특별시 마포구 신수동,1,2,3,10,21,33,49
117,서울특별시 마포구 아현동,4,7,1,10,21,30,65
118,서울특별시 마포구 연남동,1,2,3,9,14,21,33
119,서울특별시 마포구 합정동,3,4,4,11,18,28,71
120,서울특별시 서대문구 북가좌1동,3,1,3,17,21,39,56
121,서울특별시 서대문구 북아현동,1,1,4,6,11,16,33
122,서울특별시 서대문구 신촌동,1,1,3,5,8,14,28
123,서울특별시 서대문구 연희동,3,3,14,37,54,68,120
124,서울특별시 서대문구 충현동,3,4,3,12,23,36,66
125,서울특별시 서대문구 홍제1동,1,1,5,10,15,24,42
126,서울특별시 서초구 내곡동,6,6,8,16,26,51,125
127,서울특별시 서초구 반포1동,1,1,3,19,43,74,146
128,서울특별시 서초구 반포3동,1,1,1,6,21,46,62
129,서울특별시 서초구 반포4동,6,6,8,14,21,57,81
130,서울특별시 서초구 반포본동,1,3,2,10,47,61,63
131,서울특별시 서초구 방배3동,2,3,3,12,20,31,35
132,서울특별시 서초구 방배4동,4,4,14,20,23,30,61
133,서울특별시 서초구 서초1동,10,14,99,189,418,830,1014
134,서울특별시 서초구 서초2동,5,8,11,18,23,55,117
135,서울특별시 서초구 서초3동,2,4,11,17,35,58,221
136,서울특별시 서초구 서초4동,2,1,2,15,35,56,111
137,서울특별시 서초구 양재1동,4,38,115,145,208,394,982
138,서울특별시 서초구 양재2동,6,6,11,60,66,86,226
139,서울특별시 서초구 잠원동,2,4,6,9,26,30,53
140,서울특별시 성동구 금호2.3가동,1,1,3,10,20,24,38
141,서울특별시 성동구 마장동,2,5,18,29,46,79,129
142,서울특별시 성동구 사근동,1,1,5,8,11,13,24
143,서울특별시 성동구 성수1가1동,18,20,62,215,235,356,526
144,서울특별시 성동구 성수2가3동,3,1,1,10,14,23,54
145,서울특별시 성동구 용답동,1,1,3,4,19,42,55
146,서울특별시 성동구 응봉동,2,1,1,1,3,12,20
147,서울특별시 성동구 행당1동,5,4,22,33,40,62,82
148,서울특별시 성동구 행당2동,1,1,2,4,14,18,34
149,서울특별시 성북구 길음2동,1,2,3,10,15,28,49
150,서울특별시 성북구 보문동,1,1,2,5,15,22,37
151,서울특별시 성북구 삼선동,1,3,24,27,33,40,66
152,서울특별시 성북구 성북동,3,3,5,14,18,30,46
153,서울특별시 성북구 월곡1동,2,4,3,6,7,15,19
154,서울특별시 성북구 월곡2동,1,0,1,3,13,25,49
155,서울특별시 성북구 정릉1동,2,2,3,27,49,89,115
156,서울특별시 성북구 정릉3동,2,2,2,5,7,12,20
157,서울특별시 성북구 종암동,1,1,3,14,17,41,72
158,서울특별시 송파구 가락2동,1,2,6,9,20,47,75
159,서울특별시 송파구 거여1동,2,2,2,2,7,10,24
160,서울특별시 송파구 거여2동,1,1,1,7,8,19,42
161,서울특별시 송파구 마천1동,2,2,7,13,21,31,36
162,서울특별시 송파구 마천2동,1,1,1,3,7,20,43
163,서울특별시 송파구 문정2동,2,2,4,17,36,80,102
164,서울특별시 송파구 방이1동,5,6,14,16,25,29,49
165,서울특별시 송파구 석촌동,2,1,3,16,27,35,62
166,서울특별시 송파구 오금동,1,2,4,16,19,44,97
167,서울특별시 송파구 위례동,1,3,10,32,40,61,163
168,서울특별시 송파구 잠실3동,1,1,6,14,30,54,97
169,서울특별시 송파구 잠실6동,2,3,6,32,42,62,99
170,서울특별시 송파구 잠실본동,1,3,4,9,14,28,75
171,서울특별시 송파구 장지동,3,3,8,16,18,34,72
172,서울특별시 송파구 풍납1동,1,1,2,7,14,20,33
173,서울특별시 송파구 풍납2동,1,2,4,11,20,32,54
174,서울특별시 양천구 목1동,38,40,9,16,28,58,102
175,서울특별시 양천구 목2동,2,3,6,15,17,25,36
176,서울특별시 양천구 목5동,2,2,8,23,36,54,95
177,서울특별시 양천구 신월1동,1,1,1,16,22,20,42
178,서울특별시 양천구 신월2동,5,4,5,3,3,9,28
179,서울특별시 양천구 신월3동,1,1,1,4,10,20,28
180,서울특별시 양천구 신월4동,1,1,1,3,9,24,38
181,서울특별시 양천구 신월5동,1,1,0,3,4,9,28
182,서울특별시 양천구 신월7동,4,8,8,7,17,22,34
183,서울특별시 양천구 신정1동,1,1,5,12,39,92,125
184,서울특별시 양천구 신정2동,3,6,14,16,32,37,58
185,서울특별시 양천구 신정3동,1,1,2,11,19,41,89
186,서울특별시 양천구 신정4동,2,3,3,7,16,30,50
187,서울특별시 양천구 신정7동,1,2,3,6,9,16,39
188,서울특별시 영등포구 당산1동,6,9,32,42,50,64,86
189,서울특별시 영등포구 당산2동,3,4,9,20,25,48,93
190,서울특별시 영등포구 문래동,1,1,2,7,17,50,103
191,서울특별시 영등포구 신길4동,1,1,1,1,2,9,24
192,서울특별시 영등포구 신길5동,1,1,1,3,5,16,23
193,서울특별시 영등포구 양평1동,1,0,2,15,13,27,39
194,서울특별시 영등포구 양평2동,1,0,4,10,36,41,86
195,서울특별시 영등포구 여의동,18,77,214,508,1106,1482,1545
196,서울특별시 영등포구 영등포동,2,2,5,20,36,60,102
197,서울특별시 용산구 남영동,2,3,6,7,10,16,18
198,서울특별시 용산구 원효로1동,1,1,10,14,21,35,81
199,서울특별시 용산구 원효로2동,1,8,8,51,58,77,45
200,서울특별시 용산구 이촌1동,1,3,5,11,29,52,275
201,서울특별시 용산구 이태원1동,1,2,7,34,43,48,61
202,서울특별시 용산구 이태원2동,1,1,2,5,6,10,15
203,서울특별시 용산구 한강로동,37,33,6,22,44,65,129
204,서울특별시 용산구 한남동,6,6,14,22,39,66,113
205,서울특별시 용산구 후암동,1,1,2,10,14,24,37
206,서울특별시 은평구 갈현1동,1,2,4,10,8,15,25
207,서울특별시 은평구 구산동,1,1,6,10,13,23,48
208,서울특별시 은평구 신사1동,2,2,2,8,17,28,52
209,서울특별시 은평구 역촌동,3,4,7,9,13,32,61
210,서울특별시 은평구 응암1동,1,0,2,6,6,31,60
211,서울특별시 은평구 응암2동,1,1,3,9,16,30,75
212,서울특별시 은평구 응암3동,1,1,2,5,8,15,27
213,서울특별시 은평구 진관동,8,9,13,36,81,134,197
214,서울특별시 종로구 가회동,2,2,3,5,8,9,19
215,서울특별시 종로구 부암동,1,1,2,7,10,15,30
216,서울특별시 종로구 사직동,5,6,9,15,26,37,142
217,서울특별시 종로구 삼청동,1,1,2,6,5,7,9
218,서울특별시 종로구 이화동,1,2,3,4,7,18,23
219,서울특별시 종로구 종로1.2.3.4가동,12,15,37,35,41,53,122
220,서울특별시 종로구 종로5.6가동,1,3,3,4,3,6,9
221,서울특별시 종로구 창신1동,1,0,0,2,2,2,7
222,서울특별시 종로구 청운효자동,1,1,4,13,20,28,51
223,서울특별시 종로구 평창동,4,5,7,29,38,41,82
224,서울특별시 중구 광희동,2,2,5,20,21,28,43
