,동별,연료별,등록 자동차 수
0,서울특별시 강남구 개포1동,전기,5
1,서울특별시 강남구 개포2동,전기,22
2,서울특별시 강남구 개포4동,전기,8
3,서울특별시 강남구 논현1동,전기,36
4,서울특별시 강남구 논현2동,전기,29
5,서울특별시 강남구 대치1동,전기,232
6,서울특별시 강남구 대치2동,전기,1077
7,서울특별시 강남구 대치4동,전기,3455
8,서울특별시 강남구 도곡1동,전기,32
9,서울특별시 강남구 도곡2동,전기,44
10,서울특별시 강남구 삼성1동,전기,75
11,서울특별시 강남구 삼성2동,전기,40
12,서울특별시 강남구 세곡동,전기,77
13,서울특별시 강남구 수서동,전기,12
14,서울특별시 강남구 신사동,전기,28
15,서울특별시 강남구 압구정동,전기,26
16,서울특별시 강남구 역삼1동,전기,302
17,서울특별시 강남구 역삼2동,전기,135
18,서울특별시 강남구 일원1동,전기,12
19,서울특별시 강남구 일원2동,전기,35
20,서울특별시 강남구 일원본동,전기,21
21,서울특별시 강남구 청담동,전기,53
22,서울특별시 강동구 강일동,전기,35
23,서울특별시 강동구 고덕1동,전기,36
24,서울특별시 강동구 고덕2동,전기,21
25,서울특별시 강동구 길동,전기,44
26,서울특별시 강동구 둔촌2동,전기,19
27,서울특별시 강동구 명일1동,전기,23
28,서울특별시 강동구 명일2동,전기,12
29,서울특별시 강동구 상일동,전기,8
30,서울특별시 강동구 성내1동,전기,22
31,서울특별시 강동구 성내2동,전기,40
32,서울특별시 강동구 성내3동,전기,17
33,서울특별시 강동구 암사1동,전기,16
34,서울특별시 강동구 암사2동,전기,11
35,서울특별시 강동구 암사3동,전기,11
36,서울특별시 강동구 천호1동,전기,8
37,서울특별시 강동구 천호2동,전기,16
38,서울특별시 강동구 천호3동,전기,15
39,서울특별시 강북구 미아동,전기,17
40,서울특별시 강북구 번1동,전기,6
41,서울특별시 강북구 번2동,전기,13
42,서울특별시 강북구 번3동,전기,3
43,서울특별시 강북구 삼각산동,전기,19
44,서울특별시 강북구 삼양동,전기,9
45,서울특별시 강북구 송중동,전기,12
46,서울특별시 강북구 송천동,전기,9
47,서울특별시 강북구 수유1동,전기,9
48,서울특별시 강북구 수유2동,전기,3
49,서울특별시 강북구 수유3동,전기,23
50,서울특별시 강북구 우이동,전기,10
51,서울특별시 강북구 인수동,전기,20
52,서울특별시 강서구 가양1동,전기,115
53,서울특별시 강서구 가양2동,전기,6
54,서울특별시 강서구 가양3동,전기,5
55,서울특별시 강서구 공항동,전기,38
56,서울특별시 강서구 등촌1동,전기,26
57,서울특별시 강서구 등촌2동,전기,10
58,서울특별시 강서구 등촌3동,전기,11
59,서울특별시 강서구 발산1동,전기,35
60,서울특별시 강서구 방화1동,전기,27
61,서울특별시 강서구 방화2동,전기,20
62,서울특별시 강서구 방화3동,전기,12
63,서울특별시 강서구 염창동,전기,22
64,서울특별시 강서구 우장산동,전기,16
65,서울특별시 강서구 화곡1동,전기,27
66,서울특별시 강서구 화곡2동,전기,6
67,서울특별시 강서구 화곡3동,전기,7
68,서울특별시 강서구 화곡4동,전기,8
69,서울특별시 강서구 화곡6동,전기,7
70,서울특별시 강서구 화곡8동,전기,25
71,서울특별시 강서구 화곡본동,전기,9
72,서울특별시 관악구 낙성대동,전기,7
73,서울특별시 관악구 난곡동,전기,7
74,서울특별시 관악구 난향동,전기,10
75,서울특별시 관악구 남현동,전기,12
76,서울특별시 관악구 대학동,전기,25
77,서울특별시 관악구 미성동,전기,7
