,동,등록 자동차 수
280,가락1동,55
281,가락2동,20
282,가락본동,19
108,가리봉동,3
123,가산동,200
52,가양1동,115
53,가양2동,6
54,가양3동,5
375,가회동,8
359,갈현1동,8
360,갈현2동,7
22,강일동,35
109,개봉1동,18
110,개봉2동,13
111,개봉3동,2
0,개포1동,5
1,개포2동,22
2,개포4동,8
283,거여1동,7
284,거여2동,8
23,고덕1동,36
24,고덕2동,21
112,고척1동,20
113,고척2동,13
195,공덕동,44
133,공릉1동,21
134,공릉2동,22
55,공항동,38
93,광장동,26
391,광희동,21
376,교남동,8
114,구로1동,57
115,구로2동,33
116,구로3동,22
117,구로4동,5
118,구로5동,15
361,구산동,13
94,구의1동,11
95,구의2동,19
96,구의3동,13
97,군자동,5
243,금호1가동,11
244,금호2.3가동,20
245,금호4가동,16
25,길동,44
260,길음1동,33
261,길음2동,15
72,낙성대동,7
73,난곡동,7
74,난향동,10
211,남가좌1동,10
212,남가좌2동,11
343,남영동,10
75,남현동,12
225,내곡동,26
180,노량진1동,32
181,노량진2동,12
362,녹번동,43
3,논현1동,36
4,논현2동,29
98,능동,7
392,다산동,12
166,답십리1동,24
167,답십리2동,19
325,당산1동,50
326,당산2동,25
327,대림1동,8
328,대림2동,5
329,대림3동,6
182,대방동,16
363,대조동,5
5,대치1동,232
6,대치2동,1077
7,대치4동,3455
76,대학동,25
196,대흥동,7
8,도곡1동,32
9,도곡2동,44
330,도림동,9
152,도봉1동,10
153,도봉2동,14
197,도화동,25
124,독산1동,36
125,독산2동,5
126,독산3동,8
127,독산4동,5
262,돈암1동,7
263,돈암2동,28
264,동선동,5
393,동화동,6
26,둔촌2동,19
56,등촌1동,26
57,등촌2동,10
58,등촌3동,11
246,마장동,46
285,마천1동,21
286,마천2동,7
406,망우3동,10
407,망우본동,17
198,망원1동,11
199,망원2동,16
408,면목2동,14
409,면목3.8동,4
410,면목4동,5
411,면목5동,6
412,면목7동,10
413,면목본동,8
394,명동,112
27,명일1동,23
28,명일2동,12
307,목1동,28
308,목2동,17
309,목3동,10
310,목4동,13
311,목5동,36
377,무악동,7
414,묵1동,22
415,묵2동,4
331,문래동,17
287,문정1동,26
288,문정2동,36
77,미성동,7
39,미아동,17
226,반포1동,43
227,반포2동,68
228,반포3동,21
229,반포4동,21
230,반포본동,47
59,발산1동,35
231,방배1동,32
232,방배2동,17
233,방배3동,20
234,방배4동,23
235,방배본동,23
289,방이1동,25
290,방이2동,12
154,방학1동,44
155,방학2동,9
156,방학3동,11
60,방화1동,27
61,방화2동,20
62,방화3동,12
40,번1동,6
41,번2동,13
42,번3동,3
344,보광동,11
78,보라매동,13
265,보문동,15
378,부암동,10
213,북가좌1동,21
214,북가좌2동,13
215,북아현동,11
364,불광1동,11
365,불광2동,7
247,사근동,11
183,사당1동,14
184,사당2동,25
185,사당3동,20
186,사당4동,9
187,사당5동,15
379,사직동,26
43,삼각산동,19
266,삼선동,33
10,삼성1동,75
11,삼성2동,40
79,삼성동,5
44,삼양동,9
291,삼전동,26
380,삼청동,5
135,상계10동,8
136,상계1동,36
137,상계2동,16
138,상계3.4동,10
139,상계5동,11
140,상계6.7동,22
141,상계8동,8
142,상계9동,7
188,상도1동,26
189,상도2동,17
190,상도3동,13
191,상도4동,12
416,상봉1동,16
417,상봉2동,8
200,상암동,59
29,상일동,8
201,서강동,22
202,서교동,26
80,서림동,9
345,서빙고동,12
81,서원동,9
236,서초1동,418
237,서초2동,23
238,서초3동,35
239,서초4동,35
267,석관동,10
292,석촌동,27
30,성내1동,22
31,성내2동,40
32,성내3동,17
268,성북동,18
203,성산1동,23
204,성산2동,33
248,성수1가1동,235
249,성수1가2동,65
250,성수2가1동,26
251,성수2가3동,14
82,성현동,13
12,세곡동,77
395,소공동,43
252,송정동,8
45,송중동,12
46,송천동,9
293,송파1동,17
294,송파2동,13
119,수궁동,11
366,수색동,7
13,수서동,12
47,수유1동,9
48,수유2동,3
49,수유3동,23
381,숭인1동,1
128,시흥1동,33
129,시흥2동,18
130,시흥3동,9
131,시흥4동,10
132,시흥5동,6
332,신길1동,12
333,신길3동,5
334,신길4동,2
335,신길5동,5
336,신길6동,5
337,신길7동,16
418,신내1동,46
419,신내2동,28
396,신당5동,4
397,신당동,19
192,신대방1동,15
193,신대방2동,25
120,신도림동,21
83,신림동,11
367,신사1동,17
368,신사2동,11
14,신사동,28
84,신사동,12
205,신수동,21
85,신원동,4
312,신월1동,22
313,신월2동,3
314,신월3동,10
315,신월4동,9
316,신월5동,4
317,신월6동,16
318,신월7동,17
319,신정1동,39
320,신정2동,32
321,신정3동,19
322,신정4동,16
323,신정6동,43
324,신정7동,9
216,신촌동,8
157,쌍문1동,22
158,쌍문2동,7
159,쌍문3동,3
160,쌍문4동,9
206,아현동,21
269,안암동,6
33,암사1동,16
34,암사2동,11
35,암사3동,11
15,압구정동,26
398,약수동,7
240,양재1동,208
241,양재2동,66
338,양평1동,13
339,양평2동,36
340,여의동,1106
16,역삼1동,302
17,역삼2동,135
369,역촌동,13
207,연남동,14
217,연희동,54
208,염리동,9
63,염창동,22
341,영등포동,36
342,영등포본동,6
295,오금동,19
121,오류1동,11
122,오류2동,23
296,오륜동,19
253,옥수동,31
254,왕십리2동,3
255,왕십리도선동,16
209,용강동,18
256,용답동,19
346,용문동,9
347,용산2가동,2
168,용신동,32
50,우이동,10
64,우장산동,16
348,원효로1동,21
349,원효로2동,58
