,동,등록 자동차 수
0,개포1동,3
1,개포2동,4
2,개포4동,5
3,논현1동,9
4,논현2동,15
5,대치1동,223
6,대치2동,748
7,대치4동,2783
8,도곡1동,18
9,도곡2동,29
10,삼성1동,56
11,삼성2동,24
12,세곡동,31
13,수서동,9
14,신사동,24
15,압구정동,12
16,역삼1동,122
17,역삼2동,84
18,일원1동,4
19,일원2동,18
20,일원본동,10
21,청담동,31
22,강일동,27
23,고덕1동,19
24,고덕2동,4
25,길동,14
26,둔촌1동,3
27,둔촌2동,15
28,명일1동,6
29,명일2동,6
30,상일동,4
31,성내1동,14
32,성내2동,32
33,성내3동,6
34,암사1동,9
35,암사2동,6
36,암사3동,3
37,천호1동,4
38,천호2동,8
39,천호3동,5
40,미아동,15
41,번1동,1
42,번2동,7
43,번3동,1
44,삼각산동,10
45,삼양동,6
46,송중동,3
47,송천동,6
48,수유1동,8
49,수유2동,1
50,수유3동,15
51,우이동,5
52,인수동,7
53,가양1동,88
54,가양2동,5
55,가양3동,6
56,공항동,22
57,등촌1동,15
58,등촌2동,4
59,등촌3동,3
60,발산1동,14
61,방화1동,15
62,방화2동,10
63,방화3동,9
64,염창동,11
65,우장산동,10
66,화곡1동,16
67,화곡2동,1
68,화곡3동,5
69,화곡4동,5
70,화곡6동,7
71,화곡8동,22
72,화곡본동,6
73,낙성대동,4
74,난곡동,6
75,난향동,5
76,남현동,5
77,대학동,9
78,미성동,4
79,보라매동,4
80,삼성동,4
81,서림동,4
82,서원동,5
83,성현동,6
84,신림동,6
85,신사동,8
86,신원동,2
87,은천동,4
88,인헌동,8
89,조원동,3
90,중앙동,6
91,청룡동,46
92,청림동,3
93,행운동,7
94,광장동,17
95,구의1동,9
96,구의2동,11
97,구의3동,10
98,군자동,3
99,능동,5
100,자양1동,24
101,자양2동,6
102,자양3동,10
103,자양4동,2
104,중곡1동,6
105,중곡2동,2
106,중곡3동,3
107,중곡4동,7
108,화양동,8
109,가리봉동,1
110,개봉1동,14
111,개봉2동,6
112,개봉3동,4
113,고척1동,8
114,고척2동,7
115,구로1동,47
116,구로2동,27
117,구로3동,7
118,구로4동,3
119,구로5동,15
120,수궁동,7
121,신도림동,10
122,오류1동,8
123,오류2동,7
124,가산동,58
125,독산1동,17
126,독산2동,4
127,독산3동,4
128,독산4동,1
129,시흥1동,23
130,시흥2동,12
131,시흥3동,7
132,시흥4동,5
133,시흥5동,3
134,공릉1동,9
135,공릉2동,15
136,상계10동,5
137,상계1동,22
138,상계2동,13
139,상계3.4동,7
140,상계5동,10
141,상계6.7동,13
142,상계8동,6
143,상계9동,3
144,월계1동,6
145,월계2동,8
146,월계3동,4
147,중계1동,8
148,중계2.3동,11
149,중계4동,8
150,중계본동,4
151,하계1동,12
152,도봉1동,2
153,도봉2동,9
154,방학1동,35
155,방학2동,3
156,방학3동,8
157,쌍문1동,16
158,쌍문2동,4
159,쌍문3동,2
160,쌍문4동,6
161,창1동,6
162,창2동,9
163,창3동,3
164,창4동,11
165,창5동,7
166,답십리1동,12
167,답십리2동,8
168,용신동,27
169,이문1동,2
170,이문2동,6
171,장안1동,15
172,장안2동,2
173,전농1동,6
174,전농2동,7
175,제기동,5
176,청량리동,6
177,회기동,2
178,휘경1동,3
179,휘경2동,5
180,노량진1동,19
181,노량진2동,11
182,대방동,12
183,사당1동,11
184,사당2동,7
185,사당3동,9
186,사당4동,5
187,사당5동,11
188,상도1동,17
189,상도2동,10
190,상도3동,10
191,상도4동,7
192,신대방1동,6
193,신대방2동,14
194,흑석동,8
195,공덕동,29
196,대흥동,4
197,도화동,14
198,망원1동,3
199,망원2동,9
200,상암동,31
201,서강동,14
202,서교동,13
203,성산1동,19
204,성산2동,22
205,신수동,10
206,아현동,10
207,연남동,9
208,염리동,5
209,용강동,13
210,합정동,11
