,동,등록 자동차 수
211,남가좌1동,3
212,남가좌2동,4
213,북가좌1동,17
214,북가좌2동,7
215,북아현동,6
216,신촌동,5
217,연희동,37
218,천연동,4
219,충현동,12
220,홍은1동,6
221,홍은2동,9
222,홍제1동,10
223,홍제2동,3
224,홍제3동,5
225,내곡동,16
226,반포1동,19
227,반포2동,55
228,반포3동,6
229,반포4동,14
230,반포본동,10
231,방배1동,9
232,방배2동,14
233,방배3동,12
234,방배4동,20
235,방배본동,10
236,서초1동,189
237,서초2동,18
238,서초3동,17
239,서초4동,15
240,양재1동,145
241,양재2동,60
242,잠원동,9
243,금호1가동,8
244,금호2.3가동,10
245,금호4가동,9
246,마장동,29
247,사근동,8
248,성수1가1동,215
249,성수1가2동,62
250,성수2가1동,9
251,성수2가3동,10
252,송정동,8
253,옥수동,14
254,왕십리2동,2
255,왕십리도선동,15
256,용답동,4
257,응봉동,1
258,행당1동,33
259,행당2동,4
260,길음1동,14
261,길음2동,10
262,돈암2동,14
263,동선동,6
264,보문동,5
265,삼선동,27
266,석관동,4
267,성북동,14
268,안암동,2
269,월곡1동,6
270,월곡2동,3
271,장위1동,5
272,장위2동,3
273,장위3동,1
274,정릉1동,27
275,정릉2동,7
276,정릉3동,5
277,정릉4동,7
278,종암동,14
279,가락1동,8
280,가락2동,9
281,가락본동,10
282,거여1동,2
283,거여2동,7
284,마천1동,13
285,마천2동,3
286,문정1동,14
287,문정2동,17
288,방이1동,16
289,방이2동,6
290,삼전동,11
291,석촌동,16
292,송파1동,8
293,송파2동,6
294,오금동,16
295,오륜동,7
296,위례동,32
297,잠실2동,24
298,잠실3동,14
299,잠실4동,26
300,잠실6동,32
301,잠실7동,3
302,잠실본동,9
303,장지동,16
304,풍납1동,7
305,풍납2동,11
306,목1동,16
307,목2동,15
308,목3동,4
309,목4동,8
310,목5동,23
311,신월1동,16
312,신월2동,3
313,신월3동,4
314,신월4동,3
315,신월5동,3
316,신월6동,14
317,신월7동,7
318,신정1동,12
319,신정2동,16
320,신정3동,11
321,신정4동,7
322,신정6동,31
323,신정7동,6
324,당산1동,42
325,당산2동,20
326,대림1동,2
327,대림2동,2
328,대림3동,4
329,도림동,6
330,문래동,7
331,신길1동,2
332,신길3동,2
333,신길4동,1
334,신길5동,3
335,신길6동,3
336,신길7동,9
337,양평1동,15
338,양평2동,10
339,여의동,508
340,영등포동,20
341,영등포본동,2
342,남영동,7
343,보광동,2
344,서빙고동,3
345,용문동,2
346,용산2가동,3
347,원효로1동,14
348,원효로2동,51
349,이촌1동,11
350,이촌2동,7
351,이태원1동,34
352,이태원2동,5
353,청파동,6
354,한강로동,22
355,한남동,22
356,효창동,1
357,후암동,10
358,갈현1동,10
359,갈현2동,6
360,구산동,10
361,녹번동,33
362,대조동,4
363,불광1동,6
364,불광2동,5
365,수색동,5
366,신사1동,8
367,신사2동,5
368,역촌동,9
369,응암1동,6
370,응암2동,9
371,응암3동,5
372,증산동,7
373,진관동,36
374,가회동,5
375,교남동,4
376,무악동,2
377,부암동,7
378,사직동,15
379,삼청동,6
380,숭인1동,1
381,이화동,4
382,종로1.2.3.4가동,35
383,종로5.6가동,4
384,창신1동,2
385,창신2동,1
386,창신3동,3
387,청운효자동,13
388,평창동,29
389,혜화동,2
390,광희동,20
391,다산동,5
392,동화동,4
393,명동,75
394,소공동,15
395,신당5동,3
396,신당동,10
397,약수동,5
398,을지로동,1
399,장충동,16
400,중림동,14
401,청구동,6
402,필동,10
403,황학동,3
404,회현동,23
405,망우3동,3
406,망우본동,11
407,면목2동,6
408,면목3.8동,2
409,면목4동,1
410,면목7동,3
411,면목본동,6
412,묵1동,12
413,묵2동,5
414,상봉1동,11
415,상봉2동,8
416,신내1동,26
417,신내2동,22
418,중화1동,7
419,중화2동,5
