,동,등록 자동차 수,격자수,격자수대비 등록수
96,마천1동,36,64,0.5625
97,마천2동,43,92,0.4673913043478261
98,망우3동,52,128,0.40625
99,망우본동,89,269,0.3308550185873606
100,망원1동,54,125,0.432
101,망원2동,39,71,0.5492957746478874
102,면목2동,56,93,0.6021505376344086
103,면목3·8동,29,134,0.21641791044776118
104,면목4동,35,88,0.3977272727272727
105,면목5동,26,64,0.40625
106,면목7동,34,116,0.29310344827586204
107,면목본동,33,82,0.4024390243902439
108,명동,200,91,2.197802197802198
109,명일1동,58,82,0.7073170731707317
110,명일2동,34,95,0.35789473684210527
111,목1동,102,202,0.504950495049505
112,목2동,36,155,0.23225806451612904
113,목3동,35,90,0.3888888888888889
114,목4동,39,75,0.52
115,목5동,95,186,0.510752688172043
116,무악동,18,69,0.2608695652173913
117,묵1동,60,163,0.36809815950920244
118,묵2동,23,84,0.27380952380952384
119,문래동,103,143,0.7202797202797203
120,문정1동,95,65,1.4615384615384615
121,문정2동,102,206,0.49514563106796117
122,미성동,34,102,0.3333333333333333
123,미아동,30,74,0.40540540540540543
124,반포1동,146,104,1.4038461538461537
125,반포2동,153,144,1.0625
126,반포3동,62,100,0.62
127,반포4동,81,119,0.680672268907563
128,반포본동,63,97,0.6494845360824743
129,발산1동,173,298,0.5805369127516778
130,방배1동,62,77,0.8051948051948052
131,방배2동,38,196,0.19387755102040816
132,방배3동,35,217,0.16129032258064516
133,방배4동,61,70,0.8714285714285714
134,방배본동,66,63,1.0476190476190477
135,방이1동,49,83,0.5903614457831325
136,방이2동,71,89,0.797752808988764
137,방학1동,139,138,1.0072463768115942
138,방학2동,28,124,0.22580645161290322
139,방학3동,43,164,0.2621951219512195
140,방화1동,97,143,0.6783216783216783
141,방화2동,105,656,0.1600609756097561
142,방화3동,41,228,0.17982456140350878
143,번1동,23,106,0.2169811320754717
144,번2동,34,126,0.2698412698412698
145,번3동,61,114,0.5350877192982456
146,보광동,17,83,0.20481927710843373
147,보라매동,36,77,0.4675324675324675
148,보문동,37,45,0.8222222222222222
149,부암동,30,307,0.09771986970684039
150,북가좌1동,56,69,0.8115942028985508
151,북가좌2동,50,56,0.8928571428571429
152,북아현동,33,55,0.6
153,불광1동,57,323,0.17647058823529413
154,불광2동,22,104,0.21153846153846154
155,사근동,24,132,0.18181818181818182
156,사당1동,34,111,0.3063063063063063
157,사당2동,48,282,0.1702127659574468
158,사당3동,48,115,0.41739130434782606
159,사당4동,27,53,0.5094339622641509
160,사당5동,21,79,0.26582278481012656
161,사직동,142,154,0.922077922077922
162,삼각산동,55,43,1.2790697674418605
163,삼선동,66,78,0.8461538461538461
164,삼성1동,131,242,0.5413223140495868
165,삼성2동,132,123,1.0731707317073171
166,삼성동,29,213,0.13615023474178403
167,삼양동,34,97,0.35051546391752575
168,삼전동,69,90,0.7666666666666667
169,삼청동,9,211,0.04265402843601896
170,상계10동,25,62,0.4032258064516129
171,상계1동,127,586,0.2167235494880546
172,상계2동,47,75,0.6266666666666667
173,상계3·4동,66,504,0.13095238095238096
174,상계5동,30,99,0.30303030303030304
175,상계6·7동,50,126,0.3968253968253968
176,상계8동,32,66,0.48484848484848486
177,상계9동,25,59,0.423728813559322
178,상도1동,90,211,0.4265402843601896
179,상도2동,46,86,0.5348837209302325
180,상도3동,30,103,0.2912621359223301
181,상도4동,41,81,0.5061728395061729
182,상봉1동,48,118,0.4067796610169492
183,상봉2동,36,59,0.6101694915254238
184,상암동,126,906,0.1390728476821192
185,상일동,174,194,0.8969072164948454
186,서강동,70,144,0.4861111111111111
187,서교동,69,192,0.359375
188,서림동,38,113,0.336283185840708
189,서빙고동,35,324,0.10802469135802469
190,서원동,27,89,0.30337078651685395
191,서초1동,1014,176,5.761363636363637
192,서초2동,117,158,0.740506329113924
193,서초3동,221,326,0.6779141104294478
194,서초4동,111,101,1.099009900990099
195,석관동,54,142,0.38028169014084506
196,석촌동,62,109,0.5688073394495413
197,성내1동,64,68,0.9411764705882353
198,성내2동,76,52,1.4615384615384615
199,성내3동,42,64,0.65625
200,성북동,46,242,0.19008264462809918
201,성산1동,53,76,0.6973684210526315
202,성산2동,95,189,0.5026455026455027
203,성수1가1동,526,237,2.219409282700422
204,성수1가2동,144,78,1.8461538461538463
205,성수2가1동,105,165,0.6363636363636364
206,성수2가3동,54,119,0.453781512605042
207,성현동,46,48,0.9583333333333334
208,세곡동,194,667,0.2908545727136432
209,소공동,307,113,2.7168141592920354
210,송정동,16,108,0.14814814814814814
211,송중동,33,95,0.3473684210526316
212,송천동,29,74,0.3918918918918919
213,송파1동,49,78,0.6282051282051282
214,송파2동,45,64,0.703125
215,수궁동,36,282,0.1276595744680851
216,수색동,26,178,0.14606741573033707
217,수서동,61,187,0.32620320855614976
218,수유1동,24,186,0.12903225806451613
219,수유2동,22,93,0.23655913978494625
220,수유3동,47,76,0.618421052631579
221,숭인1동,10,35,0.2857142857142857
222,숭인2동,8,56,0.14285714285714285
223,시흥1동,83,167,0.49700598802395207
224,시흥2동,32,186,0.17204301075268819
225,시흥3동,27,139,0.19424460431654678
226,시흥4동,24,96,0.25
227,시흥5동,39,110,0.35454545454545455
228,신길1동,22,91,0.24175824175824176
229,신길3동,24,75,0.32
230,신길4동,24,32,0.75
231,신길5동,23,57,0.40350877192982454
232,신길6동,28,100,0.28
233,신길7동,61,70,0.8714285714285714
234,신내1동,90,340,0.2647058823529412
235,신내2동,76,61,1.2459016393442623
236,신당5동,18,63,0.2857142857142857
237,신당동,26,45,0.5777777777777777
238,신대방1동,68,87,0.7816091954022989
239,신대방2동,49,107,0.45794392523364486
240,신도림동,77,167,0.46107784431137727
241,신림동,26,36,0.7222222222222222
242,신사1동,52,107,0.48598130841121495
243,신사2동,46,114,0.40350877192982454
244,신사동,60,274,0.21897810218978103
245,신사동,27,274,0.09854014598540146
246,신수동,49,86,0.5697674418604651
247,신원동,14,60,0.23333333333333334
248,신월1동,42,107,0.3925233644859813
249,신월2동,28,95,0.29473684210526313
250,신월3동,28,114,0.24561403508771928
251,신월4동,38,48,0.7916666666666666
252,신월5동,28,102,0.27450980392156865
253,신월6동,49,55,0.8909090909090909
254,신월7동,34,138,0.2463768115942029
255,신정1동,125,98,1.2755102040816326
256,신정2동,58,80,0.725
257,신정3동,89,310,0.2870967741935484
258,신정4동,50,105,0.47619047619047616
259,신정6동,74,124,0.5967741935483871
260,신정7동,39,149,0.26174496644295303
261,신촌동,28,322,0.08695652173913043
262,쌍문1동,47,115,0.40869565217391307
263,쌍문2동,31,74,0.4189189189189189
264,쌍문3동,15,49,0.30612244897959184
265,쌍문4동,18,55,0.32727272727272727
266,아현동,65,47,1.3829787234042554
267,안암동,17,148,0.11486486486486487
268,암사1동,58,61,0.9508196721311475
269,암사2동,38,250,0.152
270,암사3동,38,167,0.2275449101796407
271,압구정동,83,218,0.38073394495412843
272,약수동,36,88,0.4090909090909091
273,양재1동,982,612,1.6045751633986929
274,양재2동,226,852,0.2652582159624413
275,양평1동,39,90,0.43333333333333335
276,양평2동,86,228,0.37719298245614036
277,여의동,1545,857,1.8028004667444575
278,역삼1동,648,228,2.8421052631578947
279,역삼2동,221,100,2.21
280,역촌동,61,86,0.7093023255813954
281,연남동,33,57,0.5789473684210527
282,연희동,120,271,0.44280442804428044
283,염리동,85,45,1.8888888888888888
284,염창동,94,183,0.5136612021857924
285,영등포동,102,109,0.9357798165137615
286,영등포본동,42,94,0.44680851063829785
